cycle,date,model,rmse,mae,observations,target
frost_cycle_000003,2026-07-14,residual state,0.2694242541138832,0.24953715813586025,149,D_Qe_proxy
frost_cycle_000004,2026-07-14,residual state,0.3176670479945094,0.2963176168666559,111,D_Qe_proxy
frost_cycle_000003,2026-07-14,approach temperature,0.2370551884971011,0.21533022739099847,149,D_Qe_proxy
frost_cycle_000004,2026-07-14,approach temperature,0.24643926470164998,0.22747089030727805,111,D_Qe_proxy
frost_cycle_000003,2026-07-14,residual + coil,0.2690632468055346,0.24924012679932614,149,D_Qe_proxy
frost_cycle_000004,2026-07-14,residual + coil,0.31744879945573107,0.2961307310734961,111,D_Qe_proxy
frost_cycle_000003,2026-07-14,residual + suction,0.2680789912903625,0.2485315076304352,149,D_Qe_proxy
frost_cycle_000004,2026-07-14,residual + suction,0.3092922529264306,0.28756744545495133,111,D_Qe_proxy
frost_cycle_000003,2026-07-14,residual + context,0.20312022204863472,0.1821300010431622,149,D_Qe_proxy
frost_cycle_000004,2026-07-14,residual + context,0.23931305396974387,0.22166671959960194,111,D_Qe_proxy
frost_cycle_000003,2026-07-14,residual state,0.14906378271956638,0.13743702293781698,149,D_Q
frost_cycle_000004,2026-07-14,residual state,0.17375428547871957,0.1634933402896092,111,D_Q
frost_cycle_000003,2026-07-14,approach temperature,0.1302402184892095,0.11380575895643215,149,D_Q
frost_cycle_000004,2026-07-14,approach temperature,0.12424673275950265,0.11481760463374832,111,D_Q
frost_cycle_000003,2026-07-14,residual + coil,0.15429325999398794,0.1420472127274948,149,D_Q
frost_cycle_000004,2026-07-14,residual + coil,0.1771223472459759,0.16639397355448107,111,D_Q
frost_cycle_000003,2026-07-14,residual + suction,0.1493022484536634,0.13769717235843779,149,D_Q
frost_cycle_000004,2026-07-14,residual + suction,0.1759435262070819,0.16576236172036612,111,D_Q
frost_cycle_000003,2026-07-14,residual + context,0.10229284516019947,0.08995106030304571,149,D_Q
frost_cycle_000004,2026-07-14,residual + context,0.11870752002411329,0.11014248559199094,111,D_Q
frost_cycle_000003,2026-07-14,residual state,0.07308148028703801,0.06026076561082607,148,D_COP
frost_cycle_000004,2026-07-14,residual state,0.10786150092621231,0.09817140427348627,111,D_COP
frost_cycle_000003,2026-07-14,approach temperature,0.071569285026653,0.05229920588544035,148,D_COP
frost_cycle_000004,2026-07-14,approach temperature,0.07457622723065216,0.06697407977916195,111,D_COP
frost_cycle_000003,2026-07-14,residual + coil,0.07884692318430526,0.0669016490222393,148,D_COP
frost_cycle_000004,2026-07-14,residual + coil,0.11435306487833465,0.10380731025272849,111,D_COP
frost_cycle_000003,2026-07-14,residual + suction,0.07088547315456095,0.06042018698644438,148,D_COP
frost_cycle_000004,2026-07-14,residual + suction,0.12452158980144756,0.11419160661798002,111,D_COP
frost_cycle_000003,2026-07-14,residual + context,0.05611500056269189,0.04935624518805696,148,D_COP
frost_cycle_000004,2026-07-14,residual + context,0.09186778140627837,0.08369564784668418,111,D_COP
frost_cycle_000006,2026-07-15,residual state,0.0281500936234904,0.024835333556180825,38,D_Qe_proxy
frost_cycle_000007,2026-07-15,residual state,0.10978173144866307,0.09131148290906445,171,D_Qe_proxy
frost_cycle_000008,2026-07-15,residual state,0.12577182927442185,0.10365320648652725,152,D_Qe_proxy
frost_cycle_000006,2026-07-15,approach temperature,0.021298383015398548,0.015794658746562915,38,D_Qe_proxy
frost_cycle_000007,2026-07-15,approach temperature,0.09934833351494818,0.08234440294064346,171,D_Qe_proxy
frost_cycle_000008,2026-07-15,approach temperature,0.11449334887865827,0.0947195950571172,152,D_Qe_proxy
