cycle,date,model,rmse,mae,observations,horizon_minutes,target
frost_cycle_000003,2026-07-14,persistence,1.3091229319999294,0.5818035035570843,136,5,z
frost_cycle_000004,2026-07-14,persistence,0.4405813176022567,0.2845384534103921,106,5,z
frost_cycle_000003,2026-07-14,linear extrapolation,1.3192142294183091,0.6904016015852747,136,5,z
frost_cycle_000004,2026-07-14,linear extrapolation,0.46745693005541544,0.3278105223540305,106,5,z
frost_cycle_000003,2026-07-14,current state,1.2222077929847983,0.5828531595160568,136,5,z
frost_cycle_000004,2026-07-14,current state,0.5123360535487224,0.4497312999694282,106,5,z
frost_cycle_000003,2026-07-14,state + rate,1.2279156061244758,0.5865260452392969,136,5,z
frost_cycle_000004,2026-07-14,state + rate,0.4725468688998504,0.40597012050705633,106,5,z
frost_cycle_000003,2026-07-14,short statistics,1.2344707945821127,0.5849087351641065,136,5,z
frost_cycle_000004,2026-07-14,short statistics,0.48016020813582794,0.40640664051579173,106,5,z
frost_cycle_000003,2026-07-14,statistics + context,1.236099163813824,0.6197784877985126,136,5,z
frost_cycle_000004,2026-07-14,statistics + context,0.6275545338358061,0.5585316124405694,106,5,z
frost_cycle_000003,2026-07-14,raw 5-min history,1.2313533348232804,0.5853123127151977,136,5,z
frost_cycle_000004,2026-07-14,raw 5-min history,0.48057237489501475,0.4112433440646609,106,5,z
frost_cycle_000003,2026-07-14,direct short statistics,0.27571408236694833,0.26030576871450545,136,5,D_Qe_proxy
frost_cycle_000004,2026-07-14,direct short statistics,0.313100431875649,0.2971531570233382,106,5,D_Qe_proxy
frost_cycle_000003,2026-07-14,structured short statistics,0.2788173065782505,0.26306439166413664,136,5,D_Qe_proxy
frost_cycle_000004,2026-07-14,structured short statistics,0.31836145954597234,0.3023671303498338,106,5,D_Qe_proxy
frost_cycle_000003,2026-07-14,persistence,1.6179999070035003,0.9636198130126878,131,10,z
frost_cycle_000004,2026-07-14,persistence,0.6204464761397367,0.4079268969117091,101,10,z
frost_cycle_000003,2026-07-14,linear extrapolation,1.6877671507649794,1.1065327890676635,131,10,z
frost_cycle_000004,2026-07-14,linear extrapolation,0.8899955849148609,0.66934196011679,101,10,z
frost_cycle_000003,2026-07-14,current state,1.3970142321359889,0.8221904410633326,131,10,z
frost_cycle_000004,2026-07-14,current state,0.8857706136372068,0.7927111128734229,101,10,z
frost_cycle_000003,2026-07-14,state + rate,1.4092104075863472,0.8081855877345779,131,10,z
frost_cycle_000004,2026-07-14,state + rate,0.8219090213297746,0.7194577791993725,101,10,z
frost_cycle_000003,2026-07-14,short statistics,1.4287442440103717,0.8218282262750108,131,10,z
frost_cycle_000004,2026-07-14,short statistics,0.818841063559884,0.7129272535081912,101,10,z
frost_cycle_000003,2026-07-14,statistics + context,1.553946619186843,1.0328934244151964,131,10,z
frost_cycle_000004,2026-07-14,statistics + context,1.2357709708697928,1.1385876608991632,101,10,z
frost_cycle_000003,2026-07-14,raw 5-min history,1.4166130962019852,0.8133493983694072,131,10,z
frost_cycle_000004,2026-07-14,raw 5-min history,0.8247359342651597,0.7208396791532548,101,10,z
frost_cycle_000003,2026-07-14,direct short statistics,0.27087009773470233,0.2558982443897145,131,10,D_Qe_proxy
frost_cycle_000004,2026-07-14,direct short statistics,0.30735808454122276,0.2958396705994488,101,10,D_Qe_proxy
frost_cycle_000003,2026-07-14,structured short statistics,0.27643673681024705,0.2604840806637642,131,10,D_Qe_proxy
frost_cycle_000004,2026-07-14,structured short statistics,0.3159733045410669,0.3043513368138916,101,10,D_Qe_proxy
frost_cycle_000003,2026-07-14,persistence,2.4265129045741687,1.5848481898689633,121,20,z
frost_cycle_000004,2026-07-14,persistence,0.7365169937612007,0.6046672336755909,91,20,z
frost_cycle_000003,2026-07-14,linear extrapolation,2.612048213562573,1.8397884016963353,121,20,z
frost_cycle_000004,2026-07-14,linear extrapolation,1.2661851901930405,1.04177406822129,91,20,z
frost_cycle_000003,2026-07-14,current state,1.9472960099688645,1.4987053656899754,121,20,z
frost_cycle_000004,2026-07-14,current state,1.7366964004498027,1.6126582242237417,91,20,z
frost_cycle_000003,2026-07-14,state + rate,1.9411537795360525,1.472641755825286,121,20,z
frost_cycle_000004,2026-07-14,state + rate,1.5872551588445079,1.4476346257031754,91,20,z
frost_cycle_000003,2026-07-14,short statistics,1.9482762161880547,1.4660633177684401,121,20,z
frost_cycle_000004,2026-07-14,short statistics,1.5666383259840733,1.4099406356928632,91,20,z
frost_cycle_000003,2026-07-14,statistics + context,2.81921836009983,2.3406911378996007,121,20,z
frost_cycle_000004,2026-07-14,statistics + context,3.031886786298125,2.9439609231489765,91,20,z
frost_cycle_000003,2026-07-14,raw 5-min history,1.9488684956273643,1.4763656029922236,121,20,z
frost_cycle_000004,2026-07-14,raw 5-min history,1.5877114640725747,1.4475735922682669,91,20,z
frost_cycle_000003,2026-07-14,direct short statistics,0.25572911696117834,0.23899412243907917,121,20,D_Qe_proxy
frost_cycle_000004,2026-07-14,direct short statistics,0.28721448102580194,0.27870401915438425,91,20,D_Qe_proxy
frost_cycle_000003,2026-07-14,structured short statistics,0.26320918214298705,0.24651576830422806,121,20,D_Qe_proxy
frost_cycle_000004,2026-07-14,structured short statistics,0.2968258622891478,0.2883763497766761,91,20,D_Qe_proxy
frost_cycle_000003,2026-07-14,persistence,3.2891767815281545,2.279952842745372,111,30,z
frost_cycle_000004,2026-07-14,persistence,0.9439725155410086,0.7425989128413344,81,30,z
