cycle_name,status,cohort,sensor_model_eligible,reason
frost_cycle_000003,valid,old,True,eligible
frost_cycle_000004,valid,old,True,eligible
frost_cycle_000005,valid,old,False,missing first-10-min state calibration
frost_cycle_000006,valid,old,True,eligible
frost_cycle_000007,valid,old,True,eligible
frost_cycle_000008,valid,old,True,eligible
frost_cycle_000012,valid,old,True,eligible
frost_cycle_000013,valid,old,True,eligible
frost_cycle_000014,valid,old,True,eligible
frost_cycle_000015,valid,old,True,eligible
frost_cycle_000017,valid,old,True,eligible
frost_cycle_000018,valid,old,True,eligible
frost_cycle_000019,valid,old,True,eligible
frost_cycle_000020,valid,old,True,eligible
frost_cycle_000021,valid,old,True,eligible
frost_cycle_000023,valid,old,True,eligible
frost_cycle_000024,valid,old,True,eligible
frost_cycle_000026,valid,old,True,eligible
frost_cycle_000027,valid,old,True,eligible
frost_cycle_000028,valid,old,True,eligible
frost_cycle_000029,valid,old,True,eligible
frost_cycle_000030,valid,old,True,eligible
frost_cycle_000031,valid,old,True,eligible
frost_cycle_000032,valid,old,True,eligible
frost_cycle_000033,valid,old,True,eligible
frost_cycle_000034,valid,old,True,eligible
frost_cycle_000035,valid,old,True,eligible
frost_cycle_000036,valid,old,True,eligible
frost_cycle_000037,valid,old,True,eligible
frost_cycle_000039,valid,old,True,eligible
frost_cycle_000040,valid,old,True,eligible
frost_cycle_000041,valid,old,True,eligible
frost_cycle_000042,valid,old,True,eligible
frost_cycle_000043,valid,old,True,eligible
frost_cycle_000044,valid,old,True,eligible
frost_cycle_000045,valid,old,True,eligible
frost_cycle_000046,valid,old,True,eligible
frost_cycle_000047,valid,old,True,eligible
frost_cycle_000048,valid,old,True,eligible
frost_cycle_000049,valid,old,True,eligible
frost_cycle_000050,valid,new,True,eligible
frost_cycle_000051,valid,new,True,eligible
frost_cycle_000052,valid,new,True,eligible
frost_cycle_000053,valid,new,True,eligible
frost_cycle_000054,valid,new,True,eligible
frost_cycle_000055,valid,new,True,eligible
frost_cycle_000056,valid,new,True,eligible
frost_cycle_000057,valid,new,True,eligible
frost_cycle_000058,valid,new,True,eligible
frost_cycle_000059,valid,new,True,eligible
