cycle,date,model,rmse,mae,observations
frost_cycle_000050,2026-07-28,frozen state law,0.042222029536877696,0.029353954927486933,100
frost_cycle_000051,2026-07-28,frozen state law,0.05049020322707964,0.04280816623821705,99
frost_cycle_000052,2026-07-28,frozen state law,0.050519775433877215,0.03698690365062263,102
frost_cycle_000053,2026-07-28,frozen state law,0.054466525275138,0.03216750391545286,100
frost_cycle_000054,2026-07-28,frozen state law,0.043099485799032694,0.032645399487609535,103
frost_cycle_000055,2026-07-28,frozen state law,0.025551457512536034,0.021856665692094334,50
frost_cycle_000056,2026-07-29,frozen state law,0.05783259689392176,0.05146959662454714,107
frost_cycle_000057,2026-07-29,frozen state law,0.04420757763677935,0.03335941594035879,102
frost_cycle_000058,2026-07-29,frozen state law,0.039589564212240295,0.030286159901696745,101
frost_cycle_000059,2026-07-29,frozen state law,0.04364445273848011,0.03400941544807484,102
frost_cycle_000050,2026-07-28,frozen time law,0.053004314880243285,0.04036788099850613,100
frost_cycle_000051,2026-07-28,frozen time law,0.06654910443457068,0.05788134663195534,99
frost_cycle_000052,2026-07-28,frozen time law,0.06379072572055756,0.049503989215341895,102
frost_cycle_000053,2026-07-28,frozen time law,0.07608796457518918,0.05523826514020829,100
frost_cycle_000054,2026-07-28,frozen time law,0.08172864476550887,0.06209986562913905,103
frost_cycle_000055,2026-07-28,frozen time law,0.049746006857723395,0.04480799768668239,50
frost_cycle_000056,2026-07-29,frozen time law,0.08166579295572263,0.06375026672662443,107
frost_cycle_000057,2026-07-29,frozen time law,0.07850953674739077,0.06118505621166627,102
frost_cycle_000058,2026-07-29,frozen time law,0.059723367543180104,0.05241744796655405,101
frost_cycle_000059,2026-07-29,frozen time law,0.06471596408877858,0.05651948920414225,102
