cycle,date,model,rmse,mae,observations,horizon_minutes
frost_cycle_000050,2026-07-28,current state,0.7156027066138263,0.5064519268788952,95,5
frost_cycle_000051,2026-07-28,current state,0.6376629829957073,0.5352949412706598,94,5
frost_cycle_000052,2026-07-28,current state,0.7093173198364252,0.5000205293924017,97,5
frost_cycle_000053,2026-07-28,current state,0.6480295847817238,0.4762631820028391,95,5
frost_cycle_000054,2026-07-28,current state,1.3246854896676712,0.6143116736403345,98,5
frost_cycle_000055,2026-07-28,current state,0.39711705583146106,0.3461775740030166,45,5
frost_cycle_000056,2026-07-29,current state,1.4348485007702458,0.6557658046681852,102,5
frost_cycle_000057,2026-07-29,current state,1.3711714984346843,0.5850534827916836,97,5
frost_cycle_000058,2026-07-29,current state,0.6699527960269749,0.5391081163359962,96,5
frost_cycle_000059,2026-07-29,current state,0.7062431727231396,0.55525428488367,97,5
frost_cycle_000050,2026-07-28,state + rate,0.6604347491618496,0.4776217193421078,95,5
frost_cycle_000051,2026-07-28,state + rate,0.6050306837900592,0.5291382718405572,94,5
frost_cycle_000052,2026-07-28,state + rate,0.6692899822650011,0.47009854389303424,97,5
frost_cycle_000053,2026-07-28,state + rate,0.586426050251557,0.43085344065481607,95,5
frost_cycle_000054,2026-07-28,state + rate,1.327630712888292,0.620296014099101,98,5
frost_cycle_000055,2026-07-28,state + rate,0.42371142291146463,0.3615427562527579,45,5
frost_cycle_000056,2026-07-29,state + rate,1.4114216028141284,0.6457017609333087,102,5
frost_cycle_000057,2026-07-29,state + rate,1.3703389113932927,0.5896844826650397,97,5
frost_cycle_000058,2026-07-29,state + rate,0.6273817733881772,0.5000285681844167,96,5
frost_cycle_000059,2026-07-29,state + rate,0.6952101932860958,0.5858225364796888,97,5
frost_cycle_000050,2026-07-28,current state,1.2455999125677053,0.8070807129270727,90,10
frost_cycle_000051,2026-07-28,current state,1.0383318331024798,0.7197479410694179,89,10
frost_cycle_000052,2026-07-28,current state,1.1050853862511885,0.8402917109719794,92,10
frost_cycle_000053,2026-07-28,current state,1.101116402389463,0.8517096830727455,90,10
frost_cycle_000054,2026-07-28,current state,1.563742227312819,0.889969808936159,93,10
frost_cycle_000055,2026-07-28,current state,0.5264690804538793,0.4143492000374874,40,10
frost_cycle_000056,2026-07-29,current state,1.752128953764472,1.022677761165679,97,10
frost_cycle_000057,2026-07-29,current state,1.5723722775275493,0.8351919116292637,92,10
frost_cycle_000058,2026-07-29,current state,1.137663388839142,0.8934051975757791,91,10
frost_cycle_000059,2026-07-29,current state,1.140247529355925,0.8178143700484045,92,10
frost_cycle_000050,2026-07-28,state + rate,1.1903323066021756,0.7617661955393918,90,10
frost_cycle_000051,2026-07-28,state + rate,0.9796790983968711,0.714583908270163,89,10
frost_cycle_000052,2026-07-28,state + rate,1.0138916245423049,0.7871671758916388,92,10
frost_cycle_000053,2026-07-28,state + rate,0.9497446205826042,0.7320787841857868,90,10
frost_cycle_000054,2026-07-28,state + rate,1.5814134436881453,0.8505312585612075,93,10
frost_cycle_000055,2026-07-28,state + rate,0.587188079530743,0.47431981658467715,40,10
frost_cycle_000056,2026-07-29,state + rate,1.6692688776595948,0.9806618417216871,97,10
frost_cycle_000057,2026-07-29,state + rate,1.535292920698615,0.7649046253760344,92,10
frost_cycle_000058,2026-07-29,state + rate,1.0016798476955397,0.7624294446854417,91,10
frost_cycle_000059,2026-07-29,state + rate,1.0960000980637599,0.813494180582374,92,10
frost_cycle_000050,2026-07-28,current state,2.1007063622726956,1.670517981316182,80,20
frost_cycle_000051,2026-07-28,current state,1.7257984556022876,1.372685791169149,79,20
frost_cycle_000052,2026-07-28,current state,1.8223345758296676,1.4971316842606381,82,20
frost_cycle_000053,2026-07-28,current state,2.025528297618377,1.6597338536658708,80,20
frost_cycle_000054,2026-07-28,current state,2.0938413386254227,1.5582023189987315,83,20
frost_cycle_000055,2026-07-28,current state,0.7348162347989966,0.6316764743834933,30,20
frost_cycle_000056,2026-07-29,current state,2.4559604758965454,1.59994893769169,87,20
frost_cycle_000057,2026-07-29,current state,2.165780062874953,1.5567895575228154,82,20
frost_cycle_000058,2026-07-29,current state,2.0666882126454094,1.7587455257847533,81,20
frost_cycle_000059,2026-07-29,current state,1.9626017697409952,1.6012842293436529,82,20
frost_cycle_000050,2026-07-28,state + rate,2.0401122804441085,1.5957836175907285,80,20
frost_cycle_000051,2026-07-28,state + rate,1.6028949170559428,1.1842075337838627,79,20
frost_cycle_000052,2026-07-28,state + rate,1.7234553485553343,1.4056163620775237,82,20
frost_cycle_000053,2026-07-28,state + rate,1.8136550455544749,1.45194826180025,80,20
frost_cycle_000054,2026-07-28,state + rate,2.0178669917573293,1.4222695779687349,83,20
frost_cycle_000055,2026-07-28,state + rate,0.7653924630062057,0.6668536505112667,30,20
frost_cycle_000056,2026-07-29,state + rate,2.4191185057664537,1.5285427903695201,87,20
frost_cycle_000057,2026-07-29,state + rate,2.1298099754436484,1.4366993559694055,82,20
frost_cycle_000058,2026-07-29,state + rate,1.9160156165860152,1.5342028356499084,81,20
frost_cycle_000059,2026-07-29,state + rate,1.8063143335759089,1.4240007464268452,82,20
