cycle,date,model,rmse,mae,observations,threshold,slope
frost_cycle_000050,2026-07-28,residual state,0.04384627064797078,0.03165268362219621,100,,
frost_cycle_000051,2026-07-28,residual state,0.05038855660401187,0.040382961405657,99,,
frost_cycle_000052,2026-07-28,residual state,0.050447831061635764,0.03561263010401505,102,,
frost_cycle_000053,2026-07-28,residual state,0.05479140238791017,0.03159675317118526,100,,
frost_cycle_000054,2026-07-28,residual state,0.041653985157563404,0.03021542838939967,103,,
frost_cycle_000055,2026-07-28,residual state,0.021265837478429597,0.016816835113811535,50,,
frost_cycle_000056,2026-07-29,residual state,0.05451061595401038,0.04732810239338191,107,,
frost_cycle_000057,2026-07-29,residual state,0.04292196604422289,0.030550929678115617,102,,
frost_cycle_000058,2026-07-29,residual state,0.039323408361436246,0.02857335313767275,101,,
frost_cycle_000059,2026-07-29,residual state,0.04406551356903298,0.033216993704889154,102,,
frost_cycle_000050,2026-07-28,approach temperature,0.043126838965191684,0.03139636129395765,100,,
frost_cycle_000051,2026-07-28,approach temperature,0.05210448774746629,0.04667016209754566,99,,
frost_cycle_000052,2026-07-28,approach temperature,0.05721357815340588,0.04183834102944354,102,,
frost_cycle_000053,2026-07-28,approach temperature,0.06929692079494422,0.03601027392683837,100,,
frost_cycle_000054,2026-07-28,approach temperature,0.06031128256931628,0.038833588721223444,103,,
frost_cycle_000055,2026-07-28,approach temperature,0.032747777228143184,0.02655885554051106,50,,
frost_cycle_000056,2026-07-29,approach temperature,0.07023213763471545,0.05665601598328376,107,,
frost_cycle_000057,2026-07-29,approach temperature,0.06192745511255582,0.04087188616282649,102,,
frost_cycle_000058,2026-07-29,approach temperature,0.042397148484810396,0.03512046281592959,101,,
frost_cycle_000059,2026-07-29,approach temperature,0.045397893248493595,0.03672982231961617,102,,
frost_cycle_000050,2026-07-28,residual + coil,0.04520008653216573,0.03258093094569374,100,,
frost_cycle_000051,2026-07-28,residual + coil,0.051818941450750465,0.04189098548105143,99,,
frost_cycle_000052,2026-07-28,residual + coil,0.050773085963597094,0.03706001394087199,102,,
frost_cycle_000053,2026-07-28,residual + coil,0.047172571452276685,0.03095449737331657,100,,
frost_cycle_000054,2026-07-28,residual + coil,0.03967812851833202,0.030710366043175605,103,,
frost_cycle_000055,2026-07-28,residual + coil,0.022860006265322114,0.01840444331606099,50,,
frost_cycle_000056,2026-07-29,residual + coil,0.05388781691666133,0.0466742253565313,107,,
frost_cycle_000057,2026-07-29,residual + coil,0.04095724509571402,0.031267093052570395,102,,
frost_cycle_000058,2026-07-29,residual + coil,0.040524908329978994,0.029234366495131038,101,,
frost_cycle_000059,2026-07-29,residual + coil,0.04545175484539538,0.034122693202725374,102,,
frost_cycle_000050,2026-07-28,residual + suction,0.04424807646359172,0.0322987165371671,100,,
frost_cycle_000051,2026-07-28,residual + suction,0.0505361666394504,0.04040655964935375,99,,
frost_cycle_000052,2026-07-28,residual + suction,0.049716184347459426,0.03608275121851741,102,,
frost_cycle_000053,2026-07-28,residual + suction,0.050841536856909945,0.03133296553124527,100,,
frost_cycle_000054,2026-07-28,residual + suction,0.03851754822093576,0.029731091200453502,103,,
frost_cycle_000055,2026-07-28,residual + suction,0.021341848927041527,0.01793110615528823,50,,
frost_cycle_000056,2026-07-29,residual + suction,0.054494716843456664,0.048372864263111985,107,,
frost_cycle_000057,2026-07-29,residual + suction,0.04039312549221326,0.030466818181194507,102,,
frost_cycle_000058,2026-07-29,residual + suction,0.04021189928143732,0.029170955168431437,101,,
frost_cycle_000059,2026-07-29,residual + suction,0.04553981812013965,0.03496253005249545,102,,
all_new_diagnostic,all_new,refit hinge threshold,0.04683421311291105,,966,0.148463406044673,0.01888840261064613
