date,slope_per_degC,rmse,observations,cycles
2026-07-14,0.023846910867765535,0.0711646773576384,274,2
2026-07-15,0.02127190334872573,0.04254835839308607,642,4
2026-07-16,0.019446866845240537,0.0389817878453814,497,3
2026-07-17,0.019047095008956273,0.035920672746813744,557,4
2026-07-20,0.01737396133345995,0.037178143379112794,342,2
2026-07-21,0.018363724849697907,0.0406125206883275,626,5
2026-07-23,0.015589983193852323,0.03330776743145518,732,7
2026-07-24,0.016038041964604368,0.029677261585768035,751,5
2026-07-27,0.02118529179921771,0.03688243832035304,703,7
2026-07-28,0.013217144850154853,0.05344553701848376,117,1
