cycle,metadata_images,local_images,panel_available
frost_cycle_000003,380,0,True
frost_cycle_000004,268,0,True
frost_cycle_000005,1915,0,True
frost_cycle_000006,460,0,True
frost_cycle_000007,1941,0,True
frost_cycle_000008,1900,0,True
frost_cycle_000012,1834,0,True
frost_cycle_000013,983,0,True
frost_cycle_000014,1800,0,True
frost_cycle_000015,3090,0,True
frost_cycle_000017,2292,0,True
frost_cycle_000018,2184,0,True
frost_cycle_000019,894,0,True
frost_cycle_000020,2766,0,True
frost_cycle_000021,2310,0,True
frost_cycle_000023,864,0,True
frost_cycle_000024,2316,0,True
frost_cycle_000026,72,0,True
frost_cycle_000027,0,0,True
frost_cycle_000028,0,0,True
frost_cycle_000029,1212,0,True
frost_cycle_000030,690,0,True
frost_cycle_000031,876,0,True
frost_cycle_000032,1932,0,True
frost_cycle_000033,1962,0,True
frost_cycle_000034,1962,0,True
frost_cycle_000035,1518,0,True
frost_cycle_000036,2262,0,True
frost_cycle_000037,1457,0,True
frost_cycle_000039,1926,0,True
frost_cycle_000040,1932,0,True
frost_cycle_000041,1644,0,True
frost_cycle_000042,921,0,True
frost_cycle_000043,2052,0,True
frost_cycle_000044,1944,0,True
frost_cycle_000045,1578,0,True
frost_cycle_000046,1560,0,True
frost_cycle_000047,1566,0,True
frost_cycle_000048,756,0,True
frost_cycle_000049,1338,1338,True
