horizon_minutes,model,rmse_degC,mae_degC,observations
5,persistence,1.0740759635887358,0.6628873056162687,5036
5,current state,0.9372053248792147,0.6014189815410731,5036
5,state + rate,0.9200694323819458,0.5712009507168475,4833
5,state + rate + ambient,0.9219991289896586,0.5752303198014947,4833
10,persistence,1.6835511930592642,1.166012398454153,4839
10,current state,1.336758897115478,0.9653341579195152,4839
10,state + rate,1.2726318988279093,0.9015714252958021,4636
10,state + rate + ambient,1.281223602039902,0.9116757717772684,4636
20,persistence,2.9651678607634584,2.193087486060774,4441
20,current state,2.113166998759355,1.6939405262798874,4441
20,state + rate,2.026305325390819,1.5951227274420032,4237
20,state + rate + ambient,2.061115003288484,1.622911464142441,4237
30,persistence,4.256105364664103,3.312002446746733,4041
30,current state,2.773561531272922,2.3688509966535665,4041
30,state + rate,2.6316859989922956,2.165380117477332,3837
30,state + rate + ambient,2.707758141982581,2.2108849932751515,3837
