cycle_name,valid,invalid_reason,anchor_start,q_clean_kw,power_clean_kw,cop_clean,observed_points
frost_cycle_000001,True,,2026-07-14 17:25:59.000000000,6.666461999999997,2.912,2.2893070054945044,59.0
frost_cycle_000002,True,,2026-07-14 17:44:16.000000000,4.911030000000012,1.63,3.012901840490805,59.0
frost_cycle_000003,True,,2026-07-14 18:12:55.000000000,6.464447999999996,2.805,2.304616042780747,51.0
frost_cycle_000004,True,,2026-07-14 21:24:26.000000000,5.542614000000002,2.953,1.8769434473416873,57.0
frost_cycle_000005,False,clean_anchor_coverage_below_80pct,,,,,
frost_cycle_000006,True,,2026-07-15 15:52:17.000000000,7.472195999999997,2.8325,2.6380215357458066,56.0
frost_cycle_000007,True,,2026-07-15 17:01:52.000000000,7.151759999999998,2.569,2.7838692098092634,59.0
frost_cycle_000008,True,,2026-07-15 20:20:39.000000000,6.644403000000006,2.91,2.283300000000002,57.0
frost_cycle_000009,True,,2026-07-15 23:31:13.000000000,6.640920000000001,2.881,2.305074626865672,53.0
frost_cycle_000010,True,,2026-07-16 10:02:01.000000000,7.523280000000001,2.9314999999999998,2.5663585195292518,58.0
frost_cycle_000011,True,,2026-07-16 10:58:00.000000000,7.6028084999999965,2.6915,2.824747724317294,58.0
frost_cycle_000012,True,,2026-07-16 14:28:08.000000000,6.634534499999997,2.912,2.2783428914835158,60.0
frost_cycle_000013,False,clean_anchor_coverage_below_80pct,,,,,
frost_cycle_000014,True,,2026-07-16 20:53:42.000000000,7.3044315000000015,2.8505000000000003,2.5625088580950712,60.0
frost_cycle_000015,False,clean_anchor_coverage_below_80pct,,,,,
frost_cycle_000016,True,,2026-07-17 13:44:48.000000000,5.1618060000000145,1.7,3.036356470588244,55.0
frost_cycle_000017,True,,2026-07-17 16:25:51.000000000,7.168014000000005,2.743,2.613202333211814,55.0
frost_cycle_000018,True,,2026-07-17 19:38:28.000000000,6.488828999999998,2.83,2.2928724381625436,60.0
frost_cycle_000019,True,,2026-07-17 22:48:46.000000000,7.084421999999997,2.661,2.66231567080045,59.0
frost_cycle_000020,True,,2026-07-20 10:04:40.000000000,7.61616,2.992,2.5455080213903742,60.0
frost_cycle_000021,True,,2026-07-20 13:23:48.000000000,7.603389,2.8535000000000004,2.664583493954792,56.0
frost_cycle_000022,True,,2026-07-20 16:36:54.000000000,7.149438000000003,2.6814999999999998,2.6662084654111515,56.0
frost_cycle_000023,True,,2026-07-21 09:10:24.000000000,6.959034000000006,2.551,2.727963151705216,57.0
frost_cycle_000024,True,,2026-07-21 10:12:12.000000000,7.7398065,2.7875,2.776612197309417,54.0
frost_cycle_000025,True,,2026-07-21 13:25:36.000000000,7.383959999999996,2.7515,2.6836125749591115,60.0
frost_cycle_000026,True,,2026-07-21 16:38:25.000000000,7.151760000000001,2.738,2.612037983929876,59.0
frost_cycle_000027,True,,2026-07-21 19:19:55.000000000,7.0821000000000005,2.7365000000000004,2.5880138863511783,58.0
frost_cycle_000028,True,,2026-07-21 22:02:05.000000000,7.076294999999996,2.748,2.5750709606986883,55.0
frost_cycle_000029,True,,2026-07-23 09:33:34.000000000,6.959034000000006,2.4725,2.8145739130434806,60.0
frost_cycle_000030,True,,2026-07-23 10:57:25.000000000,7.24464,2.706,2.677250554323725,56.0
frost_cycle_000031,True,,2026-07-23 11:55:31.000000000,7.042045499999992,2.68,2.6276289179104446,56.0
frost_cycle_000032,True,,2026-07-23 13:09:00.000000000,7.370028000000002,2.7885,2.6430080688542237,60.0
frost_cycle_000033,True,,2026-07-23 15:50:20.000000000,6.711741000000002,2.621,2.560755818389928,54.0
