cycle_name,included,reason,cohort_tier,candidate_end_source,is_censored
frost_cycle_000001,False,catalog_invalid,,,
frost_cycle_000002,False,catalog_invalid,,,
frost_cycle_000003,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000004,False,missing_defrost_start,,,
frost_cycle_000005,False,invalid_clean_anchor,,,
frost_cycle_000006,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000007,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000008,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000009,False,catalog_invalid,,,
frost_cycle_000010,False,catalog_invalid,,,
frost_cycle_000011,False,catalog_invalid,,,
frost_cycle_000012,False,missing_defrost_preparation_start,,,
frost_cycle_000013,False,invalid_clean_anchor,,,
frost_cycle_000014,False,catalog_partial,,,
frost_cycle_000015,False,missing_defrost_end,,,
frost_cycle_000016,False,catalog_invalid,,,
frost_cycle_000017,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000018,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000019,False,catalog_partial,,,
frost_cycle_000020,False,missing_defrost_end,,,
frost_cycle_000021,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000022,False,catalog_invalid,,,
frost_cycle_000023,False,missing_defrost_end,,,
frost_cycle_000024,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000025,False,catalog_invalid,,,
frost_cycle_000026,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000027,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000028,False,missing_defrost_start,,,
frost_cycle_000029,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000030,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000031,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000032,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000033,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000034,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000035,False,catalog_partial,,,
frost_cycle_000036,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000037,False,catalog_partial,,,
frost_cycle_000038,False,catalog_invalid,,,
frost_cycle_000039,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000040,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000041,False,catalog_partial,,,
frost_cycle_000042,False,missing_defrost_start,,,
frost_cycle_000043,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000044,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000045,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000046,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000047,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000048,False,catalog_partial,,,
frost_cycle_000049,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000050,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000051,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000052,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000053,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000054,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000055,False,missing_defrost_start,,,
frost_cycle_000056,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000057,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000058,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000059,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000060,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000061,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000062,False,catalog_partial,,,
frost_cycle_000063,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000064,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000065,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000066,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000067,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000068,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000069,False,catalog_partial,,,
frost_cycle_000070,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000071,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000072,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000073,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000074,False,catalog_reference,,,
frost_cycle_000075,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000076,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000077,False,catalog_partial,,,
frost_cycle_000078,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000079,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000080,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000081,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000082,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000083,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000084,False,missing_defrost_start,,,
frost_cycle_000085,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000086,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000087,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000088,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000089,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000090,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000091,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000092,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000093,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000094,False,missing_defrost_start,,,
frost_cycle_000095,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000096,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000097,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000098,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000099,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000100,True,,complete_observed_cycle,observed_preparation,False
frost_cycle_000101,False,missing_defrost_start,,,
