cycle_name,valid,invalid_reason,defrost_start,recovery_stable,electricity_kwh,defrost_electricity_kwh,recovery_electricity_kwh,measured_signed_transient_user_heat_kwh,assumed_primary_user_heat_kwh,thermal_shortfall_kwh,equivalent_cost_kwh,duration_minutes,integration_coverage,defrost_electricity_coverage,recovery_electricity_coverage,thermal_shortfall_coverage,signed_transient_user_heat_coverage
frost_cycle_000001,False,catalog_invalid,,,,,,,,,,,,,,,
frost_cycle_000002,False,catalog_invalid,,,,,,,,,,,,,,,
frost_cycle_000003,True,,2026-07-14 21:06:24,2026-07-14 21:17:08,0.18610125,0.06955,0.11655125,-0.44520238125,0.0,1.4483818017803067,0.8038376135871033,10.733333333333333,1.0,1.0,1.0,1.0,1.0
frost_cycle_000004,False,missing_defrost_start,,,,,,,,,,,,,,,
frost_cycle_000005,False,invalid_clean_anchor,,,,,,,,,,,,,,,
frost_cycle_000006,True,,2026-07-15 16:47:45,2026-07-15 16:56:39,0.1755175,0.05880958333333334,0.11670791666666666,-0.10505292374999992,0.0,1.1623773942170657,0.6712726826023405,8.9,1.0,1.0,1.0,0.9887640449438202,0.9887640449438202
frost_cycle_000007,True,,2026-07-15 20:03:24,2026-07-15 20:16:54,0.2872033333333333,0.08396430555555556,0.20323902777777775,-0.2920298775000001,0.0,1.7930503885652314,1.0519412121158895,13.5,1.0,1.0,1.0,1.0,1.0
frost_cycle_000008,True,,2026-07-15 23:13:58,2026-07-15 23:27:43,0.2965715277777778,0.08272013888888889,0.21385138888888888,-0.2624500162500003,0.0,1.7734910548386393,1.0529673301302103,13.75,1.0,1.0,1.0,0.9927272727272727,0.9927272727272727
frost_cycle_000009,False,catalog_invalid,,,,,,,,,,,,,,,
frost_cycle_000010,False,catalog_invalid,,,,,,,,,,,,,,,
frost_cycle_000011,False,catalog_invalid,,,,,,,,,,,,,,,
frost_cycle_000012,False,invalid_clean_anchor,,,,,,,,,,,,,,,
frost_cycle_000013,False,invalid_clean_anchor,,,,,,,,,,,,,,,
frost_cycle_000014,False,catalog_partial,,,,,,,,,,,,,,,
frost_cycle_000015,False,missing_defrost_end,,,,,,,,,,,,,,,
frost_cycle_000016,False,catalog_invalid,,,,,,,,,,,,,,,
frost_cycle_000017,True,,2026-07-17 19:21:15,2026-07-17 19:34:28,0.2590541666666667,0.07457916666666667,0.184475,-0.32450869125000026,0.0,1.7623199916394823,1.0106854988016698,13.216666666666667,1.0,1.0,1.0,1.0,1.0
frost_cycle_000018,True,,2026-07-17 22:32:07,2026-07-17 22:46:29,0.3108269444444445,0.07365625,0.23717069444444444,-0.13660664624999996,0.0,1.8261199166805695,1.0896690117899892,14.366666666666667,1.0,1.0,1.0,1.0,1.0
frost_cycle_000019,False,catalog_partial,,,,,,,,,,,,,,,
frost_cycle_000020,False,missing_defrost_end,,,,,,,,,,,,,,,
frost_cycle_000021,True,,2026-07-20 16:20:31,2026-07-20 16:34:37,0.31121875,0.08106416666666666,0.23015458333333333,-0.13371462749999996,0.0,1.8194135734143584,1.0872005548808106,14.1,1.0,1.0,1.0,1.0,1.0
frost_cycle_000022,False,catalog_invalid,,,,,,,,,,,,,,,
frost_cycle_000023,False,missing_defrost_end,,,,,,,,,,,,,,,
frost_cycle_000024,True,,2026-07-21 13:08:48,2026-07-21 13:23:11,0.30015430555555556,0.07541736111111111,0.22473694444444442,-0.21071295375,0.0,1.9852715335443047,1.1468747050781323,14.383333333333333,1.0,1.0,1.0,1.0,1.0
frost_cycle_000025,False,catalog_invalid,,,,,,,,,,,,,,,
frost_cycle_000026,True,,2026-07-21 19:03:35,2026-07-21 19:17:06,0.27916416666666666,0.07126791666666667,0.20789625,-0.20002256249999995,0.0,1.7963927090247678,1.0453275486446365,13.516666666666667,1.0,1.0,1.0,1.0,1.0
frost_cycle_000027,True,,2026-07-21 21:45:32,2026-07-21 22:00:12,0.3243611111111111,0.07062694444444445,0.25373416666666665,-0.07869612749999999,0.0,1.8085736521691924,1.095719678166558,14.666666666666666,1.0,1.0,1.0,1.0,1.0
frost_cycle_000028,False,missing_defrost_start,,,,,,,,,,,,,,,
frost_cycle_000029,True,,2026-07-23 10:43:19,2026-07-23 10:53:38,0.20203597222222225,0.046046527777777777,0.15598944444444446,-0.03077859375000014,0.0,1.2712173347115387,0.7442115040525427,10.316666666666666,1.0,1.0,1.0,1.0,1.0
frost_cycle_000030,True,,2026-07-23 11:41:30,2026-07-23 11:51:37,0.2025911111111111,0.04173972222222223,0.1608513888888889,0.01951044374999994,0.0,1.173198335496449,0.7029614365634236,10.116666666666667,1.0,1.0,1.0,1.0,1.0
frost_cycle_000031,True,,2026-07-23 12:54:41,2026-07-23 13:05:21,0.2137426388888889,0.04553152777777778,0.16821111111111112,-0.02781884999999995,0.0,1.3309179003061922,0.7813805248092729,10.666666666666666,1.0,1.0,1.0,1.0,1.0
frost_cycle_000032,True,,2026-07-23 15:35:08,2026-07-23 15:47:03,0.22169763888888888,0.06900069444444444,0.15269694444444445,-0.38887646625000005,0.0,1.7194492597314055,0.9550445587227563,11.916666666666666,1.0,1.0,1.0,0.9916083916083916,0.9916083916083916
frost_cycle_000033,True,,2026-07-23 18:19:17,2026-07-23 18:30:41,0.2074170833333333,0.06686333333333333,0.14055374999999998,-0.40584528750000004,0.0,1.6134896695840522,0.8955721263952401,11.4,0.9597523219814241,0.9597523219814241,1.0,1.0,1.0
frost_cycle_000034,True,,2026-07-23 21:02:55,2026-07-23 21:13:51,0.20175569444444444,0.06849125,0.13326444444444444,-0.3670506337500001,0.0,1.554945744372124,0.8649416917574476,10.933333333333334,1.0,1.0,1.0,1.0,1.0
frost_cycle_000035,False,catalog_partial,,,,,,,,,,,,,,,
frost_cycle_000036,True,,2026-07-24 12:31:19,2026-07-24 12:42:16,0.2312338888888889,0.06758666666666667,0.16364722222222222,-0.18788817749999998,0.0,1.4278346530760468,0.8402068719177365,10.95,1.0,1.0,1.0,0.9908675799086758,0.9908675799086758
frost_cycle_000037,False,catalog_partial,,,,,,,,,,,,,,,
frost_cycle_000038,False,catalog_invalid,,,,,,,,,,,,,,,
frost_cycle_000039,True,,2026-07-24 18:14:31,2026-07-24 18:26:52,0.25403597222222224,0.07759763888888889,0.17643833333333334,-0.3161212724999999,0.0,1.6893350005713974,0.9745391288144105,12.35,0.9701149425287356,1.0,0.9701149425287356,0.9919028340080972,0.9919028340080972
frost_cycle_000040,True,,2026-07-24 20:55:43,2026-07-24 21:06:52,0.2237777777777778,0.07390430555555556,0.14987347222222222,-0.3722536875,0.0,1.6129760130146444,0.9117137457719584,11.15,1.0,1.0,1.0,1.0,1.0
frost_cycle_000041,False,catalog_partial,,,,,,,,,,,,,,,
frost_cycle_000042,False,missing_defrost_start,,,,,,,,,,,,,,,
frost_cycle_000043,True,,2026-07-27 13:29:11,2026-07-27 13:44:43,0.37021791666666665,0.08708986111111111,0.28312805555555554,-0.06866653875000017,0.0,2.204683039097567,1.3105175543452627,15.533333333333333,1.0,1.0,1.0,0.9935622317596566,0.9935622317596566
frost_cycle_000044,True,,2026-07-27 16:11:50,2026-07-27 16:25:47,0.3176438888888889,0.07932236111111111,0.23832152777777776,-0.16211252625000017,0.0,1.8583975369587626,1.1102523952710108,13.95,1.0,1.0,1.0,1.0,1.0
frost_cycle_000045,True,,2026-07-27 18:23:46,2026-07-27 18:35:16,0.23756166666666664,0.07378124999999999,0.16378041666666665,-0.28946148749999995,0.0,1.6255607180631655,0.9308650246155774,11.5,1.0,1.0,1.0,1.0,1.0
frost_cycle_000046,True,,2026-07-27 20:34:04,2026-07-27 20:45:53,0.2525773611111111,0.07380138888888889,0.17877597222222222,-0.23592874500000016,0.0,1.6123650943425347,0.9402527716483471,11.816666666666666,1.0,1.0,1.0,0.9915373765867419,0.9915373765867419
frost_cycle_000047,True,,2026-07-27 22:44:57,2026-07-27 22:56:49,0.24858930555555553,0.07347152777777778,0.17511777777777776,-0.26608168874999993,0.0,1.6434180729892482,0.9495088441840105,11.866666666666667,1.0,1.0,1.0,1.0,1.0
frost_cycle_000048,False,catalog_partial,,,,,,,,,,,,,,,
frost_cycle_000049,True,,2026-07-28 11:20:22,2026-07-28 11:34:21,0.32757263888888893,0.0767288888888889,0.25084375000000003,-0.06005159625000012,0.0,1.9054501696569612,1.1402491426626222,13.983333333333333,1.0,1.0,1.0,1.0,1.0
frost_cycle_000050,True,,2026-07-28 13:31:07,2026-07-28 13:50:29,0.6029880555555556,0.07507027777777778,0.5279177777777778,0.5989083000000002,0.0,2.0180492510120835,1.4636881860926638,19.366666666666667,1.0,1.0,1.0,1.0,1.0
frost_cycle_000051,True,,2026-07-28 15:42:05,2026-07-28 15:53:27,0.23344833333333334,0.075155,0.15829333333333334,-0.32592478874999997,0.0,1.6366269010063839,0.931471429960078,11.366666666666667,1.0,1.0,1.0,1.0,1.0
frost_cycle_000052,True,,2026-07-28 17:52:47,2026-07-28 18:11:07,0.5523691666666666,0.07299097222222223,0.4793781944444444,0.46556422500000005,0.0,1.8483634129613358,1.3406981085980796,18.333333333333332,1.0,1.0,1.0,1.0,1.0
frost_cycle_000053,True,,2026-07-28 20:03:10,2026-07-28 20:14:37,0.23584611111111112,0.07477847222222223,0.1610676388888889,-0.3115556400000001,0.0,1.6516987687777267,0.9402973752128205,11.45,1.0,1.0,1.0,1.0,1.0
frost_cycle_000054,True,,2026-07-28 22:14:23,2026-07-28 22:26:21,0.25277944444444445,0.07452680555555556,0.17825263888888887,-0.24414894750000005,0.0,1.6359302467512356,0.9505054172978002,11.966666666666667,1.0,1.0,1.0,0.9916434540389972,0.9916434540389972
frost_cycle_000055,False,missing_defrost_start,,,,,,,,,,,,,,,
frost_cycle_000056,True,,2026-07-29 11:44:16,2026-07-29 11:57:31,0.3000922222222222,0.07645305555555555,0.22363916666666667,-0.14712965999999994,0.0,1.7339453104665108,1.039621722958771,13.25,0.9979959919839679,1.0,0.9979959919839679,0.9924528301886792,0.9924528301886792
frost_cycle_000057,True,,2026-07-29 13:55:30,2026-07-29 14:07:18,0.24771138888888888,0.07402486111111112,0.17368652777777777,-0.27593680500000006,0.0,1.6797113811570945,0.9641100616673268,11.8,1.0,1.0,1.0,1.0,1.0
frost_cycle_000058,True,,2026-07-29 16:06:05,2026-07-29 16:17:46,0.24701569444444446,0.07361402777777779,0.17340166666666668,-0.25277920874999993,0.0,1.6361610648508553,0.9448401114603366,11.683333333333334,0.9857482185273159,1.0,0.9857482185273159,1.0,1.0
frost_cycle_000059,True,,2026-07-29 18:16:49,2026-07-29 18:35:31,0.5700106944444444,0.07411333333333334,0.49589736111111105,0.5175173625000002,0.0,1.937469862537741,1.3963436309481638,18.7,1.0,1.0,1.0,1.0,1.0
frost_cycle_000060,True,,2026-07-29 20:27:30,2026-07-29 20:47:18,0.6266458333333333,0.07507611111111112,0.5515697222222222,0.7256717625,0.0,2.0225729370637313,1.4892753207348537,19.8,1.0,1.0,1.0,0.9949494949494949,0.9949494949494949
frost_cycle_000061,True,,2026-07-29 22:37:58,2026-07-29 22:50:55,0.2859716666666667,0.07640986111111112,0.20956180555555556,-0.13369027875000006,0.0,1.6721366762138388,0.999139719810737,12.95,1.0,1.0,1.0,0.9922779922779923,0.9922779922779923
frost_cycle_000062,False,catalog_partial,,,,,,,,,,,,,,,
frost_cycle_000063,True,,2026-07-30 11:53:09,2026-07-30 12:13:14,0.6272173611111111,0.07821194444444445,0.5490054166666667,0.6182802299999999,0.0,2.1317942978668136,1.536429873903864,20.083333333333332,1.0,1.0,1.0,0.9933609958506224,0.9933609958506224
frost_cycle_000064,True,,2026-07-30 14:03:22,2026-07-30 14:18:25,0.3751543055555555,0.0737663888888889,0.30138791666666664,0.11483515499999997,0.0,1.8628625989772727,1.169667165590226,15.05,0.9790209790209791,0.9790209790209791,1.0,1.0,1.0
frost_cycle_000065,True,,2026-07-30 16:13:36,2026-07-30 16:32:40,0.5840709722222224,0.07518555555555556,0.5088854166666668,0.5344041075000001,0.0,2.0048852324961777,1.4391566350007508,19.066666666666666,1.0,1.0,1.0,1.0,1.0
frost_cycle_000066,True,,2026-07-30 18:24:28,2026-07-30 18:44:35,0.64800375,0.07654916666666667,0.5714545833333333,0.6635759999999999,0.0,2.042981227537273,1.5193373947781588,20.116666666666667,1.0,1.0,1.0,0.9900579950289975,0.9900579950289975
frost_cycle_000067,True,,2026-07-30 20:34:57,2026-07-30 20:55:32,0.6732316666666667,0.07592763888888888,0.5973040277777778,0.73421107875,0.0,2.085889546877862,1.5628657548255067,20.583333333333332,1.0,1.0,1.0,1.0,1.0
frost_cycle_000068,True,,2026-07-30 22:45:24,2026-07-30 22:58:05,0.27416208333333336,0.07603638888888889,0.19812569444444444,-0.19828428749999993,0.0,1.586816325006953,0.9509409168464114,12.683333333333334,1.0,1.0,1.0,1.0,1.0
frost_cycle_000069,False,catalog_partial,,,,,,,,,,,,,,,
frost_cycle_000070,True,,2026-07-31 11:28:26,2026-07-31 11:42:35,0.3267766666666667,0.07879930555555556,0.24797736111111113,-0.06562729874999995,0.0,1.881780915903497,1.1293582087911214,14.15,1.0,1.0,1.0,1.0,1.0
frost_cycle_000071,True,,2026-07-31 13:39:13,2026-07-31 13:54:10,0.36427458333333335,0.07566819444444445,0.2886063888888889,0.04616716499999984,0.0,1.9550865539148772,1.1981210572595555,14.95,1.0,1.0,1.0,1.0,1.0
frost_cycle_000072,True,,2026-07-31 15:49:01,2026-07-31 16:08:50,0.6383352777777778,0.0753201388888889,0.5630151388888889,0.6554752837500002,0.0,2.0652151185886916,1.519151700501374,19.816666666666666,1.0,1.0,1.0,1.0,1.0
frost_cycle_000073,True,,2026-07-31 17:58:14,2026-07-31 18:08:48,0.2081336111111111,0.07308680555555555,0.13504680555555554,-0.21970441500000015,0.0,1.5964227488532527,0.8890095945100792,10.566666666666666,1.0,1.0,1.0,1.0,1.0
frost_cycle_000074,False,catalog_reference,,,,,,,,,,,,,,,
frost_cycle_000075,True,,2026-07-31 21:05:43,2026-07-31 21:25:21,0.6214200000000001,0.07275180555555555,0.5486681944444445,0.5719589099999998,0.0,2.0161262368245243,1.4812999629612045,19.633333333333333,1.0,1.0,1.0,1.0,1.0
frost_cycle_000076,True,,2026-07-31 23:15:42,2026-07-31 23:29:08,0.31330986111111114,0.07238263888888889,0.24092722222222224,-0.05920793624999987,0.0,1.5847147796967744,0.9891923833364972,13.433333333333334,1.0,1.0,1.0,1.0,1.0
frost_cycle_000077,False,catalog_partial,,,,,,,,,,,,,,,
frost_cycle_000078,True,,2026-08-03 11:56:49,2026-08-03 12:11:12,0.35828,0.06992347222222223,0.28835652777777776,0.20595769124999996,0.0,1.7460632780796033,1.1029778266836001,14.383333333333333,0.9817275747508306,1.0,0.9817275747508306,1.0,1.0
frost_cycle_000079,True,,2026-08-03 14:07:33,2026-08-03 14:21:37,0.3481340277777778,0.072375,0.2757590277777778,0.07763042624999994,0.0,1.6903622424774973,1.0690753041245904,14.066666666666666,1.0,1.0,1.0,1.0,1.0
frost_cycle_000080,True,,2026-08-03 16:18:05,2026-08-03 16:31:47,0.32885875,0.0730773611111111,0.2557813888888889,0.012594753750000076,0.0,1.7947127619855454,1.0943056327967784,13.7,1.0,1.0,1.0,0.9987834549878345,0.9987834549878345
frost_cycle_000081,True,,2026-08-03 18:28:12,2026-08-03 18:41:51,0.3263526388888889,0.07382222222222222,0.25253041666666665,0.003103256249999964,0.0,1.672309349260118,1.03959433726902,13.65,1.0,1.0,1.0,1.0,1.0
frost_cycle_000082,True,,2026-08-03 20:38:17,2026-08-03 20:58:22,0.6533622222222222,0.07426347222222222,0.57909875,0.7270488374999998,0.0,2.003827497009608,1.5079967597019466,20.083333333333332,1.0,1.0,1.0,0.9950207468879668,0.9950207468879668
frost_cycle_000083,True,,2026-08-03 22:48:13,2026-08-03 23:01:31,0.30936208333333337,0.07474569444444444,0.23461638888888892,-0.03493658624999996,0.0,1.6460921487941595,1.0114221181083511,13.3,1.0,1.0,1.0,0.9912280701754386,0.9912280701754386
frost_cycle_000084,False,missing_defrost_start,,,,,,,,,,,,,,,
frost_cycle_000085,True,,2026-08-04 09:55:17,2026-08-04 10:05:13,0.19664430555555557,0.04434055555555556,0.15230375000000002,-0.02443598624999993,0.0,1.2378642452566904,0.7245947096129998,9.933333333333334,1.0,1.0,1.0,1.0,1.0
frost_cycle_000086,True,,2026-08-04 10:46:04,2026-08-04 10:58:48,0.310785,0.04124013888888889,0.2695448611111111,0.31496785124999993,0.0,1.2582473436109753,0.8474288169686927,12.733333333333333,1.0,1.0,1.0,1.0,1.0
frost_cycle_000087,True,,2026-08-04 11:59:46,2026-08-04 12:12:10,0.2704863888888889,0.047253611111111114,0.22323277777777778,0.07771121250000013,0.0,1.4350013662146388,0.8825159826178046,12.4,1.0,1.0,1.0,1.0,1.0
frost_cycle_000088,True,,2026-08-04 13:20:36,2026-08-04 13:35:51,0.4025655555555555,0.049327777777777776,0.35323777777777776,0.38952517500000006,0.0,1.6256519681467634,1.0959078317612059,15.25,1.0,1.0,1.0,1.0,1.0
frost_cycle_000089,True,,2026-08-04 14:47:42,2026-08-04 15:15:29,1.1405033333333332,0.04960277777777777,1.0909005555555553,1.9821494999999998,0.0,2.1172564255498756,2.0435154282747154,27.783333333333335,1.0,1.0,1.0,0.9964007198560288,0.9964007198560288
frost_cycle_000090,True,,2026-08-04 16:57:44,2026-08-04 17:17:59,0.6283244444444445,0.06623347222222223,0.5620909722222223,0.68089279875,0.0,2.152660953937217,1.5464366080235503,20.25,0.9933993399339934,1.0,0.9933993399339934,1.0,1.0
frost_cycle_000091,True,,2026-08-04 19:08:38,2026-08-04 19:28:54,0.626210138888889,0.06712791666666668,0.5590822222222223,0.67728337875,0.0,2.1792963951670155,1.5556823461992884,20.266666666666666,1.0,1.0,1.0,1.0,1.0
frost_cycle_000092,True,,2026-08-04 21:19:50,2026-08-04 21:34:28,0.3461225,0.06796902777777777,0.2781534722222222,0.05729325374999983,0.0,1.7434454880928296,1.0897038364977412,14.633333333333333,1.0,1.0,1.0,1.0,1.0
frost_cycle_000093,True,,2026-08-04 23:31:48,2026-08-04 23:37:42,0.07663986111111111,0.06749958333333334,0.009140277777777778,-0.7528546425,0.0,1.2516671317185137,0.6104772107787887,5.9,1.0,1.0,1.0,1.0,1.0
frost_cycle_000094,False,missing_defrost_start,,,,,,,,,,,,,,,
frost_cycle_000095,True,,2026-08-05 12:17:51,2026-08-05 12:32:23,0.3472705555555555,0.07812111111111111,0.26914944444444444,-0.010753117499999965,0.0,1.872244595423034,1.1457848469534673,14.533333333333333,1.0,1.0,1.0,1.0,1.0
frost_cycle_000096,True,,2026-08-05 14:29:24,2026-08-05 14:40:43,0.23419069444444446,0.07428916666666667,0.15990152777777777,-0.27499945875,0.0,1.5793326470214386,0.9077777314164819,11.316666666666666,1.0,1.0,1.0,1.0,1.0
frost_cycle_000097,True,,2026-08-05 16:40:38,2026-08-05 16:51:58,0.2336022222222222,0.07236555555555556,0.16123666666666667,-0.2842531125,0.0,1.5367339034275729,0.8890208501955352,11.333333333333334,1.0,1.0,1.0,1.0,1.0
frost_cycle_000098,True,,2026-08-05 18:52:22,2026-08-05 19:03:07,0.2163247222222222,0.0692025,0.1471222222222222,-0.2989199287500002,0.0,1.472691001269626,0.8444289849888011,10.75,0.9779411764705882,0.9779411764705882,1.0,0.9906976744186047,0.9906976744186047
frost_cycle_000099,True,,2026-08-05 21:03:53,2026-08-05 21:14:43,0.2210740277777778,0.07206486111111111,0.14900916666666666,-0.28465849500000007,0.0,1.4801106280588072,0.8523427691827161,10.833333333333334,0.9963503649635036,0.9963503649635036,0.9973404255319149,1.0,1.0
frost_cycle_000100,False,recovery_not_observed,,,,,,,,,,,,,,,
frost_cycle_000101,False,missing_defrost_start,,,,,,,,,,,,,,,
