cycle_name,cohort_tier,minimum_location,is_censored,minutes_from_stable,near_opt_start_minutes,near_opt_end_minutes,t_star,cop_at_t_star_60s,q_at_t_star_60s_kw,power_at_t_star_60s_kw,front_image_time,front_image_path,front_image_available,front_image_offset_seconds
frost_cycle_000086,complete_observed_cycle,right_observed,False,33.45,26.0,33.45,2026-08-04 10:45:22.000000000,2.3014859518642257,8.205948000000003,3.567,2026-08-04 10:45:13.041,dataset/images/frost_cycle_000086/front/20260804104513041.jpg,True,8.959
frost_cycle_000066,complete_observed_cycle,interior,False,34.0,21.0,109.95,2026-07-30 17:08:10.000000000,1.9475217391304342,7.606871999999997,3.939,2026-07-30 17:08:19.081,dataset/images/frost_cycle_000066/front/20260730170819081.jpg,True,9.081
frost_cycle_000068,complete_observed_cycle,interior,False,34.0,20.0,108.18333333333334,2026-07-30 21:30:52.000000000,1.9346063072227886,7.6068720000000045,3.929,2026-07-30 21:30:49.182,dataset/images/frost_cycle_000068/front/20260730213049182.jpg,True,2.818
frost_cycle_000092,complete_observed_cycle,interior,False,34.0,19.0,108.55,2026-08-04 20:04:57.000000000,1.8826070612141228,7.411824000000001,3.971,2026-08-04 20:04:43.490,dataset/images/frost_cycle_000092/front/20260804200443490.jpg,True,13.51
frost_cycle_000061,complete_observed_cycle,interior,False,35.0,21.0,109.53333333333333,2026-07-29 21:23:05.000000000,2.018450944861506,7.797275999999998,3.863,2026-07-29 21:22:56.439,,False,8.561
frost_cycle_000076,complete_observed_cycle,interior,False,35.0,22.0,108.4,2026-07-31 22:01:54.000000000,1.9216551724137942,7.690464000000004,4.0015,2026-07-31 22:01:56.954,dataset/images/frost_cycle_000076/front/20260731220156954.jpg,True,2.9539999999999997
frost_cycle_000073,complete_observed_cycle,interior,False,36.0,23.0,108.36666666666666,2026-07-31 16:45:33.000000000,2.0009289533995425,7.857648000000003,3.929,2026-07-31 16:45:26.907,dataset/images/frost_cycle_000073/front/20260731164526907.jpg,True,6.093
frost_cycle_000064,complete_observed_cycle,interior,False,37.0,23.0,108.36666666666666,2026-07-30 12:51:38.999999999,2.051286766573535,8.075916000000007,3.936,2026-07-30 12:51:48.854,dataset/images/frost_cycle_000064/front/20260730125148854.jpg,True,9.854
frost_cycle_000067,complete_observed_cycle,interior,False,37.0,21.0,108.8,2026-07-30 19:22:48.000000000,1.9112618987019605,7.509348000000003,3.927,2026-07-30 19:22:49.137,dataset/images/frost_cycle_000067/front/20260730192249137.jpg,True,1.137
frost_cycle_000060,complete_observed_cycle,interior,False,39.0,25.0,103.0,2026-07-29 19:15:17.000000000,2.033496207167145,7.774055999999996,3.832,2026-07-29 19:15:26.390,,False,9.39
