model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,all_held_out_predictions,0.9165389527458493,0.9092904476282773,0.9334450830140486,888,45,11
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260715,1.0,1.0,1.0,24,1,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260717,0.5,0.3333333333333333,1.0,24,1,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260720,1.0,1.0,1.0,24,1,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260721,1.0,1.0,1.0,36,2,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260723,0.9791666666666667,0.9693617021276595,1.0,108,6,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260724,0.8958333333333334,0.8954248366013071,0.9887152777777778,96,4,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260727,0.925,0.9039039039039038,0.950462962962963,96,5,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260728,0.9652777777777778,0.9572619132416839,0.9548611111111112,120,6,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260729,0.9375,0.9238095238095239,0.943287037037037,120,6,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260730,0.8888888888888888,0.8660714285714286,0.9282407407407407,120,6,1
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260731,0.9007936507936507,0.8703303488731089,0.9332010582010583,120,7,1
random_forest,top,single_view,rgb,0.01,1.0,0.6539888682745826,all_held_out_predictions,0.9154214559386973,0.9101090507523122,0.9614011281396339,888,45,11
random_forest,top,single_view,rgb,0.01,1.0,0.6539888682745826,exp_20260715,0.9583333333333333,0.9582608695652174,1.0,24,1,1
