representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.804958532828303,0.8046450944808189,0.9160571372643574,44631,62,14
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.8305509679918117,0.8265251451851293,0.9531729994956448,1521,3,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.5373677248677248,0.5024032352520157,0.7024092369072115,1656,2,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.8940720611916264,0.8937392090333267,0.9840565612829911,852,1,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7969212962962963,0.7947145342188815,0.9137653559692588,2190,3,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8563161375661376,0.8567256143706713,0.9466444860866158,4140,5,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.796133093184148,0.7960709610237933,0.9472790306442582,4759,6,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260729,0.8262667158513084,0.8258970809543814,0.9521939567155138,4811,6,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260730,0.8075262240270451,0.8063947577137537,0.9031414119424445,3540,5,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.7277320400099919,0.7280606389408293,0.8749605065265224,4488,6,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.8511044315459738,0.8416751017400913,0.9503206918981951,4776,6,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.7844329781299443,0.7719675918655199,0.907491751765379,5286,9,1
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.871662360034453,0.871832705053598,0.9585341259384715,5004,6,1
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.7851762277265376,0.786486825735452,0.9156825275466249,44631,62,14
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,exp_20260715,0.8567766476473992,0.8454870669086288,0.9952169892266629,1521,3,1
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,exp_20260717,0.8993055555555555,0.8943989224670025,0.9831243569958849,1656,2,1
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,exp_20260721,0.9097222222222223,0.9085007052466376,0.9916968599033816,852,1,1
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,exp_20260724,0.46875,0.39835390946502053,0.8060715988743542,2190,3,1
