representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7983405025580383,0.7430397334543339,0.8409026813324728,14,12
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7930005479459993,0.7318078116733067,0.8385719668321607,14,12
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9161641762643756,0.8718190555003078,0.9482424768110436,14,12
handcrafted,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.00352862949271906,0.002356094052839883,0.005328411607879718,14,12
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,balanced_accuracy,0.786141095398151,0.7081039108170559,0.8509963680273783,14,12
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,macro_f1,0.7781911603293294,0.6914985170443273,0.8479201477215942,14,12
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,auroc,0.9392559216644929,0.9055451047299186,0.9678692253480408,14,12
handcrafted,logistic,all,pooled_views,time,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0036470087992588975,0.0024209541805096206,0.005394064553999784,14,12
handcrafted,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.819346415110846,0.7959497725325847,0.8424586745234092,14,12
handcrafted,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8164197181185631,0.7914292584750925,0.8407654991665009,14,12
handcrafted,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9407506918519625,0.9247161626866723,0.9556072425839884,14,12
handcrafted,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.002837116335364253,0.0019479825256266087,0.004073544151046839,14,12
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8136072646013873,0.7846805982125044,0.8401217870690268,14,12
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8115219052881425,0.7824713506178893,0.8385244900152983,14,12
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9207193171826251,0.9029565315452894,0.9382282893533227,14,12
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0030931174880672128,0.002150398343335017,0.004202732917876832,14,12
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8067292006077277,0.782605597073994,0.8335813977376233,14,12
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8043091106259279,0.7796234618534931,0.8316162682915813,14,12
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9336025628691617,0.9172846453678974,0.9490265800047588,14,12
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0035193359906454387,0.0021356772009721607,0.005651101880701252,14,12
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.787183887929407,0.7445107105179298,0.8208673129364072,14,12
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7821290256190929,0.7357395688657279,0.8183826034853154,14,12
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9155714912478454,0.8813501634133735,0.9409424029359441,14,12
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.003664509087934613,0.0023674461861142564,0.005309010306587604,14,12
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7309934242279527,0.68600367638738,0.774821663938547,14,12
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.730771676245512,0.6849115300933901,0.7757683083080686,14,12
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.8934205412333993,0.8622368460585933,0.9214923064560028,14,12
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.006575164624813908,0.004700677406192583,0.008742404463537808,14,12
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7823321702625264,0.7471120625497741,0.818707847504851,14,12
