experiment_id,cycle_name,split
exp_20260723,frost_cycle_000029,test
exp_20260723,frost_cycle_000030,test
exp_20260723,frost_cycle_000031,test
exp_20260723,frost_cycle_000032,test
exp_20260723,frost_cycle_000033,test
exp_20260723,frost_cycle_000034,test
exp_20260730,frost_cycle_000063,test
exp_20260730,frost_cycle_000064,test
exp_20260730,frost_cycle_000065,test
exp_20260730,frost_cycle_000066,test
exp_20260730,frost_cycle_000067,test
exp_20260730,frost_cycle_000068,test
exp_20260715,frost_cycle_000007,train
exp_20260716,frost_cycle_000012,train
exp_20260717,frost_cycle_000018,train
exp_20260724,frost_cycle_000036,train
exp_20260724,frost_cycle_000039,train
exp_20260724,frost_cycle_000040,train
exp_20260727,frost_cycle_000043,train
exp_20260727,frost_cycle_000044,train
exp_20260727,frost_cycle_000045,train
exp_20260727,frost_cycle_000046,train
exp_20260727,frost_cycle_000047,train
exp_20260728,frost_cycle_000049,train
exp_20260728,frost_cycle_000050,train
exp_20260728,frost_cycle_000051,train
exp_20260728,frost_cycle_000052,train
exp_20260728,frost_cycle_000053,train
exp_20260728,frost_cycle_000054,train
exp_20260731,frost_cycle_000070,train
exp_20260731,frost_cycle_000071,train
exp_20260731,frost_cycle_000072,train
exp_20260731,frost_cycle_000073,train
exp_20260731,frost_cycle_000075,train
exp_20260731,frost_cycle_000076,train
exp_20260803,frost_cycle_000078,train
exp_20260803,frost_cycle_000079,train
exp_20260803,frost_cycle_000080,train
exp_20260803,frost_cycle_000082,train
exp_20260803,frost_cycle_000083,train
exp_20260804,frost_cycle_000085,train
exp_20260804,frost_cycle_000086,train
exp_20260804,frost_cycle_000087,train
exp_20260804,frost_cycle_000088,train
exp_20260804,frost_cycle_000089,train
exp_20260804,frost_cycle_000090,train
exp_20260804,frost_cycle_000091,train
exp_20260804,frost_cycle_000092,train
exp_20260804,frost_cycle_000093,train
exp_20260721,frost_cycle_000024,validation
exp_20260729,frost_cycle_000056,validation
exp_20260729,frost_cycle_000057,validation
exp_20260729,frost_cycle_000058,validation
exp_20260729,frost_cycle_000059,validation
exp_20260729,frost_cycle_000060,validation
exp_20260729,frost_cycle_000061,validation
exp_20260805,frost_cycle_000095,validation
exp_20260805,frost_cycle_000096,validation
exp_20260805,frost_cycle_000097,validation
exp_20260805,frost_cycle_000098,validation
exp_20260805,frost_cycle_000099,validation
exp_20260805,frost_cycle_000100,validation
