regret_threshold,camera_group,split,cost_state,image_count,cycle_count,local_image_count
0.01,top,test,near_optimal,589,13,285
0.01,top,test,post_optimal,1441,13,568
0.01,top,test,pre_optimal,781,13,393
0.01,top,train,near_optimal,1808,33,958
0.01,top,train,post_optimal,3046,31,1516
0.01,top,train,pre_optimal,1733,29,847
0.01,top,validation,near_optimal,607,16,306
0.01,top,validation,post_optimal,975,12,390
0.01,top,validation,pre_optimal,861,16,517
0.01,top_close,test,near_optimal,589,13,285
0.01,top_close,test,post_optimal,1441,13,568
0.01,top_close,test,pre_optimal,781,13,393
0.01,top_close,train,near_optimal,1807,32,958
0.01,top_close,train,post_optimal,3049,31,1516
0.01,top_close,train,pre_optimal,1733,29,847
0.01,top_close,validation,near_optimal,559,16,306
0.01,top_close,validation,post_optimal,955,12,390
0.01,top_close,validation,pre_optimal,861,16,517
0.01,left,test,near_optimal,589,13,285
0.01,left,test,post_optimal,1441,13,568
0.01,left,test,pre_optimal,781,13,393
0.01,left,train,near_optimal,1807,32,958
0.01,left,train,post_optimal,3049,31,1516
0.01,left,train,pre_optimal,1733,29,847
0.01,left,validation,near_optimal,603,16,306
0.01,left,validation,post_optimal,974,12,390
0.01,left,validation,pre_optimal,861,16,517
0.01,left_close,test,near_optimal,589,13,285
0.01,left_close,test,post_optimal,1441,13,568
0.01,left_close,test,pre_optimal,781,13,393
0.01,left_close,train,near_optimal,1807,32,958
0.01,left_close,train,post_optimal,3048,31,1516
0.01,left_close,train,pre_optimal,1733,29,847
0.01,left_close,validation,near_optimal,607,16,306
0.01,left_close,validation,post_optimal,975,12,390
0.01,left_close,validation,pre_optimal,861,16,517
0.01,front,test,near_optimal,589,13,285
0.01,front,test,post_optimal,1441,13,568
0.01,front,test,pre_optimal,781,13,393
0.01,front,train,near_optimal,1807,32,958
0.01,front,train,post_optimal,3021,31,1516
0.01,front,train,pre_optimal,1733,29,847
0.01,front,validation,near_optimal,559,16,306
0.01,front,validation,post_optimal,932,11,390
0.01,front,validation,pre_optimal,861,16,517
0.01,extreme,test,near_optimal,589,13,285
0.01,extreme,test,post_optimal,1441,13,568
0.01,extreme,test,pre_optimal,781,13,393
0.01,extreme,train,near_optimal,1729,30,958
0.01,extreme,train,post_optimal,2746,29,1515
0.01,extreme,train,pre_optimal,1570,26,847
0.01,extreme,validation,near_optimal,559,16,306
0.01,extreme,validation,post_optimal,932,11,390
0.01,extreme,validation,pre_optimal,861,16,517
0.01,top_pair,test,near_optimal,1178,13,570
0.01,top_pair,test,post_optimal,2882,13,1136
0.01,top_pair,test,pre_optimal,1562,13,786
0.01,top_pair,train,near_optimal,3615,33,1916
0.01,top_pair,train,post_optimal,6095,31,3032
0.01,top_pair,train,pre_optimal,3466,29,1694
0.01,top_pair,validation,near_optimal,1166,16,612
0.01,top_pair,validation,post_optimal,1930,12,780
0.01,top_pair,validation,pre_optimal,1722,16,1034
0.01,left_pair,test,near_optimal,1178,13,570
0.01,left_pair,test,post_optimal,2882,13,1136
0.01,left_pair,test,pre_optimal,1562,13,786
0.01,left_pair,train,near_optimal,3614,32,1916
0.01,left_pair,train,post_optimal,6097,31,3032
0.01,left_pair,train,pre_optimal,3466,29,1694
0.01,left_pair,validation,near_optimal,1210,16,612
0.01,left_pair,validation,post_optimal,1949,12,780
0.01,left_pair,validation,pre_optimal,1722,16,1034
0.01,all,test,near_optimal,3534,13,1710
0.01,all,test,post_optimal,8646,13,3408
0.01,all,test,pre_optimal,4686,13,2358
0.01,all,train,near_optimal,10765,33,5748
0.01,all,train,post_optimal,17959,31,9095
0.01,all,train,pre_optimal,10235,29,5082
0.01,all,validation,near_optimal,3494,16,1836
0.01,all,validation,post_optimal,5743,12,2340
0.01,all,validation,pre_optimal,5166,16,3102
0.02,top,test,near_optimal,1081,13,520
0.02,top,test,post_optimal,1054,13,388
0.02,top,test,pre_optimal,676,13,338
0.02,top,train,near_optimal,2774,33,1589
0.02,top,train,post_optimal,2364,27,1065
0.02,top,train,pre_optimal,1449,29,667
0.02,top,validation,near_optimal,962,16,490
0.02,top,validation,post_optimal,749,9,290
0.02,top,validation,pre_optimal,732,16,433
0.02,top_close,test,near_optimal,1081,13,520
0.02,top_close,test,post_optimal,1054,13,388
0.02,top_close,test,pre_optimal,676,13,338
0.02,top_close,train,near_optimal,2773,32,1589
0.02,top_close,train,post_optimal,2367,27,1065
0.02,top_close,train,pre_optimal,1449,29,667
0.02,top_close,validation,near_optimal,894,16,490
0.02,top_close,validation,post_optimal,749,9,290
0.02,top_close,validation,pre_optimal,732,16,433
0.02,left,test,near_optimal,1081,13,520
0.02,left,test,post_optimal,1054,13,388
0.02,left,test,pre_optimal,676,13,338
0.02,left,train,near_optimal,2773,32,1589
0.02,left,train,post_optimal,2367,27,1065
0.02,left,train,pre_optimal,1449,29,667
0.02,left,validation,near_optimal,957,16,490
0.02,left,validation,post_optimal,749,9,290
0.02,left,validation,pre_optimal,732,16,433
0.02,left_close,test,near_optimal,1081,13,520
0.02,left_close,test,post_optimal,1054,13,388
0.02,left_close,test,pre_optimal,676,13,338
0.02,left_close,train,near_optimal,2773,32,1589
0.02,left_close,train,post_optimal,2366,27,1065
0.02,left_close,train,pre_optimal,1449,29,667
0.02,left_close,validation,near_optimal,962,16,490
0.02,left_close,validation,post_optimal,749,9,290
0.02,left_close,validation,pre_optimal,732,16,433
0.02,front,test,near_optimal,1081,13,520
0.02,front,test,post_optimal,1054,13,388
0.02,front,test,pre_optimal,676,13,338
0.02,front,train,near_optimal,2773,32,1589
0.02,front,train,post_optimal,2339,27,1065
0.02,front,train,pre_optimal,1449,29,667
0.02,front,validation,near_optimal,876,16,490
0.02,front,validation,post_optimal,744,8,290
0.02,front,validation,pre_optimal,732,16,433
0.02,extreme,test,near_optimal,1081,13,520
0.02,extreme,test,post_optimal,1054,13,388
0.02,extreme,test,pre_optimal,676,13,338
0.02,extreme,train,near_optimal,2657,30,1589
0.02,extreme,train,post_optimal,2088,25,1064
0.02,extreme,train,pre_optimal,1300,26,667
0.02,extreme,validation,near_optimal,876,16,490
0.02,extreme,validation,post_optimal,744,8,290
0.02,extreme,validation,pre_optimal,732,16,433
0.02,top_pair,test,near_optimal,2162,13,1040
0.02,top_pair,test,post_optimal,2108,13,776
0.02,top_pair,test,pre_optimal,1352,13,676
0.02,top_pair,train,near_optimal,5547,33,3178
0.02,top_pair,train,post_optimal,4731,27,2130
0.02,top_pair,train,pre_optimal,2898,29,1334
0.02,top_pair,validation,near_optimal,1856,16,980
0.02,top_pair,validation,post_optimal,1498,9,580
0.02,top_pair,validation,pre_optimal,1464,16,866
0.02,left_pair,test,near_optimal,2162,13,1040
0.02,left_pair,test,post_optimal,2108,13,776
0.02,left_pair,test,pre_optimal,1352,13,676
0.02,left_pair,train,near_optimal,5546,32,3178
0.02,left_pair,train,post_optimal,4733,27,2130
0.02,left_pair,train,pre_optimal,2898,29,1334
0.02,left_pair,validation,near_optimal,1919,16,980
0.02,left_pair,validation,post_optimal,1498,9,580
0.02,left_pair,validation,pre_optimal,1464,16,866
0.02,all,test,near_optimal,6486,13,3120
0.02,all,test,post_optimal,6324,13,2328
0.02,all,test,pre_optimal,4056,13,2028
0.02,all,train,near_optimal,16523,33,9534
0.02,all,train,post_optimal,13891,27,6389
0.02,all,train,pre_optimal,8545,29,4002
0.02,all,validation,near_optimal,5527,16,2940
0.02,all,validation,post_optimal,4484,9,1740
