cycle_name,experiment_id,state,image_count,feature_000,feature_001,feature_002,feature_003,feature_004,feature_005,feature_006,feature_007,feature_008,feature_009,feature_010,feature_011,feature_012,feature_013,feature_014,feature_015,feature_016,feature_017,feature_018,feature_019,feature_020,feature_021,feature_022,feature_023,feature_024,feature_025,feature_026,feature_027,feature_028,feature_029,feature_030,feature_031,feature_032,feature_033,feature_034,feature_035,feature_036,feature_037,feature_038,feature_039,centroid_distance,camera_group
frost_cycle_000060,exp_20260729,optimum,39,0.23137009,-0.5700603,0.9251088,-0.14722079,-0.7214899,0.62904644,-0.44287178,-0.17125003,0.18374299,-0.7356011,0.96689975,-0.07734511,-0.8698018,0.79295033,0.11832611,-0.17479599,0.25144932,-0.69368297,0.7257455,-0.07457156,-0.8766951,0.8259067,0.66211146,-0.0554274,0.13827732,0.42025954,0.62162167,0.28994936,0.3064801,0.35828897,0.4357626,0.19274765,0.052068766,0.20529579,0.0,0.0,0.0,0.0,0.0,0.0,0.35032415,top
frost_cycle_000060,exp_20260729,fixed_time,39,0.6131361,0.08298538,0.34340578,-0.42699525,-0.7861031,0.78386617,-0.5305332,-0.17125003,0.57751375,-0.36301428,0.65026194,-0.33630645,-0.7422661,0.7740677,0.0036867268,-0.17479599,0.5453609,0.067887366,0.064378604,-0.28011447,-0.7612677,0.7553487,0.92237747,-0.0554274,0.5165947,0.69994724,0.71805274,0.6378991,0.661831,0.69020915,-0.51827,0.43872648,-0.6645795,-0.45619673,0.0,0.0,0.0,0.0,0.0,0.0,0.15502344,top
frost_cycle_000061,exp_20260729,optimum,23,1.050834,1.373617,-1.0943005,-0.75871176,-0.5911742,0.7529502,0.9513963,-0.17125009,1.1061437,1.4455057,-1.176766,-0.5503019,-0.49899215,0.669515,0.23205929,-0.17479594,1.0879614,1.1932176,-1.3298328,-0.37111482,-0.5286756,0.57881254,0.88253915,-0.05542741,0.90573496,0.75538576,0.46440366,0.93488204,0.93900234,0.8753312,-1.353727,-0.037211645,-1.0104568,-0.8960785,0.0,0.0,0.0,0.0,0.0,0.0,0.7299194,top
frost_cycle_000061,exp_20260729,fixed_time,23,0.78616226,0.6169858,-0.22978348,-0.4981856,-0.7181662,0.75531894,-0.23099427,-0.17125009,0.74595404,0.17973746,0.124698155,-0.37134454,-0.6764246,0.7248629,0.32041773,-0.17479594,0.7432433,0.7243953,-0.66244906,-0.32636318,-0.6479723,0.6660052,0.8865695,-0.05542741,0.58340174,0.6522071,0.5524168,0.757924,0.76870024,0.76485044,-0.74785715,0.6182199,-0.8581067,-0.7146607,0.0,0.0,0.0,0.0,0.0,0.0,0.2993584,top
frost_cycle_000063,exp_20260730,optimum,40,-0.18060556,-0.73312366,0.6156187,-0.33606857,0.071607694,0.111339286,-0.27930337,-0.17125008,-0.2514279,-0.65557,0.67421234,-0.40821305,0.22070411,0.028682822,-0.3957274,-0.17479596,-0.19390935,-0.7151948,0.7646547,-0.44607383,0.33785444,0.07951316,-0.67674285,-0.055427402,0.4761675,0.37811488,0.32068068,-0.14702539,-0.1257963,-0.08061835,1.1263988,0.26590782,0.59612244,0.18025717,0.0,0.0,0.0,0.0,0.0,0.0,0.4323588,top
frost_cycle_000063,exp_20260730,fixed_time,40,0.3907265,0.017724814,0.16686483,-0.5083415,-0.4980688,0.6200317,-0.14721343,-0.17125008,0.37342128,-0.14787965,0.35808113,-0.49729824,-0.32095248,0.5088333,-0.11121323,-0.17479596,0.26858762,0.18864167,-0.06504172,-0.49753818,-0.12115085,0.41218632,0.016170641,-0.055427402,0.75934494,0.64436257,0.44251928,0.44587183,0.451068,0.4389944,0.06946815,0.83793336,-0.18857515,-0.40541273,0.0,0.0,0.0,0.0,0.0,0.0,0.19422324,top
frost_cycle_000064,exp_20260730,optimum,40,0.0749403,-0.80005646,0.8275595,0.034431554,-0.20270284,0.13433419,-0.31426838,-0.17125008,0.0486688,-0.8578827,0.8075803,-0.012331986,-0.24391222,0.21186164,0.01072143,-0.17479596,0.13798216,-0.9277849,0.800138,-0.098604016,-0.24302936,0.31140703,0.2177876,-0.055427402,-0.19095504,0.007706332,0.30898088,-0.042708807,-0.062195815,0.022322912,0.9082068,0.21435368,0.22474408,0.63354266,0.0,0.0,0.0,0.0,0.0,0.0,0.37230083,top
frost_cycle_000064,exp_20260730,fixed_time,40,0.49472037,-0.2920538,0.54170215,-0.26308334,-0.6986852,0.6617752,-0.3764283,-0.17125008,0.51572067,-0.65429765,0.777449,-0.24290533,-0.67480564,0.6799852,0.07168876,-0.17479596,0.5367129,-0.2623999,0.23371904,-0.22283426,-0.7017857,0.69167745,0.9987637,-0.055427402,0.35301393,0.46778727,0.63715976,0.45181218,0.451996,0.53821355,0.17023085,0.6312084,-0.36614594,0.049019486,0.0,0.0,0.0,0.0,0.0,0.0,0.15829316,top
frost_cycle_000065,exp_20260730,optimum,40,0.67480725,0.48496705,-0.24195309,-0.472807,-0.51263916,0.5725196,0.5987061,-0.17125008,0.6840848,0.36108312,-0.19020884,-0.3199219,-0.50638103,0.57239085,0.061527513,-0.17479596,0.6780742,0.3793152,-0.45754868,-0.2645852,-0.4650002,0.53086215,0.46575332,-0.055427402,0.5192844,0.4725892,0.40195864,0.6040033,0.5763527,0.55774313,-0.5169153,0.13044225,-0.60187536,-0.39551854,0.0,0.0,0.0,0.0,0.0,0.0,0.30684912,top
frost_cycle_000065,exp_20260730,fixed_time,40,0.6633933,0.21165824,0.1528522,-0.4437174,-0.70870763,0.72619295,-0.29095837,-0.17125008,0.62209296,-0.2662135,0.5304715,-0.32897335,-0.668536,0.6995983,0.1021724,-0.17479596,0.65118474,0.28770426,-0.20347054,-0.30343908,-0.6313227,0.66756153,0.6407198,-0.055427402,0.568639,0.5961754,0.5449597,0.66441905,0.65408933,0.663744,-0.4745946,0.71228904,-0.68561804,-0.33116913,0.0,0.0,0.0,0.0,0.0,0.0,0.1363381,top
frost_cycle_000066,exp_20260730,optimum,40,0.010895321,-0.7438501,0.91969234,0.03181871,-0.1490535,0.061984308,-0.36088833,-0.17125008,-0.05418124,-0.77390385,0.821411,0.064843394,-0.27488032,0.19113836,0.5187825,-0.17479596,0.056545805,-0.91025174,0.83343095,-0.012034761,-0.13496953,0.1453878,0.12740758,-0.055427402,-0.29645517,-0.091220655,0.098064475,-0.039928176,-0.08731183,-0.08112277,0.76694936,0.032361157,0.37535423,0.50211096,0.0,0.0,0.0,0.0,0.0,0.0,0.38144124,top
frost_cycle_000066,exp_20260730,fixed_time,40,0.59554374,0.05548176,0.36374196,-0.38083515,-0.6939688,0.67146987,-0.22879842,-0.17125008,0.5488299,-0.33110625,0.60308284,-0.24735165,-0.7536508,0.73688173,0.4882988,-0.17479596,0.5666753,0.051444363,0.0195049,-0.22999153,-0.7497155,0.72175896,0.91070116,-0.055427402,0.35683116,0.54662395,0.5827104,0.58926094,0.5992783,0.6168987,-0.27525097,0.53402627,-0.5196866,-0.24794896,0.0,0.0,0.0,0.0,0.0,0.0,0.09654506,top
frost_cycle_000067,exp_20260730,optimum,40,0.1465946,-0.76701915,0.97048795,0.0027291402,-0.30040017,0.19210191,-0.2249134,-0.17125008,0.1078428,-0.83307076,0.91279256,0.03689512,-0.43855518,0.3364787,0.5797498,-0.17479596,0.1932974,-0.86554205,0.7887484,-0.027883071,-0.2965613,0.29033732,0.20967658,-0.055427402,-0.24079561,-0.029552173,0.17274466,0.0615166,0.031187627,0.053138483,0.7696488,0.21694319,0.32080162,0.48478374,0.0,0.0,0.0,0.0,0.0,0.0,0.3610116,top
frost_cycle_000067,exp_20260730,fixed_time,40,0.60125065,0.03831951,0.36829615,-0.38919622,-0.7114027,0.69198096,-0.16275343,-0.17125008,0.56644124,-0.37309566,0.6460569,-0.27672908,-0.76001537,0.75381184,0.7220069,-0.17479596,0.56052923,0.06371764,0.00066812785,-0.2407275,-0.7205841,0.6905352,1.0242555,-0.055427402,0.40495014,0.5804367,0.6032425,0.596625,0.6123649,0.63261783,-0.2669197,0.51787937,-0.54408294,-0.3322635,0.0,0.0,0.0,0.0,0.0,0.0,0.12652652,top
frost_cycle_000068,exp_20260730,optimum,16,1.1205859,1.505692,-1.2515616,-0.69394,-0.53655815,0.6882955,0.24322884,-0.17125008,1.1877682,1.6974285,-1.4110187,-0.4935665,-0.4680984,0.6065749,-0.17218056,-0.17479596,1.1290469,1.2632077,-1.4392538,-0.32226962,-0.49338463,0.55091643,0.51905435,-0.055427402,0.6918014,0.57208186,0.34410334,0.93449104,0.9441567,0.89431345,-1.3229493,-0.044471264,-1.0155106,-0.9583318,0.0,0.0,0.0,0.0,0.0,0.0,0.75481635,top
frost_cycle_000068,exp_20260730,fixed_time,16,0.7559732,0.1380751,0.25479394,-0.42220503,-0.77090544,0.7535946,-0.26182088,-0.17125008,0.7263519,-0.3527372,0.6364248,-0.33834237,-0.7203078,0.73008186,0.5899111,-0.17479596,0.7353101,0.23422801,-0.1458649,-0.29713383,-0.6823025,0.622947,1.3417443,-0.055427402,0.519481,0.6517376,0.6021987,0.7124976,0.7300096,0.7547407,-0.56298095,0.7324941,-0.740821,-0.4689917,0.0,0.0,0.0,0.0,0.0,0.0,0.20426115,top
frost_cycle_000070,exp_20260731,optimum,40,0.312097,0.8355061,-0.36736593,-0.5482308,-0.5374846,0.6491159,0.15193138,-0.17125008,0.25296,0.829965,-0.22034016,-0.4598221,-0.42763084,0.5748887,-0.3347601,-0.17479596,0.11262934,0.8268501,-0.54297143,-0.41403636,-0.33863991,0.5473625,0.05093219,-0.055427402,0.80110854,0.722237,0.57884806,0.5994613,0.58514905,0.5504366,-0.8312141,-0.33571994,-0.91536057,-1.6812918,0.0,0.0,0.0,0.0,0.0,0.0,0.48273712,top
frost_cycle_000070,exp_20260731,fixed_time,40,-0.19962883,0.045184366,0.15915789,-0.2623866,-0.10365794,0.20748527,-0.36865833,-0.17125008,-0.29792172,-0.069626674,0.40747666,-0.26847166,-0.011651553,0.1456212,-0.52782327,-0.17479596,-0.32528305,0.066347554,0.17589441,-0.33292034,0.042308338,0.23740914,-0.44731665,-0.055427402,0.4527895,0.46361893,0.47475338,0.06533696,0.055339605,0.07330249,0.057247967,-0.4352247,-0.25695872,-1.1594484,0.0,0.0,0.0,0.0,0.0,0.0,0.43235496,top
frost_cycle_000071,exp_20260731,optimum,40,0.8003608,1.1680247,-0.7600694,-0.67295015,-0.59778744,0.7200235,0.62978613,-0.17125008,0.81581724,1.0679051,-0.64365965,-0.5119076,-0.49735656,0.64168423,-0.09089078,-0.17479596,0.7011221,1.2108272,-1.1041336,-0.4111394,-0.47085133,0.61615646,0.21547017,-0.055427402,0.83342505,0.6852056,0.43710017,0.86535394,0.86173135,0.8052723,-1.1744987,0.30717716,-1.0779257,-1.1617264,0.0,0.0,0.0,0.0,0.0,0.0,0.6072009,top
frost_cycle_000071,exp_20260731,fixed_time,40,0.4592103,0.18419863,0.24603608,-0.37282246,-0.6644069,0.6548847,0.00818647,-0.17125008,0.38539702,-0.10207303,0.5363988,-0.2897505,-0.61476934,0.62799203,0.37652537,-0.17479596,0.3392682,0.28288263,-0.08475467,-0.26185855,-0.5272466,0.55383575,0.59668845,-0.055427402,0.48816544,0.5119885,0.47698435,0.58390296,0.5488895,0.55241525,-0.35760015,0.33808276,-0.7243378,-0.7387279,0.0,0.0,0.0,0.0,0.0,0.0,0.12911613,top
frost_cycle_000072,exp_20260731,optimum,40,0.21698065,-0.720681,0.90953314,-0.025663655,-0.23554933,0.13537577,-0.0073535307,-0.17125008,0.16913013,-0.8317984,0.9720672,-0.012808366,-0.32313734,0.22453614,1.5857106,-0.17479596,0.24630785,-0.829599,0.75545526,-0.089742586,-0.2203717,0.19057345,0.74500436,-0.055427402,-0.25587672,-0.0475794,0.19763212,0.088392474,0.047435563,0.08192124,0.66970813,0.3740626,0.11406006,0.6539506,0.0,0.0,0.0,0.0,0.0,0.0,0.41535038,top
frost_cycle_000072,exp_20260731,fixed_time,40,0.70270807,-0.08739398,0.43415532,-0.29025683,-0.70668626,0.63629645,-0.10059347,-0.17125008,0.7178985,-0.53787243,0.7680638,-0.2346479,-0.71242326,0.6608347,1.0878109,-0.17479596,0.71956056,-0.051124834,0.040970154,-0.22164139,-0.69419163,0.6006714,1.4263308,-0.055427402,0.23969488,0.40864468,0.5255648,0.5768093,0.5760291,0.6231733,-0.07203822,0.84243566,-0.41262102,0.10952394,0.0,0.0,0.0,0.0,0.0,0.0,0.22636002,top
frost_cycle_000073,exp_20260731,optimum,40,0.14469229,-0.7588671,0.95997846,0.07292733,-0.22106318,0.07792853,0.1402764,-0.17125008,0.11770513,-0.84579486,0.96416396,0.061032258,-0.2926442,0.15413256,2.459576,-0.17479596,0.21557716,-0.8300373,0.7357423,-0.00027634873,-0.10658516,0.013511646,0.79367054,-0.055427402,-0.3519494,-0.13594177,0.062418222,0.032603055,0.0009416193,0.022515168,0.7253678,0.38055104,0.38435996,0.72833574,0.0,0.0,0.0,0.0,0.0,0.0,0.5277407,top
frost_cycle_000073,exp_20260731,fixed_time,40,0.66529566,-0.08868114,0.50561965,-0.32683653,-0.7018856,0.63701755,-0.09282347,-0.17125008,0.6714047,-0.4914295,0.7814007,-0.2016181,-0.7275274,0.65250844,1.1589394,-0.17479596,0.6742328,0.0041047246,0.022133302,-0.193353,-0.6722809,0.5868365,1.12854,-0.055427402,0.25046986,0.38596886,0.45888096,0.580342,0.5795108,0.6077189,-0.1428704,0.66143113,-0.419524,-0.101245664,0.0,0.0,0.0,0.0,0.0,0.0,0.19409846,top
frost_cycle_000075,exp_20260731,optimum,40,-0.75827867,-0.33238512,0.35743636,0.16664103,0.49541196,-0.460409,-0.54348326,-0.17125008,-0.72481984,-0.033363033,0.34425038,0.0006893754,0.3420116,-0.29336032,-0.4871784,-0.17479596,-0.6049324,-0.5530127,0.9293674,-0.016976718,0.053512685,0.041816138,-0.8482331,-0.055427402,-0.39082715,-0.27162996,-0.1277213,-0.51312244,-0.48537225,-0.46023798,1.0207313,0.5192701,0.7256958,0.44703108,0.0,0.0,0.0,0.0,0.0,0.0,0.5631743,top
frost_cycle_000075,exp_20260731,fixed_time,40,-0.24591878,-0.28046927,0.65660554,-0.040295538,-0.38959107,0.33191425,-0.4502433,-0.17125008,-0.14857784,-0.13579178,0.6875491,-0.09554165,-0.5891209,0.54028827,-0.029923445,-0.17479596,-0.22003043,-0.43904692,0.973174,-0.028394317,-0.70477355,0.68761575,-0.60606104,-0.055427402,0.10378003,0.17643853,0.17602853,0.06156539,0.0887568,0.028518692,0.956602,1.0400829,0.21887676,0.25621614,0.0,0.0,0.0,0.0,0.0,0.0,0.42835003,top
frost_cycle_000076,exp_20260731,optimum,40,-0.24021181,0.29360795,0.20925298,-0.18487246,-0.19091174,0.20307858,-0.4152783,-0.17125008,-0.33948442,0.5500355,0.23360446,-0.19050229,-0.23925748,0.26857305,-0.3957274,-0.17479596,-0.23078617,0.16672513,0.38441366,-0.11956465,-0.39005548,0.45559502,-0.82505876,-0.055427402,0.02636826,0.08615097,0.0006516933,0.123677686,0.08099443,0.064071305,0.17666097,0.5480792,-0.081800416,0.097397625,0.0,0.0,0.0,0.0,0.0,0.0,0.29116738,top
frost_cycle_000076,exp_20260731,fixed_time,40,-0.006225628,-0.27060103,0.66501313,-0.10805507,-0.53099954,0.46243238,-0.39585334,-0.17125008,-0.016140822,-0.14724346,0.7512692,-0.11158013,-0.66606617,0.5967221,-0.009601019,-0.17479596,0.005840169,-0.33253273,0.8500775,-0.022089068,-0.7934125,0.74752486,-0.66747314,-0.055427402,0.14924195,0.15251191,0.07886836,0.23244414,0.2009337,0.18165752,0.48855287,1.3056695,-0.053450502,0.3017423,0.0,0.0,0.0,0.0,0.0,0.0,0.3682662,top
frost_cycle_000060,exp_20260729,optimum,39,0.0,-0.24905953,0.1749415,-0.23132747,-0.40426597,0.5504342,-0.29158804,-0.18986516,0.0,-0.05554222,0.5119418,-0.42030722,-0.3643382,0.5164704,-0.35731095,-0.1863847,0.0,-0.6910471,1.3741568,-0.29053262,-0.29468042,0.44172546,-0.32636714,-0.18231958,0.30859438,0.30740812,0.28033328,0.15318389,0.23165698,0.11445214,-0.27775183,-0.20230651,-0.4451429,-0.8344342,0.0,0.0,0.0,0.0,0.0,0.0,0.25394508,top_close
frost_cycle_000060,exp_20260729,fixed_time,39,0.0,0.22032332,0.34385434,-0.013953921,-0.62035084,0.5811219,-0.29158804,-0.18986516,0.0,-0.007338012,0.748332,-0.3858736,-0.4845378,0.54089224,-0.35731095,-0.1863847,0.0,0.056960505,0.90454334,-0.2068085,-0.2975786,0.3386731,-0.32636714,-0.18231958,0.17458013,0.26831767,0.0072530624,0.5908744,0.6782311,0.52886534,-0.60423106,-0.42560217,-0.92345476,-1.0465641,0.0,0.0,0.0,0.0,0.0,0.0,0.19597393,top_close
