camera_group,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
top,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9052128427128427,0.815566378066378,0.963924963924964,11,11
top,time,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9261544011544012,0.8832702020202021,0.9641515602453103,11,11
top,rgb_time,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9143668831168832,0.8234555375180376,0.9727633477633476,11,11
top_close,rgb,0.01,1.0,0.6584605796198193,balanced_accuracy,0.9066919191919192,0.8181786616161617,0.9652777777777778,11,11
top_close,time,0.01,1.0,0.6584605796198193,balanced_accuracy,0.9261544011544012,0.8832702020202021,0.9641515602453103,11,11
top_close,rgb_time,0.01,1.0,0.6584605796198193,balanced_accuracy,0.912689393939394,0.8219681186868686,0.9714046717171718,11,11
left,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9485299422799424,0.92747113997114,0.9688866341991342,11,11
left,time,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9271013708513708,0.8861052489177489,0.9641515602453103,11,11
left,rgb_time,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9487103174603174,0.9264515692640694,0.9705537518037516,11,11
left_close,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9209657551120966,0.8788060482877555,0.9606123737373738,11,11
left_close,time,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9253911061837892,0.8825757575757577,0.9633838383838385,11,11
left_close,rgb_time,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9212044222714956,0.8782567673688099,0.9611126893939392,11,11
front,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9653138528138528,0.9420454545454546,0.9867424242424244,11,11
front,time,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9271013708513708,0.8861052489177489,0.9641515602453103,11,11
front,rgb_time,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9658549783549784,0.9428021284271284,0.9867455808080808,11,11
extreme,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8337698412698412,0.6779747023809524,0.9530753968253968,10,10
extreme,time,0.01,1.0,0.6543440105309346,balanced_accuracy,0.9239781746031746,0.8791148313492063,0.9652777777777776,10,10
extreme,rgb_time,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8377380952380952,0.688532986111111,0.9520736607142858,10,10
top_pair,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9495129870129873,0.9281290584415584,0.9708694083694084,11,11
top_pair,time,0.01,1.0,0.6562160484246469,balanced_accuracy,0.926875901875902,0.8846047528860029,0.9640857233044732,11,11
top_pair,rgb_time,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9607819264069264,0.9381490124458874,0.9820075757575758,11,11
left_pair,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9399259918461724,0.9139423318273092,0.9654703282828282,11,11
left_pair,time,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9260150450285992,0.8840564340696117,0.9636728733114276,11,11
left_pair,rgb_time,0.01,1.0,0.6534812587485095,balanced_accuracy,0.94035764269198,0.9145532984209565,0.965909090909091,11,11
all,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9506936060471916,0.9301756871923084,0.970780723905724,11,11
all,time,0.01,1.0,0.6560571897995211,balanced_accuracy,0.926378702362268,0.8853320933437966,0.9631542705440862,11,11
all,rgb_time,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9541963459294136,0.932719075298134,0.9739693813131312,11,11
