camera_group,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
all,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9506936060471916,0.9301756871923084,0.970780723905724,11,11
all,rgb_time,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9541963459294136,0.932719075298134,0.9739693813131312,11,11
all,time,0.01,1.0,0.6560571897995211,balanced_accuracy,0.926378702362268,0.8853320933437966,0.9631542705440862,11,11
all,rgb,0.02,0.6632633768198147,0.4855539824864978,balanced_accuracy,0.9750776847535404,0.954659046163164,0.9930879812735814,11,11
all,rgb_time,0.02,0.6632633768198147,0.4855539824864978,balanced_accuracy,0.981287935395117,0.9634250964796464,0.9958784773340692,11,11
all,time,0.02,0.6632633768198147,0.4855539824864978,balanced_accuracy,0.9646691564415144,0.9338254234177904,0.9915104701200956,11,11
all,rgb,0.05,0.2393647192285876,0.1975250380158355,balanced_accuracy,0.9608843537414966,0.8894557823129252,1.0,11,7
all,rgb_time,0.05,0.2393647192285876,0.1975250380158355,balanced_accuracy,0.9642857142857144,0.8928571428571429,1.0,11,7
all,time,0.05,0.2393647192285876,0.1975250380158355,balanced_accuracy,0.9223443223443224,0.7794871794871795,1.0,11,7
all,rgb,0.1,0.1007751937984496,0.0855749567406009,balanced_accuracy,0.9895833333333334,0.9791666666666669,1.0,9,2
all,rgb_time,0.1,0.1007751937984496,0.0855749567406009,balanced_accuracy,1.0,1.0,1.0,9,2
all,time,0.1,0.1007751937984496,0.0855749567406009,balanced_accuracy,0.9375,0.875,1.0,9,2
