experiment_id,cycle_name,image_count,error_rate,mean_misclassification_regret,maximum_error_regret
exp_20260730,frost_cycle_000068,72,0.7361111111111112,0.026475739826633045,0.0529241219629091
exp_20260729,frost_cycle_000061,72,0.7777777777777778,0.017311756676731467,0.03725173098873209
exp_20260731,frost_cycle_000076,72,0.7777777777777778,0.012536610071389296,0.040112688213468285
exp_20260730,frost_cycle_000065,72,0.6666666666666666,0.00925682472000059,0.01720940889100391
exp_20260731,frost_cycle_000071,72,0.3472222222222222,0.005506030785603795,0.02686428872183476
exp_20260727,frost_cycle_000044,72,0.4166666666666667,0.005015249644829944,0.013656767912742673
exp_20260728,frost_cycle_000054,72,0.4166666666666667,0.004726073490625666,0.012575964351211106
exp_20260727,frost_cycle_000046,72,0.25,0.0028672978913226958,0.01247624049121775
exp_20260717,frost_cycle_000018,144,0.06944444444444445,0.002155103134477943,0.07259020885698274
exp_20260723,frost_cycle_000032,144,0.09027777777777778,0.0015685056303208905,0.031696472635453596
exp_20260723,frost_cycle_000034,144,0.0625,0.0010450471857915119,0.041828706717875405
exp_20260724,frost_cycle_000037,131,0.05343511450381679,0.0009906910095770314,0.03613696956550323
exp_20260723,frost_cycle_000033,144,0.05555555555555555,0.0008816599197391457,0.03285870907517657
exp_20260727,frost_cycle_000047,144,0.05555555555555555,0.0007171692628800475,0.01913244854515685
exp_20260731,frost_cycle_000075,144,0.034722222222222224,0.0006227912283527838,0.024469683867275105
exp_20260720,frost_cycle_000020,144,0.013888888888888888,0.00023269190326406303,0.02311686199768114
exp_20260728,frost_cycle_000050,144,0.013888888888888888,0.00017616501140334527,0.015275675470473536
exp_20260715,frost_cycle_000007,120,0.016666666666666666,0.00016870890107433933,0.01012253406446036
exp_20260721,frost_cycle_000024,144,0.006944444444444444,7.367312341394909e-05,0.010608929771608669
exp_20260724,frost_cycle_000039,144,0.006944444444444444,7.117652311316243e-05,0.01024941932829539
exp_20260729,frost_cycle_000059,144,0.006944444444444444,7.008505995162543e-05,0.010092248633034063
exp_20260728,frost_cycle_000051,144,0.006944444444444444,7.005552311251162e-05,0.010087995328201673
exp_20260724,frost_cycle_000040,144,0.006944444444444444,6.981843037858645e-05,0.010053853974516448
exp_20260728,frost_cycle_000053,144,0.006944444444444444,6.974956028368433e-05,0.010043936680850542
exp_20260723,frost_cycle_000030,72,0.0,0.0,0.0
exp_20260721,frost_cycle_000023,72,0.0,0.0,0.0
exp_20260731,frost_cycle_000074,70,0.0,0.0,0.0
exp_20260731,frost_cycle_000073,144,0.0,0.0,0.0
exp_20260731,frost_cycle_000072,144,0.0,0.0,0.0
exp_20260731,frost_cycle_000070,72,0.0,0.0,0.0
exp_20260723,frost_cycle_000029,72,0.0,0.0,0.0
exp_20260730,frost_cycle_000067,144,0.0,0.0,0.0
exp_20260730,frost_cycle_000066,144,0.0,0.0,0.0
exp_20260727,frost_cycle_000045,144,0.0,0.0,0.0
exp_20260730,frost_cycle_000064,144,0.0,0.0,0.0
exp_20260730,frost_cycle_000063,144,0.0,0.0,0.0
exp_20260727,frost_cycle_000043,144,0.0,0.0,0.0
exp_20260729,frost_cycle_000060,144,0.0,0.0,0.0
exp_20260729,frost_cycle_000058,144,0.0,0.0,0.0
exp_20260729,frost_cycle_000057,144,0.0,0.0,0.0
exp_20260729,frost_cycle_000056,72,0.0,0.0,0.0
exp_20260724,frost_cycle_000036,144,0.0,0.0,0.0
exp_20260728,frost_cycle_000052,144,0.0,0.0,0.0
exp_20260728,frost_cycle_000049,72,0.0,0.0,0.0
exp_20260723,frost_cycle_000031,72,0.0,0.0,0.0
