experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,camera_group,modality,regret_threshold
exp_20260715,True,0.9833333333333334,0.9833287024173382,0.9994444444444444,0.0001687089010743,120,1,all,rgb,0.01
exp_20260717,True,0.9305555555555556,0.9302190346966466,0.929398148148148,0.0021551031344779,144,1,all,rgb,0.01
exp_20260720,True,0.9861111111111112,0.98610843141038,0.9992283950617284,0.000232691903264,144,1,all,rgb,0.01
exp_20260721,True,0.9965277777777778,0.9948095638591854,1.0,3.6836561706974544e-05,216,2,all,rgb,0.01
exp_20260723,True,0.9652777777777778,0.9495468560216762,0.9984889403292182,0.0005825354559752,648,6,all,rgb,0.01
exp_20260724,True,0.984375,0.9840134026180538,0.9930176767676768,0.0002605621450649,563,4,all,rgb,0.01
exp_20260727,True,0.9222222222222224,0.9004542761208769,0.9484310699588476,0.0009316886061912,576,5,all,rgb,0.01
exp_20260728,True,0.9583333333333334,0.9514744011608084,0.9550379372427984,0.000472831981252,720,6,all,rgb,0.01
exp_20260729,True,0.933449074074074,0.9196049200848616,0.9344537680041152,0.0014601676547155,720,6,all,rgb,0.01
exp_20260730,True,0.8831018518518519,0.8592200963699616,0.8912921167695473,0.0029777137122194,720,6,all,rgb,0.01
exp_20260731,True,0.9143426294820718,0.8701474583827524,0.9396119226796518,0.0013832192017791,718,7,all,rgb,0.01
exp_20260715,True,0.9583333333333331,0.9582608695652174,1.0,0.0004217722526858,120,1,all,time,0.01
exp_20260717,True,1.0,1.0,1.0,0.0,144,1,all,time,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,144,1,all,time,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,216,2,all,time,0.01
exp_20260723,True,0.8819444444444444,0.8375652481642042,0.972608024691358,0.0036604990433229,648,6,all,time,0.01
exp_20260724,True,0.7760416666666667,0.7607120617568275,0.9001388888888889,0.0082989281789316,563,4,all,time,0.01
exp_20260727,True,0.8722222222222222,0.8680714612918004,0.9449074074074074,0.0014521385944497,576,5,all,time,0.01
exp_20260728,True,0.9652777777777778,0.957261913241684,0.9510995370370372,0.0003938394575521,720,6,all,time,0.01
exp_20260729,True,0.9409722222222222,0.9317988064791134,0.9809027777777778,0.0012597893859361,720,6,all,time,0.01
exp_20260730,True,0.8611111111111112,0.847930160518164,0.9204282407407408,0.0030606936912234,720,6,all,time,0.01
exp_20260731,True,0.9342629482071714,0.8985537030852622,0.9654714475431608,0.0009698770439626,718,7,all,time,0.01
exp_20260715,True,0.9916666666666668,0.9916660879227724,1.0,8.435445053716966e-05,120,1,all,rgb_time,0.01
exp_20260717,True,0.9722222222222222,0.9722007722007722,0.9940200617283952,0.0005917774935979,144,1,all,rgb_time,0.01
exp_20260720,True,0.9930555555555556,0.9930552206414276,1.0,7.215813939127735e-05,144,1,all,rgb_time,0.01
exp_20260721,True,0.9965277777777778,0.9948095638591854,1.0,3.6836561706974544e-05,216,2,all,rgb_time,0.01
exp_20260723,True,0.9652777777777778,0.9495468560216762,0.9991962448559673,0.0004986505649571,648,6,all,rgb_time,0.01
exp_20260724,True,0.9670138888888888,0.966248386883032,0.9931691919191918,0.0006417336045145,563,4,all,rgb_time,0.01
exp_20260727,True,0.9263888888888888,0.9056306898097344,0.9510159465020576,0.0008649163112149,576,5,all,rgb_time,0.01
exp_20260728,True,0.9600694444444444,0.9529235542716524,0.9605516975308642,0.000446311711338,720,6,all,rgb_time,0.01
exp_20260729,True,0.9386574074074074,0.9251939253389896,0.9429574974279836,0.0013847044999089,720,6,all,rgb_time,0.01
exp_20260730,True,0.8831018518518519,0.8604910714285714,0.8934220679012346,0.00288566503972,720,6,all,rgb_time,0.01
exp_20260731,True,0.9021783237420689,0.8741612807602512,0.9412073926516158,0.0020592041128493,718,7,all,rgb_time,0.01
