cycle_name,minutes_from_stable,minimum_location
frost_cycle_000007,53.0,interior
frost_cycle_000018,53.0,interior
frost_cycle_000020,74.0,interior
frost_cycle_000023,47.15,right_boundary
frost_cycle_000024,59.0,interior
frost_cycle_000026,58.0,interior
frost_cycle_000027,57.0,interior
frost_cycle_000029,69.75,right_boundary
frost_cycle_000030,44.083333333333336,right_boundary
frost_cycle_000031,59.166666666666664,right_boundary
frost_cycle_000032,86.0,interior
frost_cycle_000033,94.0,interior
frost_cycle_000034,86.0,interior
frost_cycle_000036,147.0,interior
frost_cycle_000037,114.0,interior
frost_cycle_000039,89.0,interior
frost_cycle_000040,114.0,interior
frost_cycle_000043,37.0,interior
frost_cycle_000044,132.0,interior
frost_cycle_000045,55.0,interior
frost_cycle_000046,92.0,interior
frost_cycle_000047,55.0,interior
frost_cycle_000049,105.0,interior
frost_cycle_000050,45.0,interior
frost_cycle_000051,41.0,interior
frost_cycle_000052,48.0,interior
frost_cycle_000053,40.0,interior
frost_cycle_000054,113.5,right_boundary
frost_cycle_000056,88.0,interior
frost_cycle_000057,56.0,interior
frost_cycle_000058,55.0,interior
frost_cycle_000059,43.0,interior
frost_cycle_000060,36.0,interior
frost_cycle_000061,109.88333333333334,right_boundary
frost_cycle_000063,34.0,interior
frost_cycle_000064,36.0,interior
frost_cycle_000065,92.0,interior
frost_cycle_000066,31.0,interior
frost_cycle_000067,31.0,interior
frost_cycle_000068,108.53333333333332,right_boundary
frost_cycle_000070,47.0,interior
frost_cycle_000071,111.63333333333334,right_boundary
frost_cycle_000072,37.0,interior
frost_cycle_000073,35.0,interior
frost_cycle_000074,40.333333333333336,right_boundary
frost_cycle_000075,41.0,interior
frost_cycle_000076,108.8,right_boundary
