cycle_name,cohort_tier,minimum_location,is_censored,minutes_from_stable,near_opt_start_minutes,near_opt_end_minutes,t_star,cop_at_t_star_60s,q_at_t_star_60s_kw,power_at_t_star_60s_kw,front_image_time,front_image_path,front_image_available,front_image_offset_seconds
frost_cycle_000077,B_sensor_censored,right_boundary,True,15.866666666666667,10.0,15.866666666666667,2026-07-31 23:49:07.000000000,2.3172648483303586,9.090629999999997,3.934,,,False,
frost_cycle_000069,B_sensor_censored,right_boundary,True,21.683333333333337,10.0,21.683333333333334,2026-07-30 23:24:25.000000000,2.1899530166880616,8.529867,3.897,,,False,
frost_cycle_000004,B_sensor_censored,interior,True,31.0,13.0,121.6,2026-07-14 21:55:26.000000000,2.180128923766816,7.778700000000001,3.567,,,False,
frost_cycle_000066,A_observed_policy,interior,False,31.0,10.0,110.3,2026-07-30 17:05:10.000000000,2.04151376146789,8.010900000000001,3.924,2026-07-30 17:05:19.072,dataset/images/frost_cycle_000066/front/20260730170519072.jpg,True,9.072
frost_cycle_000067,A_observed_policy,interior,False,31.0,10.0,109.15,2026-07-30 19:16:48.000000000,2.034071999999999,7.8820289999999975,3.876,2026-07-30 19:16:49.131,dataset/images/frost_cycle_000067/front/20260730191649131.jpg,True,1.131
frost_cycle_000063,A_observed_policy,interior,False,34.0,10.0,116.96666666666667,2026-07-30 10:30:11.000000000,2.278306451612904,8.051535000000003,3.529,2026-07-30 10:30:18.752,dataset/images/frost_cycle_000063/front/20260730103018752.jpg,True,7.752
frost_cycle_000073,A_observed_policy,interior,False,35.0,10.0,108.68333333333334,2026-07-31 16:44:33.000000000,2.0328609339117114,7.966781999999997,3.917,2026-07-31 16:44:26.896,dataset/images/frost_cycle_000073/front/20260731164426896.jpg,True,6.104
frost_cycle_000060,A_observed_policy,interior,False,36.0,13.0,111.21666666666667,2026-07-29 19:12:17.000000000,2.120516901783339,7.966782000000005,3.756,2026-07-29 19:12:26.387,dataset/images/frost_cycle_000060/front/20260729191226387.jpg,True,9.387
frost_cycle_000064,A_observed_policy,interior,False,36.0,10.0,108.71666666666667,2026-07-30 12:50:38.999999999,2.076369863013699,8.075916000000007,3.9290000000000003,2026-07-30 12:50:48.842,dataset/images/frost_cycle_000064/front/20260730125048842.jpg,True,9.842
frost_cycle_000043,A_observed_policy,interior,False,37.0,10.0,130.33333333333334,2026-07-27 11:55:51.000000000,2.2256188499533804,7.8820289999999975,3.545,2026-07-27 11:55:41.240,,False,9.76
frost_cycle_000072,A_observed_policy,interior,False,37.0,10.0,109.2,2026-07-31 14:36:49.000000000,1.9812490362374713,7.709040000000001,3.895,2026-07-31 14:36:56.802,dataset/images/frost_cycle_000072/front/20260731143656802.jpg,True,7.802
frost_cycle_000062,B_sensor_censored,right_boundary,True,39.45,10.0,39.45,2026-07-29 23:35:26.000000000,1.8858364812419137,7.288757999999997,3.867,,,False,
frost_cycle_000053,A_observed_policy,interior,False,40.0,12.0,110.76666666666667,2026-07-28 18:52:24.000000000,1.9237979246313488,7.044947999999999,3.662,2026-07-28 18:52:36.810,,False,12.81
frost_cycle_000074,A_observed_policy,right_boundary,False,40.333333333333336,25.0,40.333333333333336,2026-07-31 18:55:11.000000000,2.625007155025553,7.704395999999998,2.9400000000000004,2026-07-31 18:54:56.924,dataset/images/frost_cycle_000074/front/20260731185456924.jpg,True,14.076
frost_cycle_000051,A_observed_policy,interior,False,41.0,13.0,110.38333333333334,2026-07-28 14:32:42.000000000,1.9937172413793098,7.516313999999998,3.76,2026-07-28 14:32:36.669,,False,5.3309999999999995
frost_cycle_000075,A_observed_policy,interior,False,41.0,12.0,115.01666666666667,2026-07-31 19:51:42.000000000,2.0670035270166354,8.075915999999998,3.871,2026-07-31 19:51:56.936,dataset/images/frost_cycle_000075/front/20260731195156936.jpg,True,14.936
frost_cycle_000059,A_observed_policy,interior,False,43.0,18.0,113.01666666666667,2026-07-29 17:06:48.000000000,2.027906735751297,7.044948000000006,3.4764999999999997,2026-07-29 17:06:56.345,,False,8.345
frost_cycle_000030,A_observed_policy,right_boundary,False,44.083333333333336,33.0,44.083333333333336,2026-07-23 11:41:30.000000000,2.931703067484662,7.111124999999998,2.444,2026-07-23 11:40:55.071,,False,34.929
frost_cycle_000050,A_observed_policy,interior,False,45.0,13.0,111.81666666666666,2026-07-28 12:24:18.000000000,2.0726773923814976,7.523280000000004,3.631,2026-07-28 12:24:06.583,,False,11.417
frost_cycle_000070,A_observed_policy,interior,False,47.0,14.0,115.95,2026-07-31 10:19:29.000000000,2.266297035040432,8.407962000000003,3.711,2026-07-31 10:19:26.598,dataset/images/frost_cycle_000070/front/20260731101926598.jpg,True,2.402
frost_cycle_000023,A_observed_policy,right_boundary,False,47.15,34.0,47.15,2026-07-21 09:57:33.000000000,3.0648952760264736,7.366545000000006,2.441,2026-07-21 09:57:01.190,,False,31.81
frost_cycle_000052,A_observed_policy,interior,False,48.0,23.0,113.15,2026-07-28 16:47:38.000000000,2.06307939339875,6.9381359999999965,3.362,2026-07-28 16:47:36.800,,False,1.2
