cycle_name,included,reason,cohort_tier,candidate_end_source,is_censored
frost_cycle_000001,False,catalog_invalid,,,
frost_cycle_000002,False,catalog_invalid,,,
frost_cycle_000003,False,candidate_domain_truncated_before_actual_defrost,,,
frost_cycle_000004,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000005,False,invalid_clean_anchor,,,
frost_cycle_000006,False,candidate_domain_truncated_before_actual_defrost,,,
frost_cycle_000007,True,,A_observed_policy,observed_defrost,False
frost_cycle_000008,False,candidate_domain_truncated_before_actual_defrost,,,
frost_cycle_000009,False,catalog_invalid,,,
frost_cycle_000010,False,catalog_invalid,,,
frost_cycle_000011,False,catalog_invalid,,,
frost_cycle_000012,False,invalid_clean_anchor,,,
frost_cycle_000013,False,invalid_clean_anchor,,,
frost_cycle_000014,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000015,False,invalid_clean_anchor,,,
frost_cycle_000016,False,catalog_invalid,,,
frost_cycle_000017,False,candidate_domain_truncated_before_actual_defrost,,,
frost_cycle_000018,True,,A_observed_policy,observed_defrost,False
frost_cycle_000019,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000020,True,,A_observed_policy,observed_defrost,False
frost_cycle_000021,False,candidate_domain_truncated_before_actual_defrost,,,
frost_cycle_000022,False,catalog_invalid,,,
frost_cycle_000023,True,,A_observed_policy,observed_defrost,False
frost_cycle_000024,True,,A_observed_policy,observed_defrost,False
frost_cycle_000025,False,catalog_invalid,,,
frost_cycle_000026,True,,A_observed_policy,observed_defrost,False
frost_cycle_000027,True,,A_observed_policy,observed_defrost,False
frost_cycle_000028,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000029,True,,A_observed_policy,observed_defrost,False
frost_cycle_000030,True,,A_observed_policy,observed_defrost,False
frost_cycle_000031,True,,A_observed_policy,observed_defrost,False
frost_cycle_000032,True,,A_observed_policy,observed_defrost,False
frost_cycle_000033,True,,A_observed_policy,observed_defrost,False
frost_cycle_000034,True,,A_observed_policy,observed_defrost,False
frost_cycle_000035,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000036,True,,A_observed_policy,observed_defrost,False
frost_cycle_000037,True,,A_observed_policy,observed_defrost,False
frost_cycle_000038,False,catalog_invalid,,,
frost_cycle_000039,True,,A_observed_policy,observed_defrost,False
frost_cycle_000040,True,,A_observed_policy,observed_defrost,False
frost_cycle_000041,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000042,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000043,True,,A_observed_policy,observed_defrost,False
frost_cycle_000044,True,,A_observed_policy,observed_defrost,False
frost_cycle_000045,True,,A_observed_policy,observed_defrost,False
frost_cycle_000046,True,,A_observed_policy,observed_defrost,False
frost_cycle_000047,True,,A_observed_policy,observed_defrost,False
frost_cycle_000048,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000049,True,,A_observed_policy,observed_defrost,False
frost_cycle_000050,True,,A_observed_policy,observed_defrost,False
frost_cycle_000051,True,,A_observed_policy,observed_defrost,False
frost_cycle_000052,True,,A_observed_policy,observed_defrost,False
frost_cycle_000053,True,,A_observed_policy,observed_defrost,False
frost_cycle_000054,True,,A_observed_policy,observed_defrost,False
frost_cycle_000055,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000056,True,,A_observed_policy,observed_defrost,False
frost_cycle_000057,True,,A_observed_policy,observed_defrost,False
frost_cycle_000058,True,,A_observed_policy,observed_defrost,False
frost_cycle_000059,True,,A_observed_policy,observed_defrost,False
frost_cycle_000060,True,,A_observed_policy,observed_defrost,False
frost_cycle_000061,True,,A_observed_policy,observed_defrost,False
frost_cycle_000062,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000063,True,,A_observed_policy,observed_defrost,False
frost_cycle_000064,True,,A_observed_policy,observed_defrost,False
frost_cycle_000065,True,,A_observed_policy,observed_defrost,False
frost_cycle_000066,True,,A_observed_policy,observed_defrost,False
frost_cycle_000067,True,,A_observed_policy,observed_defrost,False
frost_cycle_000068,True,,A_observed_policy,observed_defrost,False
frost_cycle_000069,True,,B_sensor_censored,sensor_record_end,True
frost_cycle_000070,True,,A_observed_policy,observed_defrost,False
frost_cycle_000071,True,,A_observed_policy,observed_defrost,False
frost_cycle_000072,True,,A_observed_policy,observed_defrost,False
frost_cycle_000073,True,,A_observed_policy,observed_defrost,False
frost_cycle_000074,True,,A_observed_policy,observed_defrost,False
frost_cycle_000075,True,,A_observed_policy,observed_defrost,False
frost_cycle_000076,True,,A_observed_policy,observed_defrost,False
frost_cycle_000077,True,,B_sensor_censored,sensor_record_end,True
