cycle_name,valid,invalid_reason,t_heating_stable,t_actual_defrost,candidate_end,candidate_end_source,is_censored,cohort_tier,primary_analysis,t_star,t_star_median_ticket,median_ticket_shift_minutes,t_star_constant_current_reference,constant_reference_shift_minutes,minutes_from_stable,actual_minutes_from_stable,minutes_earlier_than_actual,rho_min_kw_equivalent,near_opt_start,near_opt_end,near_opt_width_minutes,near_opt_segment_count,minimum_location
frost_cycle_000001,False,catalog_invalid,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000002,False,catalog_invalid,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000003,False,candidate_domain_truncated_before_actual_defrost,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000004,True,,2026-07-14 21:24:26.000000000,,2026-07-14 23:26:02,sensor_record_end,True,B_sensor_censored,False,2026-07-14 21:55:26.000000000,2026-07-14 21:55:26.000000000,0.0,2026-07-14 21:55:26.000000000,0.0,31.0,,,3.6154060997540616,2026-07-14 21:37:26.000000000,2026-07-14 23:26:02,108.6,1.0,interior
frost_cycle_000005,False,invalid_clean_anchor,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000006,False,candidate_domain_truncated_before_actual_defrost,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000007,True,,2026-07-15 17:01:52.000000000,2026-07-15 20:03:24,2026-07-15 20:03:24,observed_defrost,False,A_observed_policy,True,2026-07-15 17:54:52.000000000,2026-07-15 17:52:52.000000000,-2.0,2026-07-15 17:54:52.000000000,0.0,53.0,181.53333333333333,128.53333333333333,3.1832435879824366,2026-07-15 17:25:52.000000000,2026-07-15 19:10:52,105.0,1.0,interior
frost_cycle_000008,False,candidate_domain_truncated_before_actual_defrost,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000009,False,catalog_invalid,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000010,False,catalog_invalid,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000011,False,catalog_invalid,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000012,False,invalid_clean_anchor,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000013,False,invalid_clean_anchor,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000014,True,,2026-07-16 20:53:42.000000000,,2026-07-16 23:42:16,sensor_record_end,True,B_sensor_censored,False,2026-07-16 21:44:42.000000000,2026-07-16 21:37:42.000000000,-7.0,2026-07-16 21:44:42.000000000,0.0,51.0,,,3.2422663720065628,2026-07-16 21:19:42.000000000,2026-07-16 22:56:42,97.0,1.0,interior
frost_cycle_000015,False,invalid_clean_anchor,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000016,False,catalog_invalid,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000017,False,candidate_domain_truncated_before_actual_defrost,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000018,True,,2026-07-17 19:38:28.000000000,2026-07-17 22:32:07,2026-07-17 22:32:07,observed_defrost,False,A_observed_policy,True,2026-07-17 20:31:28.000000000,2026-07-17 20:31:28.000000000,0.0,2026-07-17 20:31:28.000000000,0.0,53.0,173.65,120.65,3.16971197854063,2026-07-17 20:08:28.000000000,2026-07-17 21:42:28,94.0,1.0,interior
frost_cycle_000019,True,,2026-07-17 22:48:46.000000000,,2026-07-17 23:52:21,sensor_record_end,True,B_sensor_censored,False,2026-07-17 23:44:46.000000000,2026-07-17 23:43:46.000000000,-1.0,2026-07-17 23:44:46.000000000,0.0,56.0,,,3.00242745853215,2026-07-17 23:22:46.000000000,2026-07-17 23:52:21,29.583333333333332,1.0,interior
frost_cycle_000020,True,,2026-07-20 10:04:40.000000000,2026-07-20 13:06:53,2026-07-20 13:06:53,observed_defrost,False,A_observed_policy,True,2026-07-20 11:18:40.000000000,2026-07-20 11:18:40.000000000,0.0,2026-07-20 11:18:40.000000000,0.0,74.0,182.21666666666667,108.21666666666667,3.0637277097375066,2026-07-20 10:44:40.000000000,2026-07-20 12:05:40,81.0,1.0,interior
frost_cycle_000021,False,candidate_domain_truncated_before_actual_defrost,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000022,False,catalog_invalid,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000023,True,,2026-07-21 09:10:24.000000000,2026-07-21 09:57:33,2026-07-21 09:57:33,observed_defrost,False,A_observed_policy,True,2026-07-21 09:57:33.000000000,2026-07-21 09:57:33.000000000,0.0,2026-07-21 09:57:33.000000000,0.0,47.15,47.15,0.0,2.966235325935156,2026-07-21 09:44:24.000000000,2026-07-21 09:57:33,13.15,1.0,right_boundary
frost_cycle_000024,True,,2026-07-21 10:12:12.000000000,2026-07-21 13:08:48,2026-07-21 13:08:48,observed_defrost,False,A_observed_policy,True,2026-07-21 11:11:12.000000000,2026-07-21 11:08:12.000000000,-3.0,2026-07-21 11:08:12.000000000,-3.0,59.0,176.6,117.6,3.088065669928676,2026-07-21 10:46:12.000000000,2026-07-21 11:50:12,64.0,1.0,interior
frost_cycle_000025,False,catalog_invalid,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000026,True,,2026-07-21 16:38:25.000000000,2026-07-21 19:03:35,2026-07-21 19:03:35,observed_defrost,False,A_observed_policy,True,2026-07-21 17:36:25.000000000,2026-07-21 17:34:25.000000000,-2.0,2026-07-21 17:35:25.000000000,-1.0,58.0,145.16666666666666,87.16666666666667,3.0508606824665105,2026-07-21 17:12:25.000000000,2026-07-21 18:16:25,64.0,1.0,interior
frost_cycle_000027,True,,2026-07-21 19:19:55.000000000,2026-07-21 21:45:32,2026-07-21 21:45:32,observed_defrost,False,A_observed_policy,True,2026-07-21 20:16:55.000000000,2026-07-21 20:14:55.000000000,-2.0,2026-07-21 20:16:55.000000000,0.0,57.0,145.61666666666667,88.61666666666666,3.0736451269763205,2026-07-21 19:52:55.000000000,2026-07-21 21:02:55,70.0,1.0,interior
frost_cycle_000028,True,,2026-07-21 22:02:05.000000000,,2026-07-21 23:55:19,sensor_record_end,True,B_sensor_censored,False,2026-07-21 22:58:05.000000000,2026-07-21 22:57:05.000000000,-1.0,2026-07-21 22:58:05.000000000,0.0,56.0,,,3.0771436504865695,2026-07-21 22:36:05.000000000,2026-07-21 23:40:05,64.0,1.0,interior
frost_cycle_000029,True,,2026-07-23 09:33:34.000000000,2026-07-23 10:43:19,2026-07-23 10:43:19,observed_defrost,False,A_observed_policy,True,2026-07-23 10:43:19.000000000,2026-07-23 10:43:19.000000000,0.0,2026-07-23 10:43:19.000000000,0.0,69.75,69.75,0.0,2.711972033139499,2026-07-23 10:21:34.000000000,2026-07-23 10:43:19,21.75,1.0,right_boundary
frost_cycle_000030,True,,2026-07-23 10:57:25.000000000,2026-07-23 11:41:30,2026-07-23 11:41:30,observed_defrost,False,A_observed_policy,True,2026-07-23 11:41:30.000000000,2026-07-23 11:41:30.000000000,0.0,2026-07-23 11:41:30.000000000,0.0,44.083333333333336,44.083333333333336,0.0,2.958724548835857,2026-07-23 11:30:25.000000000,2026-07-23 11:41:30,11.083333333333334,1.0,right_boundary
frost_cycle_000031,True,,2026-07-23 11:55:31.000000000,2026-07-23 12:54:41,2026-07-23 12:54:41,observed_defrost,False,A_observed_policy,True,2026-07-23 12:54:41.000000000,2026-07-23 12:54:41.000000000,0.0,2026-07-23 12:54:41.000000000,0.0,59.166666666666664,59.166666666666664,0.0,2.875869072589273,2026-07-23 12:35:31.000000000,2026-07-23 12:54:41,19.166666666666668,1.0,right_boundary
frost_cycle_000032,True,,2026-07-23 13:09:00.000000000,2026-07-23 15:35:08,2026-07-23 15:35:08,observed_defrost,False,A_observed_policy,True,2026-07-23 14:35:00.000000000,2026-07-23 14:35:00.000000000,0.0,2026-07-23 14:27:00.000000000,-8.0,86.0,146.13333333333333,60.13333333333333,2.924110900054195,2026-07-23 13:59:00.000000000,2026-07-23 15:25:00,86.0,1.0,interior
frost_cycle_000033,True,,2026-07-23 15:50:20.000000000,2026-07-23 18:19:17,2026-07-23 18:19:17,observed_defrost,False,A_observed_policy,True,2026-07-23 17:24:20.000000000,2026-07-23 17:24:20.000000000,0.0,2026-07-23 17:21:20.000000000,-3.0,94.0,148.95,54.95,2.6447254009997483,2026-07-23 16:46:20.000000000,2026-07-23 18:19:17,92.95,1.0,interior
frost_cycle_000034,True,,2026-07-23 18:34:34.000000000,2026-07-23 21:02:55,2026-07-23 21:02:55,observed_defrost,False,A_observed_policy,True,2026-07-23 20:00:34.000000000,2026-07-23 19:59:34.000000000,-1.0,2026-07-23 20:00:34.000000000,0.0,86.0,148.35,62.35,2.5410103718074493,2026-07-23 19:27:34.000000000,2026-07-23 20:52:34,85.0,1.0,interior
frost_cycle_000035,True,,2026-07-23 21:17:35.000000000,,2026-07-23 23:14:44,sensor_record_end,True,B_sensor_censored,False,2026-07-23 23:01:35.000000000,2026-07-23 23:00:35.000000000,-1.0,2026-07-23 23:01:35.000000000,0.0,104.0,,,2.5936278490409164,2026-07-23 22:15:35.000000000,2026-07-23 23:14:44,59.15,1.0,interior
frost_cycle_000036,True,,2026-07-24 09:24:47.000000000,2026-07-24 12:31:19,2026-07-24 12:31:19,observed_defrost,False,A_observed_policy,True,2026-07-24 11:51:47.000000000,2026-07-24 11:51:47.000000000,0.0,2026-07-24 11:55:47.000000000,4.0,147.0,186.53333333333333,39.53333333333333,2.3491473668553287,2026-07-24 10:48:47.000000000,2026-07-24 12:31:19,102.53333333333333,1.0,interior
frost_cycle_000037,True,,2026-07-24 12:45:52.000000000,2026-07-24 15:12:05,2026-07-24 15:12:05,observed_defrost,False,A_observed_policy,True,2026-07-24 14:39:52.000000000,2026-07-24 14:35:52.000000000,-4.0,2026-07-24 14:12:52.000000000,-27.0,114.0,146.21666666666667,32.21666666666667,2.6164448683910333,2026-07-24 13:50:52.000000000,2026-07-24 15:12:05,81.21666666666667,1.0,interior
frost_cycle_000038,False,catalog_invalid,,,,,,,,,,,,,,,,,,,,,
frost_cycle_000039,True,,2026-07-24 15:47:09.000000000,2026-07-24 18:14:31,2026-07-24 18:14:31,observed_defrost,False,A_observed_policy,True,2026-07-24 17:16:09.000000000,2026-07-24 17:16:09.000000000,0.0,2026-07-24 17:20:09.000000000,4.0,89.0,147.36666666666667,58.36666666666667,2.625053433417655,2026-07-24 16:40:09.000000000,2026-07-24 18:03:09,83.0,1.0,interior
frost_cycle_000040,True,,2026-07-24 18:29:48.000000000,2026-07-24 20:55:43,2026-07-24 20:55:43,observed_defrost,False,A_observed_policy,True,2026-07-24 20:23:48.000000000,2026-07-24 20:23:48.000000000,0.0,2026-07-24 20:23:48.000000000,0.0,114.0,145.91666666666666,31.916666666666668,2.7256962620647185,2026-07-24 19:29:48.000000000,2026-07-24 20:55:43,85.91666666666667,1.0,interior
frost_cycle_000041,True,,2026-07-24 21:10:16.000000000,,2026-07-24 23:17:44,sensor_record_end,True,B_sensor_censored,False,2026-07-24 23:09:16.000000000,2026-07-24 23:09:16.000000000,0.0,2026-07-24 23:09:16.000000000,0.0,119.0,,,2.7164417638989216,2026-07-24 22:17:16.000000000,2026-07-24 23:17:44,60.46666666666667,1.0,interior
frost_cycle_000042,True,,2026-07-27 09:41:26.000000000,,2026-07-27 10:37:14,sensor_record_end,True,B_sensor_censored,False,2026-07-27 10:37:14.000000000,2026-07-27 10:37:14.000000000,0.0,2026-07-27 10:37:14.000000000,0.0,55.8,,,3.6904693057804674,2026-07-27 09:55:26.000000000,2026-07-27 10:37:14,41.8,1.0,right_boundary
frost_cycle_000043,True,,2026-07-27 11:18:51.000000000,2026-07-27 13:29:11,2026-07-27 13:29:11,observed_defrost,False,A_observed_policy,True,2026-07-27 11:55:51.000000000,2026-07-27 11:49:51.000000000,-6.0,2026-07-27 11:49:51.000000000,-6.0,37.0,130.33333333333334,93.33333333333333,4.088120927153647,2026-07-27 11:28:51.000000000,2026-07-27 13:29:11,120.33333333333333,1.0,interior
frost_cycle_000044,True,,2026-07-27 13:49:54.000000000,2026-07-27 16:11:50,2026-07-27 16:11:50,observed_defrost,False,A_observed_policy,True,2026-07-27 16:01:54.000000000,2026-07-27 14:34:54.000000000,-87.0,2026-07-27 14:31:54.000000000,-90.0,132.0,141.93333333333334,9.933333333333334,3.8302068729672127,2026-07-27 14:05:54.000000000,2026-07-27 16:11:50,125.93333333333334,1.0,interior
frost_cycle_000045,True,,2026-07-27 16:29:57.000000000,2026-07-27 18:23:46,2026-07-27 18:23:46,observed_defrost,False,A_observed_policy,True,2026-07-27 17:24:57.000000000,2026-07-27 17:23:57.000000000,-1.0,2026-07-27 17:23:57.000000000,-1.0,55.0,113.81666666666666,58.81666666666667,3.643014914769874,2026-07-27 16:52:57.000000000,2026-07-27 18:23:46,90.81666666666666,1.0,interior
frost_cycle_000046,True,,2026-07-27 18:41:21.000000000,2026-07-27 20:34:04,2026-07-27 20:34:04,observed_defrost,False,A_observed_policy,True,2026-07-27 20:13:21.000000000,2026-07-27 19:35:21.000000000,-38.0,2026-07-27 20:15:21.000000000,2.0,92.0,112.71666666666667,20.716666666666665,3.6304061860819306,2026-07-27 19:04:21.000000000,2026-07-27 20:34:04,89.71666666666667,1.0,interior
frost_cycle_000047,True,,2026-07-27 20:51:37.000000000,2026-07-27 22:44:57,2026-07-27 22:44:57,observed_defrost,False,A_observed_policy,True,2026-07-27 21:46:37.000000000,2026-07-27 21:46:37.000000000,0.0,2026-07-27 21:46:37.000000000,0.0,55.0,113.33333333333333,58.333333333333336,3.6275820682440636,2026-07-27 21:14:37.000000000,2026-07-27 22:44:57,90.33333333333333,1.0,interior
frost_cycle_000048,True,,2026-07-27 23:02:36.000000000,,2026-07-27 23:53:04,sensor_record_end,True,B_sensor_censored,False,2026-07-27 23:53:04.000000000,2026-07-27 23:53:04.000000000,0.0,2026-07-27 23:53:04.000000000,0.0,50.46666666666667,,,3.65470473451208,2026-07-27 23:25:36.000000000,2026-07-27 23:53:04,27.466666666666665,1.0,right_boundary
frost_cycle_000049,True,,2026-07-28 09:23:12.000000000,2026-07-28 11:20:22,2026-07-28 11:20:22,observed_defrost,False,A_observed_policy,True,2026-07-28 11:08:12.000000000,2026-07-28 10:15:12.000000000,-53.0,2026-07-28 10:11:12.000000000,-57.0,105.0,117.16666666666667,12.166666666666666,3.8938690822968822,2026-07-28 09:37:12.000000000,2026-07-28 11:20:22,103.16666666666667,1.0,interior
frost_cycle_000050,True,,2026-07-28 11:39:18.000000000,2026-07-28 13:31:07,2026-07-28 13:31:07,observed_defrost,False,A_observed_policy,True,2026-07-28 12:24:18.000000000,2026-07-28 12:24:18.000000000,0.0,2026-07-28 12:27:18.000000000,3.0,45.0,111.81666666666666,66.81666666666666,3.8505301320956784,2026-07-28 11:52:18.000000000,2026-07-28 13:31:07,98.81666666666666,1.0,interior
frost_cycle_000051,True,,2026-07-28 13:51:42.000000000,2026-07-28 15:42:05,2026-07-28 15:42:05,observed_defrost,False,A_observed_policy,True,2026-07-28 14:32:42.000000000,2026-07-28 14:32:42.000000000,0.0,2026-07-28 14:29:42.000000000,-3.0,41.0,110.38333333333334,69.38333333333334,3.862805182605895,2026-07-28 14:04:42.000000000,2026-07-28 15:42:05,97.38333333333334,1.0,interior
frost_cycle_000052,True,,2026-07-28 15:59:38.000000000,2026-07-28 17:52:47,2026-07-28 17:52:47,observed_defrost,False,A_observed_policy,True,2026-07-28 16:47:38.000000000,2026-07-28 16:47:38.000000000,0.0,2026-07-28 17:05:38.000000000,18.0,48.0,113.15,65.15,3.6566693847707814,2026-07-28 16:22:38.000000000,2026-07-28 17:52:47,90.15,1.0,interior
frost_cycle_000053,True,,2026-07-28 18:12:24.000000000,2026-07-28 20:03:10,2026-07-28 20:03:10,observed_defrost,False,A_observed_policy,True,2026-07-28 18:52:24.000000000,2026-07-28 18:52:24.000000000,0.0,2026-07-28 18:51:24.000000000,-1.0,40.0,110.76666666666667,70.76666666666667,3.874548199575604,2026-07-28 18:24:24.000000000,2026-07-28 20:03:10,98.76666666666667,1.0,interior
frost_cycle_000054,True,,2026-07-28 20:20:53.000000000,2026-07-28 22:14:23,2026-07-28 22:14:23,observed_defrost,False,A_observed_policy,True,2026-07-28 22:14:23.000000000,2026-07-28 21:08:53.000000000,-65.5,2026-07-28 22:14:23.000000000,0.0,113.5,113.5,0.0,3.722802104222229,2026-07-28 20:38:53.000000000,2026-07-28 22:14:23,95.5,1.0,right_boundary
frost_cycle_000055,True,,2026-07-28 22:32:26.000000000,,2026-07-28 23:33:00,sensor_record_end,True,B_sensor_censored,False,2026-07-28 23:22:26.000000000,2026-07-28 23:21:26.000000000,-1.0,2026-07-28 23:22:26.000000000,0.0,50.0,,,3.6900091700109425,2026-07-28 22:54:26.000000000,2026-07-28 23:33:00,38.56666666666667,1.0,interior
frost_cycle_000056,True,,2026-07-29 09:46:02.000000000,2026-07-29 11:44:16,2026-07-29 11:44:16,observed_defrost,False,A_observed_policy,True,2026-07-29 11:14:02.000000000,2026-07-29 10:39:02.000000000,-35.0,2026-07-29 10:28:02.000000000,-46.0,88.0,118.23333333333333,30.233333333333334,3.8280224447154185,2026-07-29 10:03:02.000000000,2026-07-29 11:44:16,101.23333333333333,1.0,interior
frost_cycle_000057,True,,2026-07-29 12:02:09.000000000,2026-07-29 13:55:30,2026-07-29 13:55:30,observed_defrost,False,A_observed_policy,True,2026-07-29 12:58:09.000000000,2026-07-29 12:56:09.000000000,-2.0,2026-07-29 12:58:09.000000000,0.0,56.0,113.35,57.35,3.7057169757531385,2026-07-29 12:22:09.000000000,2026-07-29 13:55:30,93.35,1.0,interior
frost_cycle_000058,True,,2026-07-29 14:13:20.000000000,2026-07-29 16:06:05,2026-07-29 16:06:05,observed_defrost,False,A_observed_policy,True,2026-07-29 15:08:20.000000000,2026-07-29 14:59:20.000000000,-9.0,2026-07-29 15:08:20.000000000,0.0,55.0,112.75,57.75,3.716813638529744,2026-07-29 14:31:20.000000000,2026-07-29 16:06:05,94.75,1.0,interior
frost_cycle_000059,True,,2026-07-29 16:23:48.000000000,2026-07-29 18:16:49,2026-07-29 18:16:49,observed_defrost,False,A_observed_policy,True,2026-07-29 17:06:48.000000000,2026-07-29 17:06:48.000000000,0.0,2026-07-29 17:10:48.000000000,4.0,43.0,113.01666666666667,70.01666666666667,3.712580730342996,2026-07-29 16:41:48.000000000,2026-07-29 18:16:49,95.01666666666667,1.0,interior
frost_cycle_000060,True,,2026-07-29 18:36:17.000000000,2026-07-29 20:27:30,2026-07-29 20:27:30,observed_defrost,False,A_observed_policy,True,2026-07-29 19:12:17.000000000,2026-07-29 19:12:17.000000000,0.0,2026-07-29 19:13:17.000000000,1.0,36.0,111.21666666666667,75.21666666666667,3.8679941554034056,2026-07-29 18:49:17.000000000,2026-07-29 20:27:30,98.21666666666667,1.0,interior
frost_cycle_000061,True,,2026-07-29 20:48:05.000000000,2026-07-29 22:37:58,2026-07-29 22:37:58,observed_defrost,False,A_observed_policy,True,2026-07-29 22:37:58.000000000,2026-07-29 22:37:58.000000000,0.0,2026-07-29 21:16:05.000000000,-81.88333333333334,109.88333333333334,109.88333333333334,0.0,3.9210467252338663,2026-07-29 20:58:05.000000000,2026-07-29 22:37:58,99.88333333333334,1.0,right_boundary
frost_cycle_000062,True,,2026-07-29 22:55:59.000000000,,2026-07-29 23:35:26,sensor_record_end,True,B_sensor_censored,False,2026-07-29 23:35:26.000000000,2026-07-29 23:34:59.000000000,-0.45,2026-07-29 23:35:26.000000000,0.0,39.45,,,3.9021260503581865,2026-07-29 23:05:59.000000000,2026-07-29 23:35:26,29.45,1.0,right_boundary
frost_cycle_000063,True,,2026-07-30 09:56:11.000000000,2026-07-30 11:53:09,2026-07-30 11:53:09,observed_defrost,False,A_observed_policy,True,2026-07-30 10:30:11.000000000,2026-07-30 10:30:11.000000000,0.0,2026-07-30 10:29:11.000000000,-1.0,34.0,116.96666666666667,82.96666666666667,4.033881320063381,2026-07-30 10:06:11.000000000,2026-07-30 11:53:09,106.96666666666667,1.0,interior
frost_cycle_000064,True,,2026-07-30 12:14:38.999999999,2026-07-30 14:03:22,2026-07-30 14:03:22,observed_defrost,False,A_observed_policy,True,2026-07-30 12:50:38.999999999,2026-07-30 12:48:38.999999999,-2.0,2026-07-30 12:49:38.999999999,-1.0,36.0,108.71666666666667,72.71666666666667,3.934300287842323,2026-07-30 12:24:38.999999999,2026-07-30 14:03:22,98.71666666666667,1.0,interior
frost_cycle_000065,True,,2026-07-30 14:23:21.000000000,2026-07-30 16:13:36,2026-07-30 16:13:36,observed_defrost,False,A_observed_policy,True,2026-07-30 15:55:21.000000000,2026-07-30 14:59:21.000000000,-56.0,2026-07-30 15:55:21.000000000,0.0,92.0,110.25,18.25,3.984034475708424,2026-07-30 14:33:21.000000000,2026-07-30 16:13:36,100.25,1.0,interior
frost_cycle_000066,True,,2026-07-30 16:34:10.000000000,2026-07-30 18:24:28,2026-07-30 18:24:28,observed_defrost,False,A_observed_policy,True,2026-07-30 17:05:10.000000000,2026-07-30 17:05:10.000000000,0.0,2026-07-30 17:05:10.000000000,0.0,31.0,110.3,79.3,3.997985260901048,2026-07-30 16:44:10.000000000,2026-07-30 18:24:28,100.3,1.0,interior
frost_cycle_000067,True,,2026-07-30 18:45:48.000000000,2026-07-30 20:34:57,2026-07-30 20:34:57,observed_defrost,False,A_observed_policy,True,2026-07-30 19:16:48.000000000,2026-07-30 19:15:48.000000000,-1.0,2026-07-30 19:16:48.000000000,0.0,31.0,109.15,78.15,3.9812237893548277,2026-07-30 18:55:48.000000000,2026-07-30 20:34:57,99.15,2.0,interior
frost_cycle_000068,True,,2026-07-30 20:56:52.000000000,2026-07-30 22:45:24,2026-07-30 22:45:24,observed_defrost,False,A_observed_policy,True,2026-07-30 22:45:24.000000000,2026-07-30 22:45:24.000000000,0.0,2026-07-30 21:26:52.000000000,-78.53333333333333,108.53333333333333,108.53333333333333,0.0,3.9126410080062506,2026-07-30 21:12:52.000000000,2026-07-30 22:45:24,92.53333333333333,2.0,right_boundary
frost_cycle_000069,True,,2026-07-30 23:02:44.000000000,,2026-07-30 23:24:25,sensor_record_end,True,B_sensor_censored,False,2026-07-30 23:24:25.000000000,2026-07-30 23:24:25.000000000,0.0,2026-07-30 23:24:25.000000000,0.0,21.683333333333334,,,3.9654899429970625,2026-07-30 23:12:44.000000000,2026-07-30 23:24:25,11.683333333333334,1.0,right_boundary
