cycle_name,valid,invalid_reason,defrost_start,recovery_stable,electricity_kwh,thermal_shortfall_kwh,equivalent_cost_kwh,duration_minutes,integration_coverage
frost_cycle_000001,False,catalog_invalid,,,,,,,
frost_cycle_000002,False,catalog_invalid,,,,,,,
frost_cycle_000003,True,,2026-07-14 21:06:24,2026-07-14 21:17:08,0.18610125,1.4483818017803067,0.7684897921187238,10.733333333333333,1.0
frost_cycle_000004,False,missing_defrost_boundary,,,,,,,
frost_cycle_000005,False,invalid_clean_anchor,,,,,,,
frost_cycle_000006,True,,2026-07-15 16:47:45,2026-07-15 16:56:39,0.1755175,1.1623773942170657,0.6429048112584991,8.9,0.9887640449438202
frost_cycle_000007,True,,2026-07-15 20:03:24,2026-07-15 20:16:54,0.2872033333333333,1.7930503885652314,1.0081817386532246,13.5,1.0
frost_cycle_000008,True,,2026-07-15 23:13:58,2026-07-15 23:27:43,0.2965715277777778,1.7734910548386393,1.0096852030659593,13.75,0.9927272727272727
frost_cycle_000009,False,catalog_invalid,,,,,,,
frost_cycle_000010,False,catalog_invalid,,,,,,,
frost_cycle_000011,False,catalog_invalid,,,,,,,
frost_cycle_000012,False,invalid_clean_anchor,,,,,,,
frost_cycle_000013,False,invalid_clean_anchor,,,,,,,
frost_cycle_000014,False,missing_defrost_boundary,,,,,,,
frost_cycle_000015,False,missing_defrost_boundary,,,,,,,
frost_cycle_000016,False,catalog_invalid,,,,,,,
frost_cycle_000017,True,,2026-07-17 19:21:15,2026-07-17 19:34:28,0.2590541666666667,1.7623199916394823,0.9676760020252961,13.216666666666667,1.0
frost_cycle_000018,True,,2026-07-17 22:32:07,2026-07-17 22:46:29,0.3108269444444445,1.8261199166805695,1.0451024750416438,14.366666666666667,1.0
frost_cycle_000019,False,missing_defrost_boundary,,,,,,,
frost_cycle_000020,False,missing_defrost_boundary,,,,,,,
frost_cycle_000021,True,,2026-07-20 16:20:31,2026-07-20 16:34:37,0.31121875,1.8194135734143584,1.0427976867343411,14.1,1.0
frost_cycle_000022,False,catalog_invalid,,,,,,,
frost_cycle_000023,False,missing_defrost_boundary,,,,,,,
frost_cycle_000024,True,,2026-07-21 13:08:48,2026-07-21 13:23:11,0.30015430555555556,1.9852715335443047,1.098424066132156,14.383333333333333,1.0
frost_cycle_000025,False,catalog_invalid,,,,,,,
frost_cycle_000026,True,,2026-07-21 19:03:35,2026-07-21 19:17:06,0.2791641666666667,1.7963927090247678,1.0014865057044011,13.516666666666667,1.0
frost_cycle_000027,True,,2026-07-21 21:45:32,2026-07-21 22:00:12,0.3243611111111111,1.8085736521691924,1.0515813587740386,14.666666666666666,1.0
frost_cycle_000028,False,missing_defrost_boundary,,,,,,,
frost_cycle_000029,True,,2026-07-23 10:43:19,2026-07-23 10:53:38,0.20203597222222222,1.2712173347115387,0.7131873891819607,10.316666666666666,1.0
frost_cycle_000030,True,,2026-07-23 11:41:30,2026-07-23 11:51:37,0.2025911111111111,1.173198335496449,0.6743294796725301,10.116666666666667,1.0
frost_cycle_000031,True,,2026-07-23 12:54:41,2026-07-23 13:05:21,0.2137426388888889,1.3309179003061922,0.7488994150140053,10.666666666666666,1.0
frost_cycle_000032,True,,2026-07-23 15:35:08,2026-07-23 15:47:03,0.22169763888888888,1.7194492597314055,0.9130813240409787,11.916666666666666,0.9916083916083916
frost_cycle_000033,True,,2026-07-23 18:19:17,2026-07-23 18:30:41,0.20741708333333334,1.6134896695840522,0.8561948401635103,11.4,0.9809941520467836
frost_cycle_000034,True,,2026-07-23 21:02:55,2026-07-23 21:13:51,0.20175569444444444,1.554945744372124,0.8269931725910772,10.933333333333334,1.0
frost_cycle_000035,False,missing_defrost_boundary,,,,,,,
frost_cycle_000036,True,,2026-07-24 12:31:19,2026-07-24 12:42:16,0.23123388888888888,1.4278346530760468,0.805360504515674,10.95,0.9908675799086758
frost_cycle_000037,True,,2026-07-24 15:12:05,2026-07-24 15:17:59,0.08708152777777778,1.3493641665885678,0.6296554739574486,5.9,1.0
frost_cycle_000038,False,catalog_invalid,,,,,,,
frost_cycle_000039,True,,2026-07-24 18:14:31,2026-07-24 18:26:52,0.2540359722222222,1.6893350005713974,0.9333108339496976,12.35,0.9824561403508771
frost_cycle_000040,True,,2026-07-24 20:55:43,2026-07-24 21:06:52,0.2237777777777778,1.6129760130146444,0.8723489953513588,11.15,1.0
frost_cycle_000041,False,missing_defrost_boundary,,,,,,,
frost_cycle_000042,False,missing_defrost_boundary,,,,,,,
frost_cycle_000043,True,,2026-07-27 13:29:11,2026-07-27 13:44:43,0.3702179166666667,2.204683039097567,1.2567121679722808,15.533333333333333,0.9935622317596566
frost_cycle_000044,True,,2026-07-27 16:11:50,2026-07-27 16:25:47,0.3176438888888889,1.8583975369587626,1.0648981217825217,13.95,1.0
frost_cycle_000045,True,,2026-07-27 18:23:46,2026-07-27 18:35:16,0.23756166666666667,1.6255607180631655,0.891193143915696,11.5,1.0
frost_cycle_000046,True,,2026-07-27 20:34:04,2026-07-27 20:45:53,0.2525773611111111,1.6123650943425347,0.9009029307247647,11.816666666666666,0.9915373765867419
frost_cycle_000047,True,,2026-07-27 22:44:57,2026-07-27 22:56:49,0.24858930555555558,1.6434180729892482,0.9094011539530727,11.866666666666667,1.0
frost_cycle_000048,False,missing_defrost_boundary,,,,,,,
frost_cycle_000049,True,,2026-07-28 11:20:22,2026-07-28 11:34:21,0.3275726388888889,1.9054501696569612,1.0937465476071342,13.983333333333333,1.0
frost_cycle_000050,True,,2026-07-28 13:31:07,2026-07-28 13:50:29,0.6029880555555556,2.0180492510120835,1.4144376055126737,19.366666666666667,1.0
frost_cycle_000051,True,,2026-07-28 15:42:05,2026-07-28 15:53:27,0.23344833333333334,1.6366269010063839,0.8915294785795707,11.366666666666667,1.0
frost_cycle_000052,True,,2026-07-28 17:52:47,2026-07-28 18:11:07,0.5523691666666666,1.8483634129613358,1.2955887183463288,18.333333333333332,1.0
frost_cycle_000053,True,,2026-07-28 20:03:10,2026-07-28 20:14:37,0.23584611111111112,1.6516987687777267,0.8999875942375739,11.45,1.0
frost_cycle_000054,True,,2026-07-28 22:14:23,2026-07-28 22:26:21,0.25277944444444445,1.6359302467512356,0.9105804677949786,11.966666666666667,0.9916434540389972
frost_cycle_000055,False,missing_defrost_boundary,,,,,,,
frost_cycle_000056,True,,2026-07-29 11:44:16,2026-07-29 11:57:31,0.3000922222222222,1.7339453104665108,0.9973047115223067,13.25,0.9924528301886792
frost_cycle_000057,True,,2026-07-29 13:55:30,2026-07-29 14:07:18,0.2477113888888889,1.6797113811570945,0.9231166316569765,11.8,1.0
frost_cycle_000058,True,,2026-07-29 16:06:05,2026-07-29 16:17:46,0.24701569444444443,1.6361610648508553,0.9049095288316589,11.683333333333334,0.9914407988587732
frost_cycle_000059,True,,2026-07-29 18:16:49,2026-07-29 18:35:31,0.5700106944444445,1.937469862537741,1.3490595938819914,18.7,1.0
frost_cycle_000060,True,,2026-07-29 20:27:30,2026-07-29 20:47:18,0.6266458333333333,2.0225729370637313,1.439914339398146,19.8,0.9949494949494949
frost_cycle_000061,True,,2026-07-29 22:37:58,2026-07-29 22:50:55,0.2859716666666667,1.6721366762138388,0.9583311508071191,12.95,0.9922779922779923
frost_cycle_000062,False,missing_defrost_boundary,,,,,,,
frost_cycle_000063,True,,2026-07-30 11:53:09,2026-07-30 12:13:14,0.6272173611111111,2.1317942978668136,1.4844033404610366,20.083333333333332,0.9933609958506224
frost_cycle_000064,True,,2026-07-30 14:03:22,2026-07-30 14:18:25,0.3751543055555555,1.8628625989772727,1.1242039220671223,15.05,0.9933554817275747
frost_cycle_000065,True,,2026-07-30 16:13:36,2026-07-30 16:32:40,0.5840709722222222,2.0048852324961777,1.3902273228706505,19.066666666666666,1.0
frost_cycle_000066,True,,2026-07-30 18:24:28,2026-07-30 18:44:35,0.64800375,2.042981227537273,1.4694783482163518,20.116666666666667,0.9900579950289975
frost_cycle_000067,True,,2026-07-30 20:34:57,2026-07-30 20:55:32,0.6732316666666667,2.085889546877862,1.511959528846163,20.583333333333332,1.0
frost_cycle_000068,True,,2026-07-30 22:45:24,2026-07-30 22:58:05,0.2741620833333333,1.586816325006953,0.9122145947602658,12.683333333333334,1.0
frost_cycle_000069,False,missing_defrost_boundary,,,,,,,
frost_cycle_000070,True,,2026-07-31 11:28:26,2026-07-31 11:42:35,0.32677666666666666,1.881780915903497,1.0834332629127625,14.15,1.0
frost_cycle_000071,True,,2026-07-31 13:39:13,2026-07-31 13:54:10,0.3642745833333333,1.9550865539148772,1.1504070840668057,14.95,1.0
frost_cycle_000072,True,,2026-07-31 15:49:01,2026-07-31 16:08:50,0.6383352777777778,2.0652151185886916,1.4687500348522056,19.816666666666666,1.0
frost_cycle_000073,True,,2026-07-31 17:58:14,2026-07-31 18:08:48,0.20813361111111112,1.5964227488532527,0.8500488272281637,10.566666666666666,1.0
frost_cycle_000074,True,,2026-07-31 18:55:11,2026-07-31 18:58:46,0.06177013888888888,0.800172588359445,0.3835163432427519,3.5833333333333335,1.0
frost_cycle_000075,True,,2026-07-31 21:05:43,2026-07-31 21:25:21,0.6214200000000001,2.0161262368245243,1.4320963136268983,19.633333333333333,1.0
frost_cycle_000076,True,,2026-07-31 23:15:42,2026-07-31 23:29:08,0.3133098611111111,1.5847147796967744,0.9505173495559218,13.433333333333334,1.0
frost_cycle_000077,False,missing_defrost_boundary,,,,,,,
