regret_threshold,camera_group,split,cost_state,image_count,cycle_count,local_image_count
0.01,top,test,near_optimal,591,12,321
0.01,top,test,outside_candidate_domain,240,12,120
0.01,top,test,post_optimal,729,7,520
0.01,top,test,pre_optimal,986,12,358
0.01,top,train,near_optimal,2266,25,545
0.01,top,train,outside_candidate_domain,496,25,140
0.01,top,train,post_optimal,1607,17,352
0.01,top,train,pre_optimal,1884,25,377
0.01,top,validation,near_optimal,500,8,62
0.01,top,validation,outside_candidate_domain,160,8,40
0.01,top,validation,post_optimal,568,5,133
0.01,top,validation,pre_optimal,571,8,206
0.01,top_close,test,near_optimal,591,12,321
0.01,top_close,test,outside_candidate_domain,240,12,120
0.01,top_close,test,post_optimal,729,7,520
0.01,top_close,test,pre_optimal,986,12,358
0.01,top_close,train,near_optimal,2197,25,545
0.01,top_close,train,outside_candidate_domain,496,25,140
0.01,top_close,train,post_optimal,1610,17,352
0.01,top_close,train,pre_optimal,1875,25,377
0.01,top_close,validation,near_optimal,500,8,62
0.01,top_close,validation,outside_candidate_domain,160,8,40
0.01,top_close,validation,post_optimal,568,5,133
0.01,top_close,validation,pre_optimal,571,8,206
0.01,left,test,near_optimal,591,12,321
0.01,left,test,outside_candidate_domain,240,12,120
0.01,left,test,post_optimal,729,7,520
0.01,left,test,pre_optimal,986,12,358
0.01,left,train,near_optimal,2236,25,545
0.01,left,train,outside_candidate_domain,496,25,140
0.01,left,train,post_optimal,1609,17,352
0.01,left,train,pre_optimal,1836,25,348
0.01,left,validation,near_optimal,500,8,62
0.01,left,validation,outside_candidate_domain,160,8,40
0.01,left,validation,post_optimal,568,5,133
0.01,left,validation,pre_optimal,571,8,206
0.01,left_close,test,near_optimal,591,12,321
0.01,left_close,test,outside_candidate_domain,240,12,120
0.01,left_close,test,post_optimal,729,7,520
0.01,left_close,test,pre_optimal,986,12,358
0.01,left_close,train,near_optimal,2266,25,545
0.01,left_close,train,outside_candidate_domain,476,24,120
0.01,left_close,train,post_optimal,1609,17,352
0.01,left_close,train,pre_optimal,1843,25,333
0.01,left_close,validation,near_optimal,500,8,62
0.01,left_close,validation,outside_candidate_domain,160,8,40
0.01,left_close,validation,post_optimal,568,5,133
0.01,left_close,validation,pre_optimal,571,8,206
0.01,front,test,near_optimal,591,12,321
0.01,front,test,outside_candidate_domain,240,12,120
0.01,front,test,post_optimal,729,7,520
0.01,front,test,pre_optimal,986,12,358
0.01,front,train,near_optimal,2107,24,545
0.01,front,train,outside_candidate_domain,496,25,140
0.01,front,train,post_optimal,1562,17,352
0.01,front,train,pre_optimal,1865,25,377
0.01,front,validation,near_optimal,500,8,62
0.01,front,validation,outside_candidate_domain,160,8,40
0.01,front,validation,post_optimal,568,5,133
0.01,front,validation,pre_optimal,571,8,206
0.01,extreme,test,near_optimal,591,12,321
0.01,extreme,test,outside_candidate_domain,240,12,120
0.01,extreme,test,post_optimal,728,7,519
0.01,extreme,test,pre_optimal,986,12,358
0.01,extreme,train,near_optimal,2060,23,545
0.01,extreme,train,outside_candidate_domain,466,24,130
0.01,extreme,train,post_optimal,1324,15,352
0.01,extreme,train,pre_optimal,1788,24,360
0.01,extreme,validation,near_optimal,500,8,62
0.01,extreme,validation,outside_candidate_domain,160,8,40
0.01,extreme,validation,post_optimal,568,5,133
0.01,extreme,validation,pre_optimal,571,8,206
0.01,top_pair,test,near_optimal,1182,12,642
0.01,top_pair,test,outside_candidate_domain,480,12,240
0.01,top_pair,test,post_optimal,1458,7,1040
0.01,top_pair,test,pre_optimal,1972,12,716
0.01,top_pair,train,near_optimal,4463,25,1090
0.01,top_pair,train,outside_candidate_domain,992,25,280
0.01,top_pair,train,post_optimal,3217,17,704
0.01,top_pair,train,pre_optimal,3759,25,754
0.01,top_pair,validation,near_optimal,1000,8,124
0.01,top_pair,validation,outside_candidate_domain,320,8,80
0.01,top_pair,validation,post_optimal,1136,5,266
0.01,top_pair,validation,pre_optimal,1142,8,412
0.01,left_pair,test,near_optimal,1182,12,642
0.01,left_pair,test,outside_candidate_domain,480,12,240
0.01,left_pair,test,post_optimal,1458,7,1040
0.01,left_pair,test,pre_optimal,1972,12,716
0.01,left_pair,train,near_optimal,4502,25,1090
0.01,left_pair,train,outside_candidate_domain,972,25,260
0.01,left_pair,train,post_optimal,3218,17,704
0.01,left_pair,train,pre_optimal,3679,25,681
0.01,left_pair,validation,near_optimal,1000,8,124
0.01,left_pair,validation,outside_candidate_domain,320,8,80
0.01,left_pair,validation,post_optimal,1136,5,266
0.01,left_pair,validation,pre_optimal,1142,8,412
0.01,all,test,near_optimal,3546,12,1926
0.01,all,test,outside_candidate_domain,1440,12,720
