experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,camera_group,modality,regret_threshold
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336,24,1,top,rgb,0.01
exp_20260717,True,0.5,0.3333333333333333,1.0,0.022815574027545905,24,1,top,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,top,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,top,rgb,0.01
exp_20260723,True,0.9791666666666667,0.9693617021276595,0.9926697530864197,0.00028240208459231705,108,6,top,rgb,0.01
exp_20260724,True,0.8958333333333334,0.8954248366013071,0.978732638888889,0.001763864158709372,96,4,top,rgb,0.01
exp_20260727,True,0.9166666666666667,0.893569844789357,0.937962962962963,0.0009936958520079032,96,5,top,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.955150462962963,0.00039383945755213875,120,6,top,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9366319444444444,0.0014014032742416832,120,6,top,rgb,0.01
exp_20260730,True,0.8819444444444444,0.8578496272036792,0.8362268518518519,0.0030190336602429323,120,6,top,rgb,0.01
exp_20260731,True,0.9226190476190477,0.8815939278937381,0.9365079365079365,0.0011891862098300568,120,7,top,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483,24,1,top,time,0.01
exp_20260717,True,1.0,1.0,1.0,0.0,24,1,top,time,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,top,time,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,top,time,0.01
exp_20260723,True,0.9027777777777778,0.8647584973166369,0.9934413580246914,0.0032256393172185546,108,6,top,time,0.01
exp_20260724,True,0.7708333333333333,0.7581310123683005,0.85546875,0.008168914544275206,96,4,top,time,0.01
exp_20260727,True,0.8583333333333334,0.8563370553700933,0.9435185185185185,0.0016068479568487008,96,5,top,time,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9415509259259259,0.00039383945755213875,120,6,top,time,0.01
exp_20260729,True,0.9409722222222222,0.9317988064791134,0.9887152777777778,0.001259789385936127,120,6,top,time,0.01
exp_20260730,True,0.8506944444444444,0.8391534391534392,0.9230324074074074,0.003170426502841844,120,6,top,time,0.01
exp_20260731,True,0.9404761904761905,0.9073788206236493,0.9659391534391534,0.0008936361683532521,120,7,top,time,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,top,rgb_time,0.01
exp_20260717,True,0.5,0.3333333333333333,1.0,0.022815574027545905,24,1,top,rgb_time,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,top,rgb_time,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,top,rgb_time,0.01
exp_20260723,True,0.9791666666666667,0.9693617021276595,0.9953703703703705,0.00028240208459231705,108,6,top,rgb_time,0.01
exp_20260724,True,0.9479166666666667,0.9479110146500271,0.9583333333333334,0.0006340675901139058,96,4,top,rgb_time,0.01
exp_20260727,True,0.9166666666666667,0.893569844789357,0.9388888888888889,0.0009936958520079032,96,5,top,rgb_time,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9658564814814815,0.00039383945755213875,120,6,top,rgb_time,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9583333333333331,0.0014014032742416832,120,6,top,rgb_time,0.01
exp_20260730,True,0.8888888888888888,0.8660714285714286,0.84375,0.0027711139859976355,120,6,top,rgb_time,0.01
exp_20260731,True,0.9226190476190477,0.8815939278937381,0.9384920634920635,0.0011891862098300568,120,7,top,rgb_time,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,top,rgb,0.02
exp_20260717,True,0.5,0.3333333333333333,1.0,0.02589134872648923,20,1,top,rgb,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,top,rgb,0.02
exp_20260721,True,1.0,1.0,1.0,0.0,32,2,top,rgb,0.02
exp_20260723,True,1.0,1.0,1.0,0.0,91,6,top,rgb,0.02
exp_20260724,True,0.9565217391304348,0.9650776053215078,1.0,0.001092404952393665,63,4,top,rgb,0.02
exp_20260727,True,1.0,1.0,1.0,0.0,39,5,top,rgb,0.02
exp_20260728,True,1.0,1.0,1.0,0.0,72,6,top,rgb,0.02
exp_20260729,True,0.9509803921568627,0.9318539227677791,0.971677559912854,0.0013893369028592118,78,6,top,rgb,0.02
exp_20260730,True,0.8947368421052632,0.8885448916408669,0.9318885448916409,0.004122139810191871,72,6,top,rgb,0.02
exp_20260731,True,0.9897959183673469,0.9866486395132669,1.0,0.00021830543986127578,79,7,top,rgb,0.02
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,top,time,0.02
exp_20260717,True,1.0,1.0,1.0,0.0,20,1,top,time,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,top,time,0.02
exp_20260721,True,1.0,1.0,1.0,0.0,32,2,top,time,0.02
exp_20260723,True,0.953125,0.9254098360655738,1.0,0.0017553577270760787,91,6,top,time,0.02
exp_20260724,True,0.8625,0.8237986270022883,0.9141304347826087,0.005951825874179334,63,4,top,time,0.02
exp_20260727,True,1.0,1.0,1.0,0.0,39,5,top,time,0.02
exp_20260728,True,1.0,1.0,1.0,0.0,72,6,top,time,0.02
exp_20260729,True,0.9520697167755992,0.9442857142857143,0.981118373275236,0.0012882058326544102,78,6,top,time,0.02
exp_20260730,True,0.8753869969040248,0.8747826086956522,0.9295665634674922,0.003985087332421269,72,6,top,time,0.02
exp_20260731,True,1.0,1.0,1.0,0.0,79,7,top,time,0.02
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,top,rgb_time,0.02
exp_20260717,True,0.5,0.3333333333333333,1.0,0.02589134872648923,20,1,top,rgb_time,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,top,rgb_time,0.02
exp_20260721,True,1.0,1.0,1.0,0.0,32,2,top,rgb_time,0.02
exp_20260723,True,1.0,1.0,1.0,0.0,91,6,top,rgb_time,0.02
exp_20260724,True,0.9565217391304348,0.9650776053215078,1.0,0.001092404952393665,63,4,top,rgb_time,0.02
exp_20260727,True,1.0,1.0,1.0,0.0,39,5,top,rgb_time,0.02
exp_20260728,True,1.0,1.0,1.0,0.0,72,6,top,rgb_time,0.02
exp_20260729,True,0.9509803921568627,0.9318539227677791,0.9869281045751633,0.0013893369028592118,78,6,top,rgb_time,0.02
exp_20260730,True,0.9078947368421053,0.9026086956521739,0.9094427244582043,0.0036523972695165718,72,6,top,rgb_time,0.02
