camera_group,regret_threshold,comparison,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
all,0.01,rgb_minus_time,balanced_accuracy,0.024314903684923627,-0.011659422914402947,0.06886690506492543,11,11
all,0.01,rgb_time_minus_time,balanced_accuracy,0.027817643567145556,-0.003759642616403075,0.06834148779461274,11,11
all,0.01,rgb_minus_time,balanced_misclassification_regret,-0.0008050434900312264,-0.002502846345296817,0.0004300271861607731,11,11
all,0.01,rgb_time_minus_time,balanced_misclassification_regret,-0.000904656832575295,-0.002493780694479373,0.00019687367078774897,11,11
all,0.02,rgb_minus_time,balanced_accuracy,0.0104085283120262,-0.014780527479088656,0.03967748450399552,11,11
all,0.02,rgb_time_minus_time,balanced_accuracy,0.016618778953602694,-0.0048467200201178,0.04326554961278255,11,11
all,0.02,rgb_minus_time,balanced_misclassification_regret,-0.0003580102449711539,-0.001535672361368312,0.0006056626702127643,11,11
all,0.02,rgb_time_minus_time,balanced_misclassification_regret,-0.0006031453506661514,-0.0016846791067992575,0.00021113322405137374,11,11
all,0.05,rgb_minus_time,balanced_accuracy,0.03854003139717426,-0.006802721088435382,0.11336996336996338,11,7
all,0.05,rgb_time_minus_time,balanced_accuracy,0.04194139194139195,0.0,0.11336996336996338,11,7
all,0.05,rgb_minus_time,balanced_misclassification_regret,-0.0019278726418846409,-0.0057024624657375745,0.000438971243303264,11,7
all,0.05,rgb_time_minus_time,balanced_misclassification_regret,-0.0021473582635362725,-0.0057024624657375745,0.0,11,7
all,0.1,rgb_minus_time,balanced_accuracy,0.05208333333333337,0.0,0.10416666666666674,9,2
all,0.1,rgb_time_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
all,0.1,rgb_minus_time,balanced_misclassification_regret,-0.0053355176816061965,-0.010671035363212393,0.0,9,2
all,0.1,rgb_time_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
extreme,0.01,rgb_minus_time,balanced_accuracy,-0.09020833333333332,-0.27431076388888886,0.055699652777777706,10,10
extreme,0.01,rgb_time_minus_time,balanced_accuracy,-0.08624007936507935,-0.2619556051587302,0.054470238095237856,10,10
extreme,0.01,rgb_minus_time,balanced_misclassification_regret,0.006148871044615279,-0.0019775122592650563,0.016735881566186123,10,10
extreme,0.01,rgb_time_minus_time,balanced_misclassification_regret,0.005579487092029223,-0.0019497840756306734,0.01575607518472639,10,10
extreme,0.02,rgb_minus_time,balanced_accuracy,-0.10485667037282749,-0.2921875,0.033787834578275694,10,10
extreme,0.02,rgb_time_minus_time,balanced_accuracy,-0.09854088089914328,-0.2754361598440546,0.03521467066358706,10,10
extreme,0.02,rgb_minus_time,balanced_misclassification_regret,0.007431896136558198,-0.0013395013948716433,0.019276661776983207,10,10
extreme,0.02,rgb_time_minus_time,balanced_misclassification_regret,0.006702189365149767,-0.0013958787457267218,0.017678592283528343,10,10
extreme,0.05,rgb_minus_time,balanced_accuracy,-0.17009379509379507,-0.4736652236652237,0.08585858585858586,10,6
extreme,0.05,rgb_time_minus_time,balanced_accuracy,-0.14628427128427127,-0.4022366522366522,0.08585858585858586,10,6
extreme,0.05,rgb_minus_time,balanced_misclassification_regret,0.014025617165853654,-0.00428210690153422,0.03480861585173542,10,6
extreme,0.05,rgb_time_minus_time,balanced_misclassification_regret,0.011596406516313398,-0.00428210690153422,0.027609405266460385,10,6
extreme,0.1,rgb_minus_time,balanced_accuracy,-0.4375,-0.5,-0.375,7,2
extreme,0.1,rgb_time_minus_time,balanced_accuracy,-0.4375,-0.5,-0.375,7,2
extreme,0.1,rgb_minus_time,balanced_misclassification_regret,0.049689128722439316,0.045740766703877216,0.05363749074100142,7,2
extreme,0.1,rgb_time_minus_time,balanced_misclassification_regret,0.049689128722439316,0.045740766703877216,0.05363749074100142,7,2
front,0.01,rgb_minus_time,balanced_accuracy,0.038212481962481976,0.006222943722943741,0.08106105699855701,11,11
front,0.01,rgb_time_minus_time,balanced_accuracy,0.03875360750360752,0.007052669552669568,0.08119769119769106,11,11
front,0.01,rgb_minus_time,balanced_misclassification_regret,-0.0011302217493172435,-0.002771178249326204,-4.8990287308017814e-05,11,11
front,0.01,rgb_time_minus_time,balanced_misclassification_regret,-0.0011417985529462507,-0.0027746480961891246,-6.666374754767987e-05,11,11
front,0.02,rgb_minus_time,balanced_accuracy,0.011979716151800128,-0.0019543170803675088,0.028674988804299126,11,11
front,0.02,rgb_time_minus_time,balanced_accuracy,0.013835003721373413,0.0,0.029834935194883845,11,11
front,0.02,rgb_minus_time,balanced_misclassification_regret,-0.0005268946890655678,-0.0014269786147891844,7.234764050876758e-05,11,11
front,0.02,rgb_time_minus_time,balanced_misclassification_regret,-0.0005716611286093895,-0.0014541036564303604,0.0,11,11
front,0.05,rgb_minus_time,balanced_accuracy,0.03787878787878788,-0.10497835497835498,0.21428571428571427,11,7
front,0.05,rgb_time_minus_time,balanced_accuracy,0.03787878787878788,-0.10497835497835498,0.21428571428571427,11,7
front,0.05,rgb_minus_time,balanced_misclassification_regret,-0.0016546336353220712,-0.011003097942185071,0.006269743320160629,11,7
front,0.05,rgb_time_minus_time,balanced_misclassification_regret,-0.0016546336353220712,-0.011003097942185071,0.006269743320160629,11,7
front,0.1,rgb_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
front,0.1,rgb_time_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
front,0.1,rgb_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
front,0.1,rgb_time_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
left,0.01,rgb_minus_time,balanced_accuracy,0.021428571428571422,-0.002155483405483418,0.047032828282828266,11,11
left,0.01,rgb_time_minus_time,balanced_accuracy,0.021608946608946612,-0.0038340999278499337,0.04861471861471858,11,11
left,0.01,rgb_minus_time,balanced_misclassification_regret,-0.0005466990151456541,-0.001918734730588087,0.0006094946759569883,11,11
left,0.01,rgb_time_minus_time,balanced_misclassification_regret,-0.0008729139603006647,-0.0021738022502764106,4.5507259843238495e-05,11,11
left,0.02,rgb_minus_time,balanced_accuracy,0.008246888687981018,0.0,0.0185980353066266,11,11
left,0.02,rgb_time_minus_time,balanced_accuracy,0.008246888687981018,0.0,0.0185980353066266,11,11
left,0.02,rgb_minus_time,balanced_misclassification_regret,-0.00044560528247387633,-0.001063024106754037,0.0,11,11
left,0.02,rgb_time_minus_time,balanced_misclassification_regret,-0.00044560528247387633,-0.001063024106754037,0.0,11,11
left,0.05,rgb_minus_time,balanced_accuracy,0.0021645021645021628,-0.10497835497835498,0.10714285714285714,11,7
left,0.05,rgb_time_minus_time,balanced_accuracy,0.0021645021645021628,-0.10497835497835498,0.10714285714285714,11,7
left,0.05,rgb_minus_time,balanced_misclassification_regret,0.0002355135776389681,-0.005332656303301953,0.006269743320160629,11,7
left,0.05,rgb_time_minus_time,balanced_misclassification_regret,0.0002355135776389681,-0.005332656303301953,0.006269743320160629,11,7
left,0.1,rgb_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
left,0.1,rgb_time_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
left,0.1,rgb_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
left,0.1,rgb_time_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
left_close,0.01,rgb_minus_time,balanced_accuracy,-0.0044253510716925374,-0.03991146218280364,0.026010101010100997,11,11
left_close,0.01,rgb_time_minus_time,balanced_accuracy,-0.004186683912293659,-0.040065287016506516,0.02713010439763484,11,11
left_close,0.01,rgb_minus_time,balanced_misclassification_regret,0.0001812513550672453,-0.0011860798930917842,0.0015679331700583444,11,11
left_close,0.01,rgb_time_minus_time,balanced_misclassification_regret,0.00019809024905565622,-0.001211369551864693,0.0016079436625233148,11,11
left_close,0.02,rgb_minus_time,balanced_accuracy,-0.031207560286816805,-0.08154527945594618,0.005317397513520803,11,11
left_close,0.02,rgb_time_minus_time,balanced_accuracy,-0.022786741207387894,-0.08001796672179656,0.025737808804380598,11,11
left_close,0.02,rgb_minus_time,balanced_misclassification_regret,0.0011931916025364703,-0.00042730531767982765,0.0032654427397315355,11,11
left_close,0.02,rgb_time_minus_time,balanced_misclassification_regret,0.0009632112901066672,-0.0010250479156629932,0.0033284644260911304,11,11
left_close,0.05,rgb_minus_time,balanced_accuracy,0.002232142857142857,-0.10491071428571429,0.10714285714285714,11,7
left_close,0.05,rgb_time_minus_time,balanced_accuracy,0.002232142857142857,-0.10491071428571429,0.10714285714285714,11,7
left_close,0.05,rgb_minus_time,balanced_misclassification_regret,0.00023191129195237778,-0.005332656303301953,0.0062661410344740385,11,7
left_close,0.05,rgb_time_minus_time,balanced_misclassification_regret,0.00023191129195237778,-0.005332656303301953,0.0062661410344740385,11,7
left_close,0.1,rgb_minus_time,balanced_accuracy,-0.0625,-0.125,0.0,8,2
left_close,0.1,rgb_time_minus_time,balanced_accuracy,-0.0625,-0.125,0.0,8,2
left_close,0.1,rgb_minus_time,balanced_misclassification_regret,0.00809754490276263,0.0,0.01619508980552526,8,2
left_close,0.1,rgb_time_minus_time,balanced_misclassification_regret,0.00809754490276263,0.0,0.01619508980552526,8,2
left_pair,0.01,rgb_minus_time,balanced_accuracy,0.013910946817573312,-0.014223560910307903,0.046085858585858536,11,11
left_pair,0.01,rgb_time_minus_time,balanced_accuracy,0.014342597663380792,-0.013622149583181229,0.046275252525252525,11,11
left_pair,0.01,rgb_minus_time,balanced_misclassification_regret,-0.00041424832507661724,-0.0018436882385476036,0.0006417230427955336,11,11
left_pair,0.01,rgb_time_minus_time,balanced_misclassification_regret,-0.0004249143172094648,-0.0018516279301463655,0.0006245170393807621,11,11
left_pair,0.02,rgb_minus_time,balanced_accuracy,-0.0006202300203420103,-0.026557445883983323,0.022785581642091404,11,11
left_pair,0.02,rgb_time_minus_time,balanced_accuracy,-0.0013704126369085134,-0.02801087281823645,0.02345515975537232,11,11
left_pair,0.02,rgb_minus_time,balanced_misclassification_regret,5.132653906000419e-05,-0.001093025757650311,0.001126281047071201,11,11
left_pair,0.02,rgb_time_minus_time,balanced_misclassification_regret,0.00011912714935326504,-0.001063002005626458,0.0012514270398910204,11,11
left_pair,0.05,rgb_minus_time,balanced_accuracy,0.00698260073260074,-0.09718406593406591,0.10714285714285714,11,7
left_pair,0.05,rgb_time_minus_time,balanced_accuracy,0.024839743589743595,-0.09718406593406591,0.16071428571428573,11,7
left_pair,0.05,rgb_minus_time,balanced_misclassification_regret,-6.97767771363811e-05,-0.005332656303301953,0.005777819314921442,11,7
left_pair,0.05,rgb_time_minus_time,balanced_misclassification_regret,-0.0010148503836169005,-0.008167877122743512,0.005777819314921442,11,7
left_pair,0.1,rgb_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
left_pair,0.1,rgb_time_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
left_pair,0.1,rgb_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
left_pair,0.1,rgb_time_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
top,0.01,rgb_minus_time,balanced_accuracy,-0.020941558441558417,-0.12689506673881673,0.04651898448773454,11,11
top,0.01,rgb_time_minus_time,balanced_accuracy,-0.011787518037518006,-0.12193407287157285,0.061682449494949484,11,11
top,0.01,rgb_minus_time,balanced_misclassification_regret,0.001194380743202369,-0.0018592253449572532,0.0059942979936015725,11,11
top,0.01,rgb_time_minus_time,balanced_misclassification_regret,0.0010309469905608977,-0.002155069188578837,0.0059340056051664595,11,11
top,0.02,rgb_minus_time,balanced_accuracy,-0.03191334744724694,-0.13294176389322343,0.028876982830901343,11,11
top,0.02,rgb_time_minus_time,balanced_accuracy,-0.030717175198443112,-0.13147981148865712,0.03019726899497058,11,11
top,0.02,rgb_minus_time,balanced_misclassification_regret,0.001793914460496742,-0.0012856411789200681,0.006955657265272626,11,11
top,0.02,rgb_time_minus_time,balanced_misclassification_regret,0.0017512105931626236,-0.001327712692245416,0.006939941525458377,11,11
top,0.05,rgb_minus_time,balanced_accuracy,-0.04538690476190475,-0.21428571428571427,0.08333333333333336,11,7
top,0.05,rgb_time_minus_time,balanced_accuracy,-0.04538690476190475,-0.21428571428571427,0.08333333333333336,11,7
top,0.05,rgb_minus_time,balanced_misclassification_regret,0.003679936177886808,-0.004067141208575329,0.014830818477844869,11,7
top,0.05,rgb_time_minus_time,balanced_misclassification_regret,0.003679936177886808,-0.004067141208575329,0.014830818477844869,11,7
top,0.1,rgb_minus_time,balanced_accuracy,0.0,0.0,0.0,9,2
top,0.1,rgb_time_minus_time,balanced_accuracy,0.0,0.0,0.0,9,2
top,0.1,rgb_minus_time,balanced_misclassification_regret,0.0004609385275337061,0.0,0.0009218770550674122,9,2
top,0.1,rgb_time_minus_time,balanced_misclassification_regret,0.0004609385275337061,0.0,0.0009218770550674122,9,2
top_close,0.01,rgb_minus_time,balanced_accuracy,-0.019462481962481945,-0.12619994588744587,0.0531416847041847,11,11
top_close,0.01,rgb_time_minus_time,balanced_accuracy,-0.013465007215007197,-0.12464826839826836,0.06571158008657996,11,11
top_close,0.01,rgb_minus_time,balanced_misclassification_regret,0.0011690098742177567,-0.0021025459341756387,0.0060982294211917145,11,11
top_close,0.01,rgb_time_minus_time,balanced_misclassification_regret,0.0010621632635687975,-0.002321389551633476,0.0060697460855429,11,11
top_close,0.02,rgb_minus_time,balanced_accuracy,-0.03274443647448996,-0.13574961982400616,0.03359782219351752,11,11
top_close,0.02,rgb_time_minus_time,balanced_accuracy,-0.03181679268970332,-0.13494318181818182,0.03544078949407429,11,11
top_close,0.02,rgb_minus_time,balanced_misclassification_regret,0.0019050036110978949,-0.0014068503231449753,0.007157669274591618,11,11
top_close,0.02,rgb_time_minus_time,balanced_misclassification_regret,0.0018824601490035652,-0.0014533906124456564,0.007138486866696464,11,11
top_close,0.05,rgb_minus_time,balanced_accuracy,-0.033482142857142856,-0.21205357142857142,0.10714285714285714,11,7
top_close,0.05,rgb_time_minus_time,balanced_accuracy,-0.033482142857142856,-0.21205357142857142,0.10714285714285714,11,7
top_close,0.05,rgb_minus_time,balanced_misclassification_regret,0.003082655673403089,-0.005332656303301953,0.014818374178826171,11,7
top_close,0.05,rgb_time_minus_time,balanced_misclassification_regret,0.003082655673403089,-0.005332656303301953,0.014818374178826171,11,7
top_close,0.1,rgb_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
top_close,0.1,rgb_time_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
top_close,0.1,rgb_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
top_close,0.1,rgb_time_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
top_pair,0.01,rgb_minus_time,balanced_accuracy,0.022637085137085147,-0.002705627705627696,0.05429856601731595,11,11
top_pair,0.01,rgb_time_minus_time,balanced_accuracy,0.03390602453102456,0.00524891774891777,0.07465435606060607,11,11
top_pair,0.01,rgb_minus_time,balanced_misclassification_regret,-0.0008182863666792797,-0.0021844563015877404,7.464049816668488e-05,11,11
top_pair,0.01,rgb_time_minus_time,balanced_misclassification_regret,-0.0010562549787407009,-0.0026415141417715313,-3.4682543029351416e-05,11,11
top_pair,0.02,rgb_minus_time,balanced_accuracy,0.012948320129047473,0.0003676111592962479,0.028781076861018925,11,11
top_pair,0.02,rgb_time_minus_time,balanced_accuracy,0.02231273620700353,0.0026809337545823553,0.04898176844199569,11,11
top_pair,0.02,rgb_minus_time,balanced_misclassification_regret,-0.0005112208354692322,-0.0013111542198561597,4.3312872048254844e-05,11,11
top_pair,0.02,rgb_time_minus_time,balanced_misclassification_regret,-0.0007825852442471106,-0.0019019227756106776,-3.144941961302889e-05,11,11
top_pair,0.05,rgb_minus_time,balanced_accuracy,0.02492559523809525,-0.043526785714285685,0.11011904761904764,11,7
top_pair,0.05,rgb_time_minus_time,balanced_accuracy,0.0427827380952381,0.0014880952380952486,0.11272321428571429,11,7
top_pair,0.05,rgb_minus_time,balanced_misclassification_regret,-0.0011415659692975333,-0.005332656303301953,0.002577691302049785,11,7
top_pair,0.05,rgb_time_minus_time,balanced_misclassification_regret,-0.0022057353796527857,-0.00566752275662217,-9.331682523191881e-05,11,7
top_pair,0.1,rgb_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
top_pair,0.1,rgb_time_minus_time,balanced_accuracy,0.0625,0.0,0.125,9,2
top_pair,0.1,rgb_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
top_pair,0.1,rgb_time_minus_time,balanced_misclassification_regret,-0.006683706362687594,-0.013367412725375187,0.0,9,2
