camera_group,representation,model,accuracy_margin,full_training_experiment_count,full_balanced_accuracy,required_training_experiment_count,required_balanced_accuracy
all,handcrafted,hist_gradient_boosting,0.02,10,0.9363998657954653,6,0.9204230522050153
all,handcrafted,logistic,0.02,10,0.936799360562037,2,0.9271405145665679
all,handcrafted,mlp,0.02,10,0.9383220599390012,2,0.9189070742334203
all,handcrafted,random_forest,0.02,10,0.9472035747429627,6,0.9284496601899718
all,handcrafted,rbf_svm,0.02,10,0.9506936060471916,2,0.9432948348936671
extreme,handcrafted,hist_gradient_boosting,0.02,10,0.8808333333333334,4,0.8759854497354496
extreme,handcrafted,logistic,0.02,10,0.8672519841269841,4,0.859596560846561
extreme,handcrafted,mlp,0.02,10,0.8837301587301587,6,0.8650661375661375
extreme,handcrafted,random_forest,0.02,10,0.9072222222222223,10,0.9072222222222223
extreme,handcrafted,rbf_svm,0.02,10,0.8337698412698412,4,0.8255820105820106
front,handcrafted,hist_gradient_boosting,0.02,10,0.9533306085167788,8,0.947162289050587
front,handcrafted,logistic,0.02,10,0.9615620490620492,4,0.9419077425726363
front,handcrafted,mlp,0.02,10,0.9613365800865801,6,0.9464075276575277
front,handcrafted,random_forest,0.02,10,0.956511544011544,8,0.9475711394594373
front,handcrafted,rbf_svm,0.02,10,0.9653138528138527,6,0.9467147411296348
left,handcrafted,hist_gradient_boosting,0.02,10,0.8947781385281387,6,0.8863696488696488
left,handcrafted,logistic,0.02,10,0.9447420634920636,6,0.9332822270322269
left,handcrafted,mlp,0.02,10,0.9478084415584416,8,0.9326569264069263
left,handcrafted,random_forest,0.02,10,0.9447420634920636,10,0.9447420634920636
left,handcrafted,rbf_svm,0.02,10,0.9485299422799423,4,0.9403469215969217
left_close,handcrafted,hist_gradient_boosting,0.02,10,0.9287678615422515,4,0.9252053050833539
left_close,handcrafted,logistic,0.02,10,0.919761640798226,6,0.906200726779995
left_close,handcrafted,mlp,0.02,10,0.9355506282335552,6,0.9234289028496345
left_close,handcrafted,random_forest,0.02,10,0.9380142892338014,4,0.9228268456926993
left_close,handcrafted,rbf_svm,0.02,10,0.9209657551120966,4,0.9044679518764887
left_pair,handcrafted,hist_gradient_boosting,0.02,10,0.9385340604843617,6,0.9251956056549431
left_pair,handcrafted,logistic,0.02,10,0.9430099184617258,6,0.926597044744635
left_pair,handcrafted,mlp,0.02,10,0.9189082085919434,6,0.903228570849053
left_pair,handcrafted,random_forest,0.02,10,0.9370945904831447,4,0.9250741602774736
left_pair,handcrafted,rbf_svm,0.02,10,0.9399259918461724,6,0.9288009360675024
top,handcrafted,hist_gradient_boosting,0.02,10,0.8934613997113996,4,0.8749849687349687
top,handcrafted,logistic,0.02,10,0.9084054834054833,4,0.8977332852332853
top,handcrafted,mlp,0.02,10,0.9116522366522365,4,0.8961790524290524
top,handcrafted,random_forest,0.02,10,0.9037518037518038,6,0.8935575998076
top,handcrafted,rbf_svm,0.02,10,0.9052128427128427,6,0.8941498316498318
top_close,handcrafted,hist_gradient_boosting,0.02,10,0.896897546897547,8,0.9018518518518519
top_close,handcrafted,logistic,0.02,10,0.901461038961039,2,0.888747594997595
top_close,handcrafted,mlp,0.02,10,0.9012536075036075,6,0.8981240981240982
top_close,handcrafted,random_forest,0.02,10,0.9095238095238095,8,0.8994979557479557
top_close,handcrafted,rbf_svm,0.02,10,0.9066919191919193,4,0.8918891293891295
top_pair,handcrafted,hist_gradient_boosting,0.02,10,0.9306863275613275,8,0.9226821789321789
top_pair,handcrafted,logistic,0.02,10,0.9167658730158731,2,0.9264189514189511
top_pair,handcrafted,mlp,0.02,10,0.9498466810966811,4,0.9415373977873979
top_pair,handcrafted,random_forest,0.02,10,0.940458152958153,6,0.9214360870610872
top_pair,handcrafted,rbf_svm,0.02,10,0.9495129870129871,2,0.9417824074074074
