camera_group,representation,model,held_out_experiment,repeat,training_experiment_count,training_cycle_count,training_image_count,test_image_count,fit_predict_seconds,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret
top,handcrafted,logistic,exp_20260715,0,2,7,132,24,0.05045599999721162,0.875,0.873015873015873,1.0,0.001900994379821189
top,handcrafted,random_forest,exp_20260715,0,2,7,132,24,0.24585270800162107,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260715,0,2,7,132,24,0.014821792021393776,0.5833333333333334,0.4957983193277311,1.0,0.02059904632254023
top,handcrafted,hist_gradient_boosting,exp_20260715,0,2,7,132,24,1.0052936249994673,0.875,0.873015873015873,1.0,0.001900994379821189
top,handcrafted,mlp,exp_20260715,0,2,7,132,24,0.059096750017488375,1.0,1.0,1.0,0.0
top,handcrafted,logistic,exp_20260715,0,4,19,360,24,0.01458220899803564,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,random_forest,exp_20260715,0,4,19,360,24,0.35497916699387133,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260715,0,4,19,360,24,0.01251049997517839,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260715,0,4,19,360,24,2.86140075000003,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260715,0,4,19,360,24,0.052635999978519976,1.0,1.0,1.0,0.0
top,handcrafted,logistic,exp_20260715,0,6,32,600,24,0.01346966699929908,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260715,0,6,32,600,24,0.21908466701279394,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483
top,handcrafted,rbf_svm,exp_20260715,0,6,32,600,24,0.010115459008375183,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260715,0,6,32,600,24,5.231105541985016,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260715,0,6,32,600,24,0.12191575000179,1.0,1.0,1.0,0.0
top,handcrafted,logistic,exp_20260715,0,8,37,720,24,0.03697266700328328,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260715,0,8,37,720,24,0.26623383298283443,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260715,0,8,37,720,24,0.012514500005636364,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,hist_gradient_boosting,exp_20260715,0,8,37,720,24,5.209697792015504,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260715,0,8,37,720,24,0.07894770900020376,1.0,1.0,1.0,0.0
top,handcrafted,logistic,exp_20260715,0,10,44,864,24,0.01692533298046328,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260715,0,10,44,864,24,0.22264391600037925,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483
top,handcrafted,rbf_svm,exp_20260715,0,10,44,864,24,0.014280374976806343,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336
top,handcrafted,hist_gradient_boosting,exp_20260715,0,10,44,864,24,6.313744457991561,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260715,0,10,44,864,24,0.060705540992785245,1.0,1.0,1.0,0.0
top,handcrafted,logistic,exp_20260715,1,2,5,120,24,0.010988374997396022,0.9166666666666667,0.916083916083916,1.0,0.0010631109807737844
top,handcrafted,random_forest,exp_20260715,1,2,5,120,24,0.1977758750144858,1.0,1.0,0.9999999999999999,0.0
