camera_group,representation,model,training_experiment_count,metric,estimate,lower,upper,held_out_experiment_count
all,handcrafted,hist_gradient_boosting,2,balanced_accuracy,0.8855754179486524,0.8498974856745856,0.9212756096316703,11
all,handcrafted,hist_gradient_boosting,2,macro_f1,0.8829567943419016,0.8465422501391319,0.919907978587759,11
all,handcrafted,hist_gradient_boosting,2,auroc,0.9642561685932971,0.9456507911873714,0.9818494826562482,11
all,handcrafted,hist_gradient_boosting,2,balanced_misclassification_regret,0.0031442637558426367,0.0018790324958916093,0.004852224825757966,11
all,handcrafted,hist_gradient_boosting,2,fit_predict_seconds,4.5550592614242555,3.6497218974856276,5.448601490029515,11
all,handcrafted,hist_gradient_boosting,2,training_cycle_count,8.424242424242424,7.666666666666666,9.272727272727273,11
all,handcrafted,hist_gradient_boosting,2,training_image_count,979.6969696969696,893.6621212121211,1073.7409090909089,11
all,handcrafted,hist_gradient_boosting,4,balanced_accuracy,0.9138338707205663,0.8858105823187202,0.9406738757524743,11
all,handcrafted,hist_gradient_boosting,4,macro_f1,0.9108987661830674,0.8799458490423802,0.9400341916233299,11
all,handcrafted,hist_gradient_boosting,4,auroc,0.9649494845518635,0.9464340443729976,0.9827492632982581,11
all,handcrafted,hist_gradient_boosting,4,balanced_misclassification_regret,0.0020092300380722718,0.001377470081736664,0.0026410071185493733,11
all,handcrafted,hist_gradient_boosting,4,fit_predict_seconds,5.265336217270515,4.3066766526290765,6.216151298076342,11
all,handcrafted,hist_gradient_boosting,4,training_cycle_count,14.454545454545457,13.272727272727273,15.81818181818182,11
all,handcrafted,hist_gradient_boosting,4,training_image_count,1707.848484848485,1580.7477272727274,1851.6681818181821,11
all,handcrafted,hist_gradient_boosting,6,balanced_accuracy,0.9204230522050153,0.8931257745329773,0.9463656690006123,11
all,handcrafted,hist_gradient_boosting,6,macro_f1,0.9168866561877267,0.8864450466941455,0.9452989448099279,11
all,handcrafted,hist_gradient_boosting,6,auroc,0.9651102972895544,0.9454957972266054,0.9834606460667987,11
all,handcrafted,hist_gradient_boosting,6,balanced_misclassification_regret,0.0018366907615918993,0.0011993158015930012,0.0024869382625082783,11
all,handcrafted,hist_gradient_boosting,6,fit_predict_seconds,5.206363748756385,4.2447907534834055,6.118304200985276,11
all,handcrafted,hist_gradient_boosting,6,training_cycle_count,23.727272727272727,22.484090909090906,24.90909090909091,11
all,handcrafted,hist_gradient_boosting,6,training_image_count,2785.060606060606,2653.108333333333,2906.062121212121,11
all,handcrafted,hist_gradient_boosting,8,balanced_accuracy,0.9320179540993255,0.9064920519241776,0.9562061588103254,11
all,handcrafted,hist_gradient_boosting,8,macro_f1,0.9259989266716843,0.896429013574335,0.9539355168311129,11
all,handcrafted,hist_gradient_boosting,8,auroc,0.9642051855781404,0.9456487965989345,0.9827058342157665,11
all,handcrafted,hist_gradient_boosting,8,balanced_misclassification_regret,0.0016040817441226028,0.001029475012025136,0.002200157071922133,11
all,handcrafted,hist_gradient_boosting,8,fit_predict_seconds,5.502185534064086,4.393340333802718,6.599242019702003,11
all,handcrafted,hist_gradient_boosting,8,training_cycle_count,31.90909090909091,30.60606060606061,33.36363636363637,11
all,handcrafted,hist_gradient_boosting,8,training_image_count,3744.3939393939395,3590.8750000000005,3917.3681818181817,11
all,handcrafted,hist_gradient_boosting,10,balanced_accuracy,0.9363998657954653,0.9111474076909383,0.9603864114631159,11
all,handcrafted,hist_gradient_boosting,10,macro_f1,0.9289176999613544,0.8998448212931074,0.9566075374049253,11
all,handcrafted,hist_gradient_boosting,10,auroc,0.9631721492949289,0.943864749554587,0.9822399523964391,11
all,handcrafted,hist_gradient_boosting,10,balanced_misclassification_regret,0.0014059743900702983,0.0007352497375086193,0.002173207415168324,11
all,handcrafted,hist_gradient_boosting,10,fit_predict_seconds,5.466674143914133,4.516358281040249,6.455416800396845,11
all,handcrafted,hist_gradient_boosting,10,training_cycle_count,40.90909090909091,39.63636363636363,42.18409090909088,11
all,handcrafted,hist_gradient_boosting,10,training_image_count,4808.181818181818,4667.15,4954.561363636364,11
all,handcrafted,logistic,2,balanced_accuracy,0.9271405145665679,0.8950107112235681,0.9574669835986123,11
all,handcrafted,logistic,2,macro_f1,0.9189034569412923,0.8841075925144917,0.9527601712224768,11
all,handcrafted,logistic,2,auroc,0.9608005273522483,0.940778858881155,0.9809272570662284,11
all,handcrafted,logistic,2,balanced_misclassification_regret,0.001752020190736354,0.0007519653910536231,0.0031467497826445675,11
all,handcrafted,logistic,2,fit_predict_seconds,0.011204212089069186,0.010372431060849603,0.012120954616671729,11
all,handcrafted,logistic,2,training_cycle_count,8.424242424242424,7.666666666666666,9.272727272727273,11
all,handcrafted,logistic,2,training_image_count,979.6969696969696,893.6621212121211,1073.7409090909089,11
all,handcrafted,logistic,4,balanced_accuracy,0.9333773491891022,0.9054869872362402,0.9595343188832773,11
all,handcrafted,logistic,4,macro_f1,0.9241669686875386,0.8931564370772418,0.95473653360974,11
all,handcrafted,logistic,4,auroc,0.9601120977070754,0.9380323879194351,0.9816142810505447,11
all,handcrafted,logistic,4,balanced_misclassification_regret,0.001609280063804433,0.000725340655931224,0.002822267143653955,11
all,handcrafted,logistic,4,fit_predict_seconds,0.02016916915255768,0.0189431498280266,0.021759753215354234,11
all,handcrafted,logistic,4,training_cycle_count,14.454545454545457,13.272727272727273,15.81818181818182,11
all,handcrafted,logistic,4,training_image_count,1707.848484848485,1580.7477272727274,1851.6681818181821,11
all,handcrafted,logistic,6,balanced_accuracy,0.9358712614088082,0.9057017217198953,0.9637466597364243,11
all,handcrafted,logistic,6,macro_f1,0.926724023608293,0.8938554586091857,0.9585418873100678,11
all,handcrafted,logistic,6,auroc,0.9612260023894726,0.9389208354791505,0.9828271002859982,11
all,handcrafted,logistic,6,balanced_misclassification_regret,0.0015054712734438307,0.0005817582137617123,0.0027599680586359566,11
all,handcrafted,logistic,6,fit_predict_seconds,0.023456000095007545,0.02138160970743312,0.025335479148369897,11
all,handcrafted,logistic,6,training_cycle_count,23.727272727272727,22.484090909090906,24.90909090909091,11
all,handcrafted,logistic,6,training_image_count,2785.060606060606,2653.108333333333,2906.062121212121,11
all,handcrafted,logistic,8,balanced_accuracy,0.9373643872118911,0.9069979912446429,0.9650352145456028,11
all,handcrafted,logistic,8,macro_f1,0.9281006091311069,0.8954373803739836,0.9595231058957303,11
all,handcrafted,logistic,8,auroc,0.9605994107173413,0.937231657484536,0.9827860506383806,11
all,handcrafted,logistic,8,balanced_misclassification_regret,0.001525056107122799,0.0006147571269812031,0.0027878998867138733,11
all,handcrafted,logistic,8,fit_predict_seconds,0.022309449513682703,0.02021402392109105,0.024410791023392726,11
all,handcrafted,logistic,8,training_cycle_count,31.90909090909091,30.60606060606061,33.36363636363637,11
all,handcrafted,logistic,8,training_image_count,3744.3939393939395,3590.8750000000005,3917.3681818181817,11
all,handcrafted,logistic,10,balanced_accuracy,0.936799360562037,0.9009346371020356,0.9673981051040711,11
all,handcrafted,logistic,10,macro_f1,0.9269108918004562,0.8897272624771818,0.9616496605751093,11
all,handcrafted,logistic,10,auroc,0.953275809564009,0.9173063386659612,0.9823904911515194,11
all,handcrafted,logistic,10,balanced_misclassification_regret,0.0016577692593546418,0.000497879257948826,0.003365599035686148,11
all,handcrafted,logistic,10,fit_predict_seconds,0.023271408821032805,0.020398001904554392,0.027151738311460408,11
all,handcrafted,logistic,10,training_cycle_count,40.90909090909091,39.63636363636363,42.18409090909088,11
all,handcrafted,logistic,10,training_image_count,4808.181818181818,4667.15,4954.561363636364,11
all,handcrafted,mlp,2,balanced_accuracy,0.9189070742334203,0.8979866993992197,0.9424461630190796,11
all,handcrafted,mlp,2,macro_f1,0.9055107732329746,0.8774336639691972,0.9338477140050376,11
all,handcrafted,mlp,2,auroc,0.9580380477731493,0.9394833781377565,0.9758083074537462,11
all,handcrafted,mlp,2,balanced_misclassification_regret,0.0022324120073100623,0.0017428728917269901,0.002773535226967833,11
all,handcrafted,mlp,2,fit_predict_seconds,0.10516456318278374,0.0963266658263544,0.11328048892484566,11
all,handcrafted,mlp,2,training_cycle_count,8.424242424242424,7.666666666666666,9.272727272727273,11
all,handcrafted,mlp,2,training_image_count,979.6969696969696,893.6621212121211,1073.7409090909089,11
all,handcrafted,mlp,4,balanced_accuracy,0.9312744649399545,0.9089517761776077,0.9549168133353739,11
all,handcrafted,mlp,4,macro_f1,0.9201028478939506,0.8932088747260117,0.9479805088774572,11
all,handcrafted,mlp,4,auroc,0.9631377411493968,0.9452140340057497,0.9808022455512633,11
all,handcrafted,mlp,4,balanced_misclassification_regret,0.0017054030348008032,0.00099636886161477,0.002543233929130458,11
all,handcrafted,mlp,4,fit_predict_seconds,0.16093764272977062,0.14859031513745624,0.17381634571566157,11
all,handcrafted,mlp,4,training_cycle_count,14.454545454545457,13.272727272727273,15.81818181818182,11
all,handcrafted,mlp,4,training_image_count,1707.848484848485,1580.7477272727274,1851.6681818181821,11
all,handcrafted,mlp,6,balanced_accuracy,0.9407377052345662,0.9185381623566952,0.9633162496173859,11
all,handcrafted,mlp,6,macro_f1,0.9305456255851698,0.9033530958176602,0.9577572060616425,11
all,handcrafted,mlp,6,auroc,0.964664161030614,0.9462340668802763,0.9830957556653845,11
all,handcrafted,mlp,6,balanced_misclassification_regret,0.001335650258392403,0.0006623908122449268,0.0021386035311440313,11
all,handcrafted,mlp,6,fit_predict_seconds,0.24190968557641923,0.22862424367439496,0.25591635499930077,11
all,handcrafted,mlp,6,training_cycle_count,23.727272727272727,22.484090909090906,24.90909090909091,11
all,handcrafted,mlp,6,training_image_count,2785.060606060606,2653.108333333333,2906.062121212121,11
all,handcrafted,mlp,8,balanced_accuracy,0.9411069371630915,0.9188761493156036,0.9641156136600422,11
all,handcrafted,mlp,8,macro_f1,0.9311850615030896,0.9039742100215573,0.9587020438455082,11
all,handcrafted,mlp,8,auroc,0.9641913238369497,0.9459501901094941,0.9827644135070307,11
all,handcrafted,mlp,8,balanced_misclassification_regret,0.0013127980051601243,0.0006343137000155522,0.0021210529960844667,11
all,handcrafted,mlp,8,fit_predict_seconds,0.278635375028843,0.26358498473694486,0.29270640051258706,11
all,handcrafted,mlp,8,training_cycle_count,31.90909090909091,30.60606060606061,33.36363636363637,11
all,handcrafted,mlp,8,training_image_count,3744.3939393939395,3590.8750000000005,3917.3681818181817,11
all,handcrafted,mlp,10,balanced_accuracy,0.9383220599390012,0.9131086508724819,0.9620037595257172,11
all,handcrafted,mlp,10,macro_f1,0.9280304955195846,0.9001710168977413,0.9558885026564359,11
all,handcrafted,mlp,10,auroc,0.9642164185322728,0.9451816763733274,0.9834106074268126,11
all,handcrafted,mlp,10,balanced_misclassification_regret,0.0015647134140678717,0.0007256461388531842,0.0026976709968761776,11
all,handcrafted,mlp,10,fit_predict_seconds,0.2682347196334211,0.2467797765762291,0.2957003365309819,11
all,handcrafted,mlp,10,training_cycle_count,40.90909090909091,39.63636363636363,42.18409090909088,11
all,handcrafted,mlp,10,training_image_count,4808.181818181818,4667.15,4954.561363636364,11
all,handcrafted,random_forest,2,balanced_accuracy,0.8957300056990687,0.8548938686255892,0.930427062608407,11
all,handcrafted,random_forest,2,macro_f1,0.8883708469766046,0.8421699751251567,0.9267575674960267,11
all,handcrafted,random_forest,2,auroc,0.9700062447257192,0.9519071830820663,0.9869040666127763,11
all,handcrafted,random_forest,2,balanced_misclassification_regret,0.003007118395198004,0.0015779925160872767,0.005075842979254343,11
all,handcrafted,random_forest,2,fit_predict_seconds,0.1716489495743052,0.1568177199505127,0.18649792393389913,11
all,handcrafted,random_forest,2,training_cycle_count,8.424242424242424,7.666666666666666,9.272727272727273,11
