representation,condition,experiment_id,cycle_name,camera_role,cosine_similarity
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,extreme,0.9938733367417055
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,extreme,0.9929468383702376
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,extreme,0.99073232475238
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,front,0.9938749785952262
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,front,0.975616119329974
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,front,0.9863879363769708
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left,0.9917581032772007
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left,0.9861868274487372
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left,0.9908975651251813
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left_close,0.9950765317121545
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left_close,0.9753725345009794
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left_close,0.9828610258305708
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,top,0.9954375327922685
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,top,0.9911404266663508
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,top,0.987011450038815
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,top_close,0.9938126425431637
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,top_close,0.9834587980563458
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,top_close,0.9781955385027792
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,extreme,0.9910237941334077
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,extreme,0.9935673829720507
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,extreme,0.994337623755958
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,front,0.9887727126321388
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,front,0.9912556183317176
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,front,0.9911586393200738
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left,0.9875187939262752
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left,0.9878619354101805
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left,0.9798710252566017
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left_close,0.9883578090321503
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left_close,0.9911680675501633
dinov2,dark_60pct,exp_20260729,frost_cycle_000060,left_close,0.9930354830059585
