representation,training_strategy,camera_group,condition,held_out_experiment,balanced_accuracy,balanced_misclassification_regret,test_image_count,train_image_count
dinov2,native_only,front,native,exp_20260729,0.8333333333333333,0.004132396045082218,9,1607
dinov2,native_only,front,dark_60pct,exp_20260729,0.8333333333333333,0.004132396045082218,9,1607
dinov2,native_only,front,gamma_1p8,exp_20260729,0.8333333333333333,0.004132396045082218,9,1607
dinov2,native_only,front,gamma_2p2,exp_20260729,0.6666666666666666,0.012037541513290137,9,1607
dinov2,native_only,front,gamma_2p2_sensor_noise,exp_20260729,0.6666666666666666,0.012037541513290137,9,1607
dinov2,native_only,front,gamma_1p8_vignette,exp_20260729,0.5,0.016793119958199935,9,1607
dinov2,low_light_augmented,front,native,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
dinov2,low_light_augmented,front,dark_60pct,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
dinov2,low_light_augmented,front,gamma_1p8,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
dinov2,low_light_augmented,front,gamma_2p2,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
dinov2,low_light_augmented,front,gamma_2p2_sensor_noise,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
dinov2,low_light_augmented,front,gamma_1p8_vignette,exp_20260729,0.8333333333333333,0.004132396045082218,9,1787
dinov2,native_only,front,native,exp_20260730,0.7361111111111112,0.004245516066555868,30,1068
dinov2,native_only,front,dark_60pct,exp_20260730,0.7361111111111112,0.005449001873398061,30,1068
dinov2,native_only,front,gamma_1p8,exp_20260730,0.8333333333333334,0.0028247459704142767,30,1068
dinov2,native_only,front,gamma_2p2,exp_20260730,0.875,0.002385814733204325,30,1068
dinov2,native_only,front,gamma_2p2_sensor_noise,exp_20260730,0.7777777777777777,0.005183710825238365,30,1068
dinov2,native_only,front,gamma_1p8_vignette,exp_20260730,0.7777777777777778,0.0037654422416828967,30,1068
dinov2,low_light_augmented,front,native,exp_20260730,0.7777777777777777,0.003592820556357135,30,1185
dinov2,low_light_augmented,front,dark_60pct,exp_20260730,0.7361111111111112,0.005449001873398061,30,1185
dinov2,low_light_augmented,front,gamma_1p8,exp_20260730,0.7916666666666667,0.003447932055790805,30,1185
dinov2,low_light_augmented,front,gamma_2p2,exp_20260730,0.75,0.0038810517932155097,30,1185
dinov2,low_light_augmented,front,gamma_2p2_sensor_noise,exp_20260730,0.8055555555555556,0.004902207070451447,30,1185
dinov2,low_light_augmented,front,gamma_1p8_vignette,exp_20260730,0.875,0.002590526387976842,30,1185
dinov2,native_only,front,native,exp_20260731,0.6428571428571428,0.0089297520033668,30,1217
dinov2,native_only,front,dark_60pct,exp_20260731,0.6428571428571428,0.0089297520033668,30,1217
dinov2,native_only,front,gamma_1p8,exp_20260731,0.6904761904761905,0.005881009509621587,30,1217
dinov2,native_only,front,gamma_2p2,exp_20260731,0.8015873015873016,0.00310902838846847,30,1217
dinov2,native_only,front,gamma_2p2_sensor_noise,exp_20260731,0.7698412698412698,0.002943534292028145,30,1217
dinov2,native_only,front,gamma_1p8_vignette,exp_20260731,0.5714285714285714,0.010897240327321575,30,1217
dinov2,low_light_augmented,front,native,exp_20260731,0.6428571428571428,0.0089297520033668,30,1334
dinov2,low_light_augmented,front,dark_60pct,exp_20260731,0.5873015873015872,0.01036426573288689,30,1334
dinov2,low_light_augmented,front,gamma_1p8,exp_20260731,0.8095238095238095,0.0035886640965287894,30,1334
dinov2,low_light_augmented,front,gamma_2p2,exp_20260731,0.8333333333333333,0.003348979181906607,30,1334
dinov2,low_light_augmented,front,gamma_2p2_sensor_noise,exp_20260731,0.7857142857142857,0.0038317767036283945,30,1334
dinov2,low_light_augmented,front,gamma_1p8_vignette,exp_20260731,0.9206349206349206,0.0024517720844303968,30,1334
dinov2,native_only,all,native,exp_20260729,0.7638888888888888,0.006092052314846222,54,9551
dinov2,native_only,all,dark_60pct,exp_20260729,0.75,0.007643151638768262,54,9551
dinov2,native_only,all,gamma_1p8,exp_20260729,0.6666666666666666,0.009655514067690447,54,9551
dinov2,native_only,all,gamma_2p2,exp_20260729,0.6388888888888888,0.010942635397887375,54,9551
dinov2,native_only,all,gamma_2p2_sensor_noise,exp_20260729,0.5833333333333334,0.013264964876051345,54,9551
dinov2,native_only,all,gamma_1p8_vignette,exp_20260729,0.625,0.010825223116028421,54,9551
dinov2,low_light_augmented,all,native,exp_20260729,0.7777777777777778,0.006356030308571334,54,10631
dinov2,low_light_augmented,all,dark_60pct,exp_20260729,0.7777777777777777,0.006968293412423958,54,10631
dinov2,low_light_augmented,all,gamma_1p8,exp_20260729,0.7777777777777778,0.006551889321947316,54,10631
dinov2,low_light_augmented,all,gamma_2p2,exp_20260729,0.7777777777777778,0.006154528197936482,54,10631
dinov2,low_light_augmented,all,gamma_2p2_sensor_noise,exp_20260729,0.7638888888888888,0.006486463495462293,54,10631
dinov2,low_light_augmented,all,gamma_1p8_vignette,exp_20260729,0.7777777777777778,0.0056492965598816895,54,10631
dinov2,native_only,all,native,exp_20260730,0.7847222222222223,0.0038476202836272002,180,6318
dinov2,native_only,all,dark_60pct,exp_20260730,0.7546296296296295,0.005348010560294675,180,6318
dinov2,native_only,all,gamma_1p8,exp_20260730,0.8449074074074074,0.003135457721251851,180,6318
dinov2,native_only,all,gamma_2p2,exp_20260730,0.8425925925925926,0.0029781788303638724,180,6318
dinov2,native_only,all,gamma_2p2_sensor_noise,exp_20260730,0.7592592592592593,0.005590818746942953,180,6318
dinov2,native_only,all,gamma_1p8_vignette,exp_20260730,0.8356481481481481,0.0030471156360751396,180,6318
