experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,model,camera_group,modality,regret_threshold
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,logistic,top,rgb,0.01
exp_20260717,True,0.5,0.3333333333333333,1.0,0.022815574027545905,24,1,logistic,top,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,logistic,top,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,logistic,top,rgb,0.01
exp_20260723,True,0.9791666666666667,0.9693617021276595,1.0,0.00021601479288111091,108,6,logistic,top,rgb,0.01
exp_20260724,True,0.8958333333333334,0.8954248366013071,0.9887152777777778,0.001763864158709372,96,4,logistic,top,rgb,0.01
exp_20260727,True,0.925,0.9039039039039038,0.950462962962963,0.0008730975026837629,96,5,logistic,top,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9548611111111112,0.00039383945755213875,120,6,logistic,top,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.943287037037037,0.0014014032742416832,120,6,logistic,top,rgb,0.01
exp_20260730,True,0.8888888888888888,0.8660714285714286,0.9282407407407407,0.0027711139859976355,120,6,logistic,top,rgb,0.01
exp_20260731,True,0.9007936507936507,0.8703303488731089,0.9332010582010583,0.0015819353573619161,120,7,logistic,top,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483,24,1,random_forest,top,rgb,0.01
exp_20260717,True,0.5,0.3333333333333333,1.0,0.022815574027545905,24,1,random_forest,top,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,random_forest,top,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,random_forest,top,rgb,0.01
exp_20260723,True,0.9791666666666667,0.9693617021276595,0.9864969135802469,0.00021601479288111091,108,6,random_forest,top,rgb,0.01
exp_20260724,True,0.90625,0.905994995103906,0.98828125,0.0015373022435779657,96,4,random_forest,top,rgb,0.01
exp_20260727,True,0.9194444444444445,0.9032149658339867,0.950462962962963,0.0009402849017380538,96,5,random_forest,top,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9609375,0.00039383945755213875,120,6,random_forest,top,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9477719907407407,0.0014014032742416832,120,6,random_forest,top,rgb,0.01
exp_20260730,True,0.8784722222222222,0.8575319505552064,0.9354745370370371,0.0028808467953001233,120,6,random_forest,top,rgb,0.01
exp_20260731,True,0.8968253968253967,0.8844672657252888,0.9576719576719577,0.0017154981954371922,120,7,random_forest,top,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.00042005503621542336,24,1,rbf_svm,top,rgb,0.01
exp_20260717,True,0.5,0.3333333333333333,1.0,0.022815574027545905,24,1,rbf_svm,top,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,rbf_svm,top,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,rbf_svm,top,rgb,0.01
exp_20260723,True,0.9791666666666667,0.9693617021276595,0.9926697530864197,0.00028240208459231705,108,6,rbf_svm,top,rgb,0.01
exp_20260724,True,0.8958333333333334,0.8954248366013071,0.978732638888889,0.001763864158709372,96,4,rbf_svm,top,rgb,0.01
exp_20260727,True,0.9166666666666667,0.893569844789357,0.937962962962963,0.0009936958520079032,96,5,rbf_svm,top,rgb,0.01
