model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9084054834054833,0.8181277056277058,0.9685637626262626,11,11
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,macro_f1,0.8835906354965407,0.7629400927507981,0.9614839726237595,11,11
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,auroc,0.9726152898027898,0.9553020344817218,0.9893156828703704,11,11
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_misclassification_regret,0.0028924402324521387,0.0004870020111627765,0.007057147754418407,11,11
random_forest,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9037518037518038,0.8144191919191918,0.9627164502164501,11,11
random_forest,top,single_view,rgb,0.01,1.0,0.6539888682745826,macro_f1,0.8812033199359823,0.7621608719617983,0.9569459330245246,11,11
random_forest,top,single_view,rgb,0.01,1.0,0.6539888682745826,auroc,0.975190646544813,0.96119082378848,0.988787515532307,11,11
random_forest,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_misclassification_regret,0.0029384123582690933,0.0005428812925041636,0.007076876787232091,11,11
rbf_svm,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9052128427128427,0.815566378066378,0.9639249639249639,11,11
rbf_svm,top,single_view,rgb,0.01,1.0,0.6539888682745826,macro_f1,0.8791332344150454,0.7599756170010133,0.9554002429538266,11,11
rbf_svm,top,single_view,rgb,0.01,1.0,0.6539888682745826,auroc,0.9612620500641333,0.9308154210758378,0.985553466836019,11,11
rbf_svm,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_misclassification_regret,0.002934459432812521,0.0005461507499075197,0.007071524470033326,11,11
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.8934613997113996,0.8042207792207794,0.953062996031746,11,11
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,macro_f1,0.8739447288775627,0.7550014495885969,0.9499318695933565,11,11
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,auroc,0.9055659521805354,0.7585951028138528,0.9862319468243947,11,11
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_misclassification_regret,0.003146233685015361,0.0007276864051919813,0.00727757582775676,11,11
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9116522366522365,0.8213744588744589,0.9692279942279942,11,11
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,macro_f1,0.8864879857219133,0.7663678790821504,0.962332133215523,11,11
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,auroc,0.9669004028379028,0.9500052609427609,0.9833871828403079,11,11
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_misclassification_regret,0.004806841425707079,0.0006113795331245164,0.012184973932061522,11,11
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,balanced_accuracy,0.901461038961039,0.8114835858585858,0.9611336580086579,11,11
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,macro_f1,0.8760161535981683,0.7564589114494199,0.9531828307411521,11,11
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,auroc,0.964797403599487,0.945873354076479,0.9829087470689033,11,11
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,balanced_misclassification_regret,0.0045625693075739444,0.0006348648590191753,0.011785813486969648,11,11
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,balanced_accuracy,0.9095238095238095,0.8612914862914863,0.9541666666666667,11,11
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,macro_f1,0.8992545501908137,0.8485110542979577,0.9466841486100467,11,11
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,auroc,0.9702433561808562,0.9488433629449257,0.9885461760461761,11,11
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,balanced_misclassification_regret,0.002624685929956056,0.0008171637156431864,0.005195676549328778,11,11
