model,split,true_state,predicted_state,count
color_logistic,validation,pre_optimal,pre_optimal,88
color_logistic,validation,pre_optimal,post_optimal,56
color_logistic,validation,post_optimal,pre_optimal,0
color_logistic,validation,post_optimal,post_optimal,72
color_logistic,test,pre_optimal,pre_optimal,333
color_logistic,test,pre_optimal,post_optimal,99
color_logistic,test,post_optimal,pre_optimal,6
color_logistic,test,post_optimal,post_optimal,282
color_random_forest,validation,pre_optimal,pre_optimal,92
color_random_forest,validation,pre_optimal,post_optimal,52
color_random_forest,validation,post_optimal,pre_optimal,2
color_random_forest,validation,post_optimal,post_optimal,70
color_random_forest,test,pre_optimal,pre_optimal,335
color_random_forest,test,pre_optimal,post_optimal,97
color_random_forest,test,post_optimal,pre_optimal,7
color_random_forest,test,post_optimal,post_optimal,281
color_rbf_svm,validation,pre_optimal,pre_optimal,91
color_rbf_svm,validation,pre_optimal,post_optimal,53
color_rbf_svm,validation,post_optimal,pre_optimal,0
color_rbf_svm,validation,post_optimal,post_optimal,72
color_rbf_svm,test,pre_optimal,pre_optimal,333
color_rbf_svm,test,pre_optimal,post_optimal,99
color_rbf_svm,test,post_optimal,pre_optimal,4
color_rbf_svm,test,post_optimal,post_optimal,284
small_cnn,validation,pre_optimal,pre_optimal,125
small_cnn,validation,pre_optimal,post_optimal,19
small_cnn,validation,post_optimal,pre_optimal,48
small_cnn,validation,post_optimal,post_optimal,24
small_cnn,test,pre_optimal,pre_optimal,397
small_cnn,test,pre_optimal,post_optimal,35
small_cnn,test,post_optimal,pre_optimal,193
small_cnn,test,post_optimal,post_optimal,95
resnet18_linear_probe,validation,pre_optimal,pre_optimal,90
resnet18_linear_probe,validation,pre_optimal,post_optimal,54
resnet18_linear_probe,validation,post_optimal,pre_optimal,4
resnet18_linear_probe,validation,post_optimal,post_optimal,68
resnet18_linear_probe,test,pre_optimal,pre_optimal,329
resnet18_linear_probe,test,pre_optimal,post_optimal,103
resnet18_linear_probe,test,post_optimal,pre_optimal,23
resnet18_linear_probe,test,post_optimal,post_optimal,265
