model,split,accuracy,balanced_accuracy,macro_f1,macro_auroc,image_count,cycle_count
color_logistic,validation,0.7407407407407407,0.8055555555555556,0.7393103448275862,0.8391203703703703,216,2
color_logistic,test,0.8541666666666666,0.875,0.8534312784631223,0.9114181455761317,720,6
color_random_forest,validation,0.75,0.8055555555555556,0.7473793641167807,0.8150077160493827,216,2
color_random_forest,test,0.8555555555555555,0.8755787037037037,0.8547384593896221,0.8998922968106996,720,6
color_rbf_svm,validation,0.7546296296296297,0.8159722222222222,0.7527162760557295,0.8141396604938271,216,2
color_rbf_svm,test,0.8569444444444444,0.8784722222222223,0.8562787912379675,0.8964120370370371,720,6
small_cnn,validation,0.6898148148148148,0.6006944444444444,0.6030174187354272,0.7941743827160495,216,2
small_cnn,test,0.6833333333333333,0.6244212962962963,0.6157267390144102,0.8731915509259259,720,6
resnet18_linear_probe,validation,0.7314814814814815,0.7847222222222222,0.7286667244217274,0.8109567901234568,216,2
resnet18_linear_probe,test,0.825,0.8408564814814814,0.8236062717770035,0.8929076646090535,720,6
