model,split,true_state,predicted_state,count
color_logistic,validation,pre_optimal,pre_optimal,81
color_logistic,validation,pre_optimal,near_optimal,14
color_logistic,validation,pre_optimal,post_optimal,49
color_logistic,validation,near_optimal,pre_optimal,11
color_logistic,validation,near_optimal,near_optimal,49
color_logistic,validation,near_optimal,post_optimal,83
color_logistic,validation,post_optimal,pre_optimal,0
color_logistic,validation,post_optimal,near_optimal,4
color_logistic,validation,post_optimal,post_optimal,68
color_logistic,test,pre_optimal,pre_optimal,321
color_logistic,test,pre_optimal,near_optimal,19
color_logistic,test,pre_optimal,post_optimal,92
color_logistic,test,near_optimal,pre_optimal,95
color_logistic,test,near_optimal,near_optimal,200
color_logistic,test,near_optimal,post_optimal,137
color_logistic,test,post_optimal,pre_optimal,0
color_logistic,test,post_optimal,near_optimal,25
color_logistic,test,post_optimal,post_optimal,263
color_random_forest,validation,pre_optimal,pre_optimal,59
color_random_forest,validation,pre_optimal,near_optimal,49
color_random_forest,validation,pre_optimal,post_optimal,36
color_random_forest,validation,near_optimal,pre_optimal,2
color_random_forest,validation,near_optimal,near_optimal,92
color_random_forest,validation,near_optimal,post_optimal,49
color_random_forest,validation,post_optimal,pre_optimal,1
color_random_forest,validation,post_optimal,near_optimal,26
color_random_forest,validation,post_optimal,post_optimal,45
color_random_forest,test,pre_optimal,pre_optimal,298
color_random_forest,test,pre_optimal,near_optimal,61
color_random_forest,test,pre_optimal,post_optimal,73
color_random_forest,test,near_optimal,pre_optimal,35
color_random_forest,test,near_optimal,near_optimal,336
color_random_forest,test,near_optimal,post_optimal,61
color_random_forest,test,post_optimal,pre_optimal,0
color_random_forest,test,post_optimal,near_optimal,111
color_random_forest,test,post_optimal,post_optimal,177
color_rbf_svm,validation,pre_optimal,pre_optimal,84
color_rbf_svm,validation,pre_optimal,near_optimal,18
color_rbf_svm,validation,pre_optimal,post_optimal,42
color_rbf_svm,validation,near_optimal,pre_optimal,12
color_rbf_svm,validation,near_optimal,near_optimal,62
color_rbf_svm,validation,near_optimal,post_optimal,69
color_rbf_svm,validation,post_optimal,pre_optimal,0
color_rbf_svm,validation,post_optimal,near_optimal,17
color_rbf_svm,validation,post_optimal,post_optimal,55
color_rbf_svm,test,pre_optimal,pre_optimal,324
color_rbf_svm,test,pre_optimal,near_optimal,31
color_rbf_svm,test,pre_optimal,post_optimal,77
color_rbf_svm,test,near_optimal,pre_optimal,120
color_rbf_svm,test,near_optimal,near_optimal,202
color_rbf_svm,test,near_optimal,post_optimal,110
color_rbf_svm,test,post_optimal,pre_optimal,0
color_rbf_svm,test,post_optimal,near_optimal,75
color_rbf_svm,test,post_optimal,post_optimal,213
small_cnn,validation,pre_optimal,pre_optimal,47
small_cnn,validation,pre_optimal,near_optimal,0
small_cnn,validation,pre_optimal,post_optimal,97
small_cnn,validation,near_optimal,pre_optimal,10
small_cnn,validation,near_optimal,near_optimal,4
small_cnn,validation,near_optimal,post_optimal,129
small_cnn,validation,post_optimal,pre_optimal,0
small_cnn,validation,post_optimal,near_optimal,0
small_cnn,validation,post_optimal,post_optimal,72
small_cnn,test,pre_optimal,pre_optimal,207
small_cnn,test,pre_optimal,near_optimal,2
small_cnn,test,pre_optimal,post_optimal,223
small_cnn,test,near_optimal,pre_optimal,53
small_cnn,test,near_optimal,near_optimal,4
small_cnn,test,near_optimal,post_optimal,375
small_cnn,test,post_optimal,pre_optimal,0
small_cnn,test,post_optimal,near_optimal,0
small_cnn,test,post_optimal,post_optimal,288
resnet18_linear_probe,validation,pre_optimal,pre_optimal,92
resnet18_linear_probe,validation,pre_optimal,near_optimal,5
resnet18_linear_probe,validation,pre_optimal,post_optimal,47
resnet18_linear_probe,validation,near_optimal,pre_optimal,45
resnet18_linear_probe,validation,near_optimal,near_optimal,19
resnet18_linear_probe,validation,near_optimal,post_optimal,79
resnet18_linear_probe,validation,post_optimal,pre_optimal,3
resnet18_linear_probe,validation,post_optimal,near_optimal,2
resnet18_linear_probe,validation,post_optimal,post_optimal,67
resnet18_linear_probe,test,pre_optimal,pre_optimal,326
resnet18_linear_probe,test,pre_optimal,near_optimal,16
resnet18_linear_probe,test,pre_optimal,post_optimal,90
resnet18_linear_probe,test,near_optimal,pre_optimal,176
resnet18_linear_probe,test,near_optimal,near_optimal,102
resnet18_linear_probe,test,near_optimal,post_optimal,154
resnet18_linear_probe,test,post_optimal,pre_optimal,4
resnet18_linear_probe,test,post_optimal,near_optimal,19
resnet18_linear_probe,test,post_optimal,post_optimal,265
