model,split,accuracy,balanced_accuracy,macro_f1,macro_auroc,image_count,cycle_count
color_logistic,validation,0.5515320334261838,0.616533929033929,0.5510357815442561,0.7227987589988913,359,2
color_logistic,test,0.6805555555555556,0.7064043209876543,0.674383474129483,0.8269308877743483,1152,6
color_random_forest,validation,0.5459610027855153,0.5593596218596218,0.5373028251776008,0.7522848320352574,359,2
color_random_forest,test,0.7039930555555556,0.6940586419753086,0.6949878530999339,0.8511113254458161,1152,6
color_rbf_svm,validation,0.5598885793871866,0.5935962185962186,0.5596171802054156,0.746793403581076,359,2
color_rbf_svm,test,0.6414930555555556,0.652391975308642,0.6349526732849448,0.7765600887345677,1152,6
small_cnn,validation,0.3426183844011142,0.45145363895363894,0.3037575498129869,0.6385119870395916,359,2
small_cnn,test,0.4331597222222222,0.496141975308642,0.3690536866053777,0.7197857724622772,1152,6
resnet18_linear_probe,validation,0.4958217270194986,0.5674371924371925,0.45946659076935664,0.6751533116890464,359,2
resnet18_linear_probe,test,0.6015625,0.6369598765432098,0.5728711337121228,0.7870338220164609,1152,6
